locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MZ334503.1_1_195_+												Hypothetical
MZ334503.1_322_792_-												Hypothetical
MZ334503.1_1199_1975_+					phrog_9231	VOG05559	PHROG:phrog_9231	258	1.9e-115	377.2		terminase small subunit
MZ334503.1_1962_2231_+												Hypothetical
MZ334503.1_2452_2646_+					phrog_19453	VOG23913	VOG:VOG23913	64	6e-49	156.6		REFSEQ hypothetical protein
MZ334503.1_2684_2890_+					phrog_19186	VOG23914	VOG:VOG23914	68	2.8e-50	160.8		REFSEQ hypothetical protein
MZ334503.1_2982_4673_+		K21523	COG4373		phrog_9	VOG07294	COG:COG4373	563	7.8e-44	141.4		; 
MZ334503.1_4688_6127_+					phrog_9232	VOG00562	PHROG:phrog_9232	479	3.2e-219	721.2		portal protein
MZ334503.1_6211_6336_-												Hypothetical
MZ334503.1_6414_7178_+					phrog_15680	VOG14382	PHROG:phrog_15680	254	1.7e-156	511.8		head maturation protease
MZ334503.1_7185_7613_+												Hypothetical
MZ334503.1_7636_8151_+												Hypothetical
MZ334503.1_8193_9149_+					phrog_3990	VOG01973	PHROG:phrog_3990	318	3.6e-94	308.0		major head protein
MZ334503.1_9195_9638_+												Hypothetical
MZ334503.1_9638_9976_+												Hypothetical
MZ334503.1_9979_13095_+												Hypothetical
MZ334503.1_13097_13318_+												Hypothetical
MZ334503.1_13355_13864_+					phrog_12281	VOG04913	PHROG:phrog_12281	169	2.6e-86	280.1		tail tube protein
MZ334503.1_13873_15165_+		K06907	COG3497		phrog_10244	VOG01001	PHROG:phrog_10244	430	1.2e-201	662.9		tail sheath
MZ334503.1_15194_15736_+					phrog_12452	VOG14384	PHROG:phrog_12452	180	5.2e-93	301.9		tail tube protein
MZ334503.1_15793_16263_+					phrog_14268	VOG04953	PHROG:phrog_14268	156	3.8e-85	276.0		tail assembly chaperone
MZ334503.1_16361_16573_+					phrog_12163	VOG04953	PHROG:phrog_12163	70	5.3e-35	112.8		tail assembly chaperone
MZ334503.1_16576_18393_+					phrog_14901	VOG14385	PHROG:phrog_14901	605	0	1103.0		tail length tape measure protein
MZ334503.1_18394_18924_+					phrog_14280	VOG14386	VOG:VOG14386	176	1.5e-92	301.1		REFSEQ hypothetical protein
MZ334503.1_18921_20363_+					phrog_12403	VOG14388	VOG:VOG14388	480	2.4e-239	787.1		REFSEQ hypothetical protein
MZ334503.1_20365_20802_+												Hypothetical
MZ334503.1_20892_21170_+												Hypothetical
MZ334503.1_21235_21561_+												Hypothetical
MZ334503.1_21558_22793_+			COG3299		phrog_6	VOG00735	VOG:VOG00735	411	9.3e-113	368.7		REFSEQ baseplate wedge subunit
MZ334503.1_22798_23448_+					phrog_1160	VOG00207	PHROG:phrog_1160	216	1.4e-62	203.9		baseplate protein
MZ334503.1_23452_25143_+					phrog_15260	VOG14390	VOG:VOG14390	563	3.3e-234	770.2		REFSEQ hypothetical protein
MZ334503.1_25164_26216_+												Hypothetical
MZ334503.1_26219_26614_+					phrog_18438	VOG14394	VOG:VOG14394	131	1.1e-39	127.6		REFSEQ hypothetical protein
MZ334503.1_26636_27127_+												Hypothetical
MZ334503.1_27143_27970_-					phrog_7084	VOG14391	VOG:VOG14391	275	2.1e-137	449.2		REFSEQ hypothetical protein
MZ334503.1_28404_30824_+	K00525	K00525	COG0209		phrog_84	VOG00122	FOAM:K00525	806	1.2e-207	683.8	1.17.4.1	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain
MZ334503.1_30831_31358_-												Hypothetical
MZ334503.1_31376_32143_-												Hypothetical
MZ334503.1_32414_36280_-		K07317, K07504	COG1002, COG4748		phrog_16674	VOG00788	VOG:VOG00788	1288	0	2042.0		sp|P10835|MTC3_PBCVC Modification methylase CviBIII
MZ334503.1_36378_36566_-												Hypothetical
MZ334503.1_37022_38215_+		K04763	COG4974		phrog_1	VOG00056	COG:COG4974	397	1.4e-32	103.9		XerD; 
MZ334503.1_38216_38683_-												Hypothetical
MZ334503.1_38777_40138_-		K14415	COG1690		phrog_1075	VOG00184, VOG00184	PHROG:phrog_1075	453	1.1e-125	412.6		tRNA splicing ligase
MZ334503.1_40385_40597_-												Hypothetical
MZ334503.1_40775_41203_-												Hypothetical
MZ334503.1_41304_41717_+												Hypothetical
MZ334503.1_41744_42370_-	K03465	K03465	COG1351		phrog_85	VOG03899	VOG:VOG03899	208	1.3e-61	202.0		sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase
MZ334503.1_42445_42612_-												Hypothetical
MZ334503.1_42702_45266_-	K02319	K02319	COG0417		phrog_262	VOG00345	PHROG:phrog_262	854	6.9e-178	585.7		DNA polymerase
MZ334503.1_45384_45857_-												Hypothetical
MZ334503.1_46039_46953_-												Hypothetical
MZ334503.1_46967_47140_-												Hypothetical
MZ334503.1_47449_48465_-		K07465	COG2887		phrog_69	VOG04544, VOG04544	VOG:VOG04544	338	2.1e-102	254.2		REFSEQ exonuclease
MZ334503.1_48613_48774_-												Hypothetical
MZ334503.1_49036_49419_-												Hypothetical
MZ334503.1_49441_49791_-												Hypothetical
MZ334503.1_49793_50218_-												Hypothetical
MZ334503.1_50307_51488_-					phrog_284	VOG02246	PHROG:phrog_284	330	2e-77	253.2		exonuclease
MZ334503.1_51485_52720_-												Hypothetical
MZ334503.1_52846_54327_-												Hypothetical
MZ334503.1_54405_54656_-					phrog_13442	VOG14400	VOG:VOG14400	83	1.5e-51	165.2		REFSEQ hypothetical protein
MZ334503.1_54688_55779_-												Hypothetical
MZ334503.1_56101_56313_-												Hypothetical
MZ334503.1_56442_56852_-												Hypothetical
MZ334503.1_57034_57168_-												Hypothetical
MZ334503.1_57170_58042_-		K17081	COG0330		phrog_200	VOG01466	PHROG:phrog_200	290	1e-69	227.6		lipoprotein
MZ334503.1_58464_58871_-												Hypothetical
MZ334503.1_58907_59392_-					phrog_12980	VOG01567	PHROG:phrog_12980	161	2.1e-83	270.5		HNH endonuclease
MZ334503.1_59683_60162_+												Hypothetical
MZ334503.1_60159_60623_+			COG1948		phrog_3490	VOG01108	VOG:VOG01108	154	8.8e-52	168.7		sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
MZ334503.1_60705_60881_-						VOG24268	VOG:VOG24268	58	1.4e-13	42.4		REFSEQ hypothetical protein
MZ334503.1_60940_61122_-					phrog_33640	VOG23934	VOG:VOG23934	52	1.7e-32	103.9		REFSEQ hypothetical protein
MZ334503.1_61115_61444_-												Hypothetical
MZ334503.1_61737_62192_-												Hypothetical
MZ334503.1_62189_62461_-												Hypothetical
MZ334503.1_62461_62892_-												Hypothetical
MZ334503.1_62892_63320_-					phrog_7545	VOG01272	PHROG:phrog_7545	142	2.1e-14	46.1		HNH endonuclease
MZ334503.1_63325_63459_-						VOG23941	VOG:VOG23941	44	3.9e-34	109.3		REFSEQ hypothetical protein
MZ334503.1_63470_63736_-												Hypothetical
MZ334503.1_63737_64135_-												Hypothetical
MZ334503.1_64185_65981_-		K03722	COG1199		phrog_2488	VOG04419	PHROG:phrog_2488	598	1.7e-163	537.7		DNA helicase
MZ334503.1_66062_66214_-						VOG23942	VOG:VOG23942	50	3.6e-39	125.0		REFSEQ hypothetical protein
MZ334503.1_66236_66553_-					phrog_20310	VOG23944	VOG:VOG23944	105	6.5e-64	205.5		REFSEQ hypothetical protein
MZ334503.1_66559_67212_-												Hypothetical
MZ334503.1_67351_68205_-												Hypothetical
MZ334503.1_68215_68499_-												Hypothetical
MZ334503.1_68858_69127_-												Hypothetical
MZ334503.1_69124_69489_-					phrog_20685	VOG23953	VOG:VOG23953	121	1.2e-85	275.7		REFSEQ hypothetical protein
MZ334503.1_69508_70176_-												Hypothetical
MZ334503.1_70295_70543_-					phrog_15403	VOG14408	VOG:VOG14408	82	6.7e-51	162.7		REFSEQ hypothetical protein
MZ334503.1_70654_70929_-					phrog_21594	VOG23954	VOG:VOG23954	91	7e-58	185.4		REFSEQ hypothetical protein
MZ334503.1_71066_71287_-												Hypothetical
MZ334503.1_71300_71440_-												Hypothetical
MZ334503.1_71448_71741_-					phrog_21181	VOG23958	VOG:VOG23958	97	3.8e-61	197.0		REFSEQ hypothetical protein
MZ334503.1_71842_72201_-					phrog_24059	VOG23957	VOG:VOG23957	119	1e-82	266.4		REFSEQ hypothetical protein
MZ334503.1_72521_72871_-												Hypothetical
MZ334503.1_72877_73206_-												Hypothetical
MZ334503.1_73309_74208_-												Hypothetical
