Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ATCL01000020.1_864802_865686_-	phrog_1		1.5e-60	202.8
NZ_ATCL01000020.1_702552_703562_+	phrog_1		5.4e-60	200.0
NZ_ATCL01000014.1_402909_403817_-	phrog_1		5.3e-58	194.5
NZ_ATCL01000020.1_371435_372316_+	phrog_1		9.4e-52	173.7
NZ_ATCL01000012.1_71241_72266_-	phrog_1		1.8e-35	120.2
NZ_ATCL01000020.1_791046_792152_-	phrog_100		4.4e-31	105.7
NZ_ATCL01000009.1_197087_198178_+	phrog_10027		2.5e-08	30.3
NZ_ATCL01000012.1_43781_44821_-	phrog_10226		7.8e-13	44.9
NZ_ATCL01000015.1_42987_43637_+	phrog_10255		1.7e-08	31.3
NZ_ATCL01000012.1_18840_19517_-	phrog_10276		9.5e-41	136.7
NZ_ATCL01000020.1_129473_130102_+	phrog_10276		6.3e-40	134.2
NZ_ATCL01000020.1_372328_372876_+	phrog_1040		5.9e-24	82.4
NZ_ATCL01000020.1_356441_357442_+	phrog_10430		3.4e-114	379.7
NZ_ATCL01000020.1_392819_393868_+	phrog_10430		1.3e-15	53.7
NZ_ATCL01000009.1_241608_244205_+	phrog_107		2.3e-40	135.2
NZ_ATCL01000020.1_556770_557555_+	phrog_107		1.1e-35	120.7
NZ_ATCL01000022.1_225333_226325_-	phrog_107		2.4e-30	103.0
NZ_ATCL01000003.1_40985_41713_-	phrog_10724		1.4e-57	192.1
NZ_ATCL01000014.1_358508_359227_-	phrog_10724		3.5e-48	161.4
NZ_ATCL01000014.1_529304_530020_+	phrog_10724		7.8e-45	150.4
NZ_ATCL01000020.1_431514_432233_+	phrog_10724		2.2e-41	139.1
NZ_ATCL01000022.1_170017_170745_+	phrog_10724		2.8e-41	138.8
NZ_ATCL01000021.1_23287_24465_-	phrog_1075		2.5e-135	449.3
NZ_ATCL01000020.1_904629_905423_-	phrog_10776		5.3e-54	181.0
NZ_ATCL01000017.1_93859_94617_-	phrog_10776		7e-50	167.6
NZ_ATCL01000020.1_521525_522283_-	phrog_10776		4.3e-49	165.0
NZ_ATCL01000020.1_691339_692187_-	phrog_10776		1.1e-37	127.3
NZ_ATCL01000022.1_30585_32426_+	phrog_10912		1.5e-86	288.5
NZ_ATCL01000009.1_239673_241400_+	phrog_10912		6.7e-80	266.3
NZ_ATCL01000020.1_851751_853454_-	phrog_10912		7e-77	256.6
NZ_ATCL01000002.1_9793_11631_+	phrog_10912		1.7e-70	234.7
NZ_ATCL01000014.1_674944_676068_+	phrog_10912		6.8e-07	26.0
NZ_ATCL01000014.1_268315_270132_-	phrog_10947		8.3e-23	77.8
NZ_ATCL01000021.1_89161_90909_-	phrog_10947		4.9e-21	72.0
NZ_ATCL01000020.1_142711_143997_+	phrog_10948		3.7e-83	276.9
NZ_ATCL01000014.1_684120_685520_+	phrog_10948		2.3e-54	181.4
NZ_ATCL01000022.1_142110_143435_+	phrog_10948		4.3e-50	167.4
NZ_ATCL01000022.1_226518_227828_-	phrog_10948		1.1e-48	162.7
NZ_ATCL01000003.1_3665_4369_+	phrog_1112		7.9e-84	278.1
