KO Id	Name	Count
K00001	E1.1.1.1, adh; alcohol dehydrogenase	9
K00003	hom; homoserine dehydrogenase	3
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1
K00008	SORD, gutB; L-iditol 2-dehydrogenase	2
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	2
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	4
K00013	hisD; histidinol dehydrogenase	1
K00014	aroE; shikimate dehydrogenase	1
K00015	gyaR, GOR1; glyoxylate reductase	1
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	2
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1
K00023	phbB; acetoacetyl-CoA reductase	2
K00024	mdh; malate dehydrogenase	7
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	2
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	5
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2
K00034	gdh; glucose 1-dehydrogenase	1
K00035	gal; D-galactose 1-dehydrogenase	1
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	5
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	1
K00039	rbtD; ribitol 2-dehydrogenase	1
K00040	uxuB; fructuronate reductase	1
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase	1
K00043	gbd; 4-hydroxybutyrate dehydrogenase	1
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase	1
K00046	idnO; gluconate 5-dehydrogenase	1
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	2
K00053	ilvC; ketol-acid reductoisomerase	2
K00055	E1.1.1.90; aryl-alcohol dehydrogenase	4
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	4
K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	4
K00060	tdh; threonine 3-dehydrogenase	1
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase	2
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	3
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	3
K00075	murB; UDP-N-acetylmuramate dehydrogenase	3
K00077	panE, apbA; 2-dehydropantoate 2-reductase	1
K00088	IMPDH, guaB; IMP dehydrogenase	3
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]	1
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase	1
K00098	idnD; L-idonate 5-dehydrogenase	1
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	1
K00101	lldD; L-lactate dehydrogenase (cytochrome)	1
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome)	1
K00104	glcD; glycolate oxidase	1
K00108	betA, CHDH; choline dehydrogenase	1
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase	1
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C	1
K00117	gcd; quinoprotein glucose dehydrogenase	1
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	10
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	2
K00126	fdsD; formate dehydrogenase subunit delta	2
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	2
K00128	ALDH; aldehyde dehydrogenase (NAD+)	15
K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	2
K00133	asd; aspartate-semialdehyde dehydrogenase	4
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	9
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	5
K00137	prr; aminobutyraldehyde dehydrogenase	3
K00138	aldB; aldehyde dehydrogenase	2
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	4
K00141	xylC; benzaldehyde dehydrogenase (NAD)	3
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1
