locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_070760_1		K06909	COG1783		phrog_5653	VOG07294	COG:COG1783	429	3.6e-35	113.6		XtmB:
NC_070760_2					phrog_64	VOG00109	VOG:VOG00109	500	3.1e-45	146.9		sp|Q05220|PORTL_BPML5 Portal protein
NC_070760_3					phrog_17987	VOG03910	PHROG:phrog_17987	685	1e-38	124.8		head maturation protease
NC_070760_4					phrog_4866	VOG00870	VOG:VOG00870	241	2.1e-53	173.7		REFSEQ head scaffolding protein
NC_070760_5					phrog_5042	VOG08516	VOG:VOG08516	134	6.3e-40	128.5		REFSEQ hypothetical protein
NC_070760_6					phrog_3990	VOG01973	VOG:VOG01973	394	4.3e-164	538.1		REFSEQ major head protein
NC_070760_7		K18732			phrog_2250	VOG01006	VOG:VOG01006	127	5.6e-27	87.4		REFSEQ hypothetical protein
NC_070760_8					phrog_5274	VOG04197	VOG:VOG04197	76	2.8e-25	81.5		REFSEQ hypothetical protein
NC_070760_9					phrog_4904	VOG08515	VOG:VOG08515	124	2.1e-36	117.2		REFSEQ hypothetical protein
NC_070760_10					phrog_5	VOG00130	VOG:VOG00130	119	7.3e-15	47.9		REFSEQ tail completion or Neck1 protein
NC_070760_11					phrog_4995	VOG08514	VOG:VOG08514	131	1.3e-36	117.8		REFSEQ tail terminator
NC_070760_12												Hypothetical
NC_070760_13					phrog_4971	VOG01008	PHROG:phrog_4971	182	3.9e-66	215.4		major tail protein
NC_070760_14					phrog_4336	VOG03677	VOG:VOG03677	193	2.4e-53	173.6		REFSEQ tail assembly chaperone
NC_070760_15												Hypothetical
NC_070760_16					phrog_16363, phrog_14138	VOG04123	VOG:VOG04123	861	0	1047.1		REFSEQ tail protein
NC_070760_17					phrog_1887	VOG02574	VOG:VOG02574	362	5.3e-92	301.4		REFSEQ tail protein
NC_070760_18					phrog_25601	VOG19462	VOG:VOG19462	282	3.4e-13	41.4		REFSEQ hypothetical protein
NC_070760_19												Hypothetical
NC_070760_20					phrog_4026	VOG00496	VOG:VOG00496	153	4.7e-40	128.9		REFSEQ minor tail protein
NC_070760_21					phrog_2658	VOG19704	VOG:VOG19704	110	9.8e-46	146.2		REFSEQ hol-like chemotaxis
NC_070760_22		K01447	COG3023		phrog_12609	VOG34119	VOG:VOG34119	337	5.7e-203	666.2		REFSEQ endolysin
NC_070760_23					phrog_20596	VOG32194	VOG:VOG32194	155	8.9e-49	158.4		REFSEQ hypothetical protein
NC_070760_24												Hypothetical
NC_070760_25												Hypothetical
NC_070760_26												Hypothetical
NC_070760_27					phrog_23287	VOG19826	VOG:VOG19826	133	1.2e-37	119.7		REFSEQ hypothetical protein
NC_070760_28					phrog_12268	VOG01468	VOG:VOG01468	120	4.3e-36	116.0		REFSEQ hypothetical protein
NC_070760_29												Hypothetical
NC_070760_30												Hypothetical
NC_070760_31												Hypothetical
NC_070760_32												Hypothetical
NC_070760_33												Hypothetical
NC_070760_34					phrog_421	VOG00325	VOG:VOG00325	373	8.3e-60	190.2		sp|Q05292|VG77_BPML5 Gene 77 protein
NC_070760_35												Hypothetical
NC_070760_36					phrog_636	VOG00373	VOG:VOG00373	195	3.8e-38	124.1		REFSEQ hypothetical protein
NC_070760_37												Hypothetical
NC_070760_38												Hypothetical
NC_070760_39		K14440	COG0553		phrog_62	VOG00107	PHROG:phrog_62	643	4.9e-83	270.9		DNA helicase
NC_070760_40												Hypothetical
NC_070760_41					phrog_34140	VOG32194	VOG:VOG32194	178	6e-66	213.5		REFSEQ hypothetical protein
NC_070760_42		K16899	COG2887		phrog_1218	VOG00510	PHROG:phrog_1218	374	9.1e-96	313.5		exonuclease
NC_070760_43					phrog_8491	VOG17378	VOG:VOG17378	63	6.5e-32	102.0		REFSEQ hypothetical protein
NC_070760_44					phrog_124	VOG00709	VOG:VOG00709	275	8.4e-44	142.7		sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG
NC_070760_45												Hypothetical
NC_070760_46	K02316	K02316, K10726	COG0358, COG1241		phrog_18685, phrog_47	VOG22461	VOG:VOG22461	985	0	1717.0		REFSEQ DNA primase
NC_070760_47		K17830	COG2081		phrog_8720	VOG17379	VOG:VOG17379	263	2e-113	370.1		REFSEQ hypothetical protein
NC_070760_48												Hypothetical
NC_070760_49		K05967	COG4502		phrog_415	VOG07198	VOG:VOG07198	214	2.2e-19	62.0		sp|P06855|KIPN_BPT4 Polynucleotide kinase
NC_070760_50					phrog_10271	VOG02633	VOG:VOG02633	209	4e-25	80.5		REFSEQ hypothetical protein
NC_070760_51	K02337	K02337	COG0587		phrog_405	VOG07446	VOG:VOG07446	309	5.2e-109	357.7		sp|O67125|DPO3A_AQUAE DNA polymerase III subunit alpha
NC_070760_52												Hypothetical
NC_070760_53					phrog_59	VOG00032	PHROG:phrog_59	177	1.7e-39	127.9		HNH endonuclease
