locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NZ_FMTL01000017.1_1	K00558	K00558	COG0270		phrog_116	VOG00281	PHROG:phrog_116	590	2.3e-90	296.9		DNA methyltransferase
NZ_FMTL01000017.1_2												Hypothetical
NZ_FMTL01000017.1_3												Hypothetical
NZ_FMTL01000017.1_4												Hypothetical
NZ_FMTL01000017.1_5												Hypothetical
NZ_FMTL01000017.1_6												Hypothetical
NZ_FMTL01000020.1_1		K16517					KEGG:K16517	84	7.1e-24	82.2		galP; porin-like protein GalP
NZ_FMTL01000020.1_2												Hypothetical
NZ_FMTL01000020.1_3		K18093					KEGG:K18093	146	1.8e-38	130.3	3.4.21.-	oprD; imipenem/basic amino acid-specific outer membrane pore
NZ_FMTL01000019.1_1		K02358	COG0050		phrog_27465	VOG22655	COG:COG0050	41	1.2e-23	81.5		TufA:Translation factors
NZ_FMTL01000019.1_2			COG3087				COG:COG3087	224	2.3e-10	28.4		FtsN:
NZ_FMTL01000019.1_3		K03525	COG1521				COG:COG1521	247	1.1e-64	216.8		CoaX:
NZ_FMTL01000019.1_4		K03524	COG1654				COG:COG1654	322	1e-108	361.6		BirA:
NZ_FMTL01000015.1_1												Hypothetical
NZ_FMTL01000015.1_2		K03630	COG2003		phrog_10276		COG:COG2003	149	1.7e-58	196.2		RadC:
NZ_FMTL01000015.1_3												Hypothetical
NZ_FMTL01000015.1_4												Hypothetical
NZ_FMTL01000015.1_5												Hypothetical
NZ_FMTL01000015.1_6												Hypothetical
NZ_FMTL01000015.1_7												Hypothetical
NZ_FMTL01000015.1_8												Hypothetical
NZ_FMTL01000015.1_9					phrog_6694	VOG19669	VOG:VOG19669	103	2e-28	96.4		REFSEQ hypothetical protein
NZ_FMTL01000015.1_10												Hypothetical
NZ_FMTL01000015.1_11												Hypothetical
NZ_FMTL01000015.1_12												Hypothetical
NZ_FMTL01000015.1_13												Hypothetical
NZ_FMTL01000015.1_14												Hypothetical
NZ_FMTL01000014.1_1												Hypothetical
NZ_FMTL01000014.1_2												Hypothetical
NZ_FMTL01000014.1_3					phrog_4158	VOG14124	VOG:VOG14124	101	9.2e-26	87.8		REFSEQ hypothetical protein
NZ_FMTL01000014.1_4												Hypothetical
NZ_FMTL01000014.1_5		K10838	COG4227		phrog_7245	VOG13628	COG:COG4227	123	2.3e-13	47.3		ArdC:
NZ_FMTL01000014.1_6												Hypothetical
NZ_FMTL01000014.1_7					phrog_8	VOG29282	VOG:VOG29282	99	2.7e-11	41.2		REFSEQ helix-turn-helix domain-containing protein
NZ_FMTL01000014.1_8		K03529					KEGG:K03529	343	9.1e-09	31.3		smc; chromosome segregation protein
NZ_FMTL01000014.1_9			COG5527		phrog_4402	VOG21580	COG:COG5527	233	1e-70	236.8		:
NZ_FMTL01000014.1_10												Hypothetical
NZ_FMTL01000014.1_11		K03497	COG1475		phrog_4715	VOG01350	COG:COG1475	440	2.1e-37	127.5		Spo0J:
NZ_FMTL01000014.1_12		K03496	COG1192		phrog_164	VOG01428	COG:COG1192	260	5.6e-55	185.0		ParA:
NZ_FMTL01000014.1_13												Hypothetical
NZ_FMTL01000014.1_14												Hypothetical
NZ_FMTL01000014.1_15												Hypothetical
NZ_FMTL01000014.1_16		K03111	COG0629		phrog_44	VOG00906	COG:COG0629	140	1.5e-49	166.7		Ssb:
NZ_FMTL01000014.1_17												Hypothetical
NZ_FMTL01000012.1_1		K07497	COG2801		phrog_157	VOG00376	COG:COG2801	216	1.4e-83	279.1		Tra5:
NZ_FMTL01000012.1_2		K07483	COG2963		phrog_151	VOG00259	PHROG:phrog_151	93	2.3e-30	103.6		transposase
NZ_FMTL01000012.1_3			COG5654				COG:COG5654	97	8.9e-25	85.3		RES:
NZ_FMTL01000012.1_4			COG5642				COG:COG5642	156	1.7e-37	127.0		:
NZ_FMTL01000012.1_5		K18923	COG2161		phrog_2268	VOG11889	KEGG:K18923	110	3.9e-11	41.2		stbD; antitoxin StbD
NZ_FMTL01000012.1_6												Hypothetical
NZ_FMTL01000012.1_7												Hypothetical
NZ_FMTL01000012.1_8												Hypothetical
NZ_FMTL01000012.1_9		K03673	COG3917				KEGG:K03673	215	2e-25	87.7	1.8.4.15	dsbA; protein dithiol oxidoreductase (disulfide-forming)
NZ_FMTL01000012.1_10		K03611	COG1495				COG:COG1495	146	1.5e-30	104.7		DsbB:
NZ_FMTL01000012.1_11		K08365	COG0789		phrog_11671		KEGG:K08365	151	8.4e-43	143.8		merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein
NZ_FMTL01000012.1_12		K01534	COG2216		phrog_12316	VOG20955, VOG20955	KEGG:K01534	812	2.6e-285	919.9	7.2.2.12 7.2.2.21	zntA; Zn2+/Cd2+-exporting ATPase
NZ_FMTL01000012.1_13												Hypothetical
NZ_FMTL01000012.1_14												Hypothetical
NZ_FMTL01000012.1_15												Hypothetical
NZ_FMTL01000012.1_16		K18093					KEGG:K18093	442	6e-147	487.7	3.4.21.-	oprD; imipenem/basic amino acid-specific outer membrane pore
