locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
QGNH01001473.1_1_1												Hypothetical
QGNH01001473.1_1_2												Hypothetical
QGNH01001473.1_1_3												Hypothetical
QGNH01001473.1_1_4												Hypothetical
QGNH01001473.1_1_5												Hypothetical
QGNH01001473.1_1_6												Hypothetical
QGNH01001473.1_1_7					phrog_72	VOG00692	PHROG:phrog_72	117	9.7e-14	42.6		NinB/ Orf homologous recombination mediator
QGNH01001473.1_1_8												Hypothetical
QGNH01001473.1_2_1		K01143	COG5377		phrog_149	VOG01074	PHROG:phrog_149	179	1.5e-83	272.7		exonuclease
QGNH01001473.1_2_2					phrog_155	VOG08218	PHROG:phrog_155	246	8.5e-38	121.3		Erf-like ssDNA annealing protein
QGNH01001473.1_2_3												Hypothetical
QGNH01001473.1_2_4												Hypothetical
QGNH01001473.1_2_5												Hypothetical
QGNH01001473.1_2_6												Hypothetical
QGNH01001473.1_2_7					phrog_9425		PHROG:phrog_9425	116	2.5e-11	33.8		transcriptional repressor
QGNH01001473.1_2_8												Hypothetical
QGNH01001473.1_2_9												Hypothetical
QGNH01001473.1_2_10					phrog_3992		PHROG:phrog_3992	83	3.6e-12	37.6		primosomal protein
QGNH01001473.1_2_11												Hypothetical
QGNH01001473.1_2_12												Hypothetical
QGNH01001473.1_2_13												Hypothetical
QGNH01001473.1_2_14												Hypothetical
QGNH01001473.1_2_15		K06909	COG5323		phrog_979	VOG00331, VOG00705	COG:COG5323	447	1.4e-109	358.0		; 
QGNH01001473.1_2_16	K00619	K00619	COG3393		phrog_1249	VOG18941	VOG:VOG18941	107	2.3e-12	36.5		REFSEQ acetyltransferase
QGNH01001473.1_2_17					phrog_156	VOG02069	PHROG:phrog_156	303	5.7e-51	165.0		portal protein
QGNH01001473.1_3_1												Hypothetical
QGNH01001473.1_3_2												Hypothetical
QGNH01001473.1_3_3					phrog_36964	VOG04421	PHROG:phrog_36964	98	4.4e-13	39.3		terminase large subunit
QGNH01001473.1_4_1					phrog_156	VOG02069	PHROG:phrog_156	392	3.5e-56	182.0		portal protein
QGNH01001473.1_4_2					phrog_8865	VOG04366	VOG:VOG04366	280	5.2e-53	171.7		REFSEQ head scaffolding protein
QGNH01001473.1_4_3					phrog_283		PHROG:phrog_283	404	2.1e-71	232.3		major head protein
QGNH01001473.1_4_4												Hypothetical
QGNH01001473.1_4_5												Hypothetical
QGNH01001473.1_4_6					phrog_12985	VOG12454	VOG:VOG12454	234	3.5e-69	224.1		REFSEQ hypothetical protein
QGNH01001473.1_4_7					phrog_578, phrog_578	VOG10156	PHROG:phrog_578	592	1.4e-124	369.7		head closure Hc3
QGNH01001473.1_4_8												Hypothetical
QGNH01001473.1_5_1					phrog_2647	VOG17471	PHROG:phrog_2647	365	1.6e-27	87.4		head decoration
QGNH01001473.1_5_2												Hypothetical
QGNH01001473.1_5_3												Hypothetical
QGNH01001473.1_5_4												Hypothetical
QGNH01001473.1_5_5					phrog_2647	VOG03766	PHROG:phrog_2647	388	3e-60	194.6		head decoration
QGNH01001473.1_5_6												Hypothetical
