	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001314.1_1	QGNH01001314.1	QGNH01001314.1	1	292	858	1	E																								0	False	F
QGNH01001314.1_2	QGNH01001314.1	QGNH01001314.1	2	866	1519	1	E			YP_009003183.1	YP_009003183.1 hypothetical protein CC53_gp026 [Rhizobium phage vB_RleS_L338C]	False	0.443	139.0	4.1730000000000004e-36																0	False	F
QGNH01001314.1_3	QGNH01001314.1	QGNH01001314.1	3	1965	2456	1	E																								0	False	F
QGNH01001314.1_4	QGNH01001314.1	QGNH01001314.1	4	2589	3938	1	E																								0	False	F
QGNH01001314.1_5	QGNH01001314.1	QGNH01001314.1	5	3980	5590	1	E			YP_009003186.1	YP_009003186.1 hypothetical protein CC53_gp029 [Rhizobium phage vB_RleS_L338C]	False	0.287	208.0	2.265e-55																0	False	F
QGNH01001314.1_6	QGNH01001314.1	QGNH01001314.1	6	5731	6117	1	E																								0	False	
QGNH01001314.1_7	QGNH01001314.1	QGNH01001314.1	7	6135	6353	1	E																								0	False	
QGNH01001314.1_8	QGNH01001314.1	QGNH01001314.1	8	6399	6602	1	E																								0	False	
QGNH01001314.1_9	QGNH01001314.1	QGNH01001314.1	9	6684	7184	1	E			YP_009003188.1	YP_009003188.1 hypothetical protein CC53_gp031 [Rhizobium phage vB_RleS_L338C]	False	0.298	60.0	1.636e-09																0	False	
QGNH01001314.1_10	QGNH01001314.1	QGNH01001314.1	10	7199	7612	1	E																								0	False	
QGNH01001314.1_11	QGNH01001314.1	QGNH01001314.1	11	7612	12966	1	D			YP_009816954.1	YP_009816954.1 endolysin [Salmonella phage Lumpael]	False	0.317	68.0	7.953e-10									GH104	GH104 peptidoglycan lytic transglycosylase (EC 3.2.1.-)	4.2.2.n1	GH104.hmm	VOG00245	sp|P51771|ENLYS_BPP2 Endolysin; XhXp	Xh;Xp	0	False	
QGNH01001314.1_12	QGNH01001314.1	QGNH01001314.1	12	12996	14213	1	E																								0	False	
QGNH01001314.1_13	QGNH01001314.1	QGNH01001314.1	13	14210	15259	1	D			YP_009600749.1	YP_009600749.1 glycoside hydrolase [Sphingobium phage Lacusarx]	False	0.312	96.0	4.491e-20								Conserved hypothetical protein 2217 (DUF2460) [PF09343.13]								0	False	
QGNH01001314.1_14	QGNH01001314.1	QGNH01001314.1	14	15256	16548	1	D			YP_009808925.1	YP_009808925.1 tail assembly protein [Caulobacter phage CcrBL10]	False	0.228	151.0	3.212e-37								Uncharacterized conserved protein (DUF2163) [PF09931.12]; Phage conserved hypothetical protein BR0599 [PF09356.13]								0	False	
QGNH01001314.1_15	QGNH01001314.1	QGNH01001314.1	15	16604	17065	1	D			YP_224009.1	YP_224009.1 minor tail protein [Alphaproteobacteria phage PhiJL001]	False	0.319	64.0	3.723e-11	MER0717783	C40	MER0717783 - family C40 unassigned peptidases (Burkholderia pseudomallei) [C40.UPW]#C40#{peptidase unit: 8-122}~source A0A095RI40~	False	0.315	66.0	1.451e-11									0	False	P
