target	query	e-value	score	length	start	end
NZ_CP030761.1_447901_450111_-	CBM48	3.8e-26	64.8	697	94	178
NZ_CP030760.1_2404131_2406161_+	CBM48	1.3e-20	66.3	676	74	160
NZ_CP030760.1_2410540_2412519_+	CBM48	4.4e-16	56.8	659	9	100
NZ_CP030764.1_219184_221340_+	CBM48	6.1e-16	56.3	718	14	105
NZ_CP030760.1_613023_615413_+	CBM48	3.3e-10	33.7	796	126	227
NZ_CP030761.1_425068_426837_-	CBM48	2.8e-09	33.8	586	3	71
NZ_CP030760.1_311024_312628_+	CBM50	7.9e-20	43.4	534	303	345
NZ_CP030760.1_4719788_4721812_-	CBM50	5.3e-09	33.9	674	607	650
NZ_CP030760.1_1462582_1463598_-	CE11	9.2e-100	332.0	338	29	302
NZ_CP030761.1_613556_614392_-	CE1	2.5e-51	173.3	278	21	274
NZ_CP030760.1_260356_261447_-	CE1	3.9e-26	90.6	360	43	262
NZ_CP030763.1_469590_470612_+	CE1	3.6e-23	81.0	340	72	262
NZ_CP030761.1_1117040_1117882_-	CE1	3.6e-23	81.0	280	12	210
NZ_CP030760.1_4431310_4432347_+	CE1	1.6e-13	49.2	345	139	326
NZ_CP030763.1_105726_106643_-	CE1	1.6e-13	48.2	305	29	271
NZ_CP030761.1_1646_2596_-	CE1	1.2e-11	43.3	316	65	294
NZ_CP030760.1_4764320_4766383_-	CE1	2.6e-09	35.3	687	440	662
NZ_CP030760.1_1746749_1747762_-	CE1	9.1e-09	33.5	337	84	194
NZ_CP030760.1_4316529_4318013_+	CE1	9.7e-09	33.4	494	84	233
NZ_CP030760.1_938578_939627_-	CE1	1.4e-07	29.4	349	68	210
NZ_CP030760.1_3250850_3251701_-	CE1	3e-07	28.8	283	63	248
NZ_CP030762.1_33117_34292_+	CE1	4.2e-07	28.4	391	164	256
NZ_CP030761.1_261510_262319_-	CE1	5.4e-07	28.2	251	56	114
NZ_CP030762.1_160033_160962_+	CE1	6.2e-07	27.4	309	97	282
NZ_CP030760.1_3797528_3799147_-	CE1	1e-06	26.7	539	343	522
NZ_CP030764.1_483571_484473_-	CE1	1.4e-06	26.6	300	87	232
NZ_CP030760.1_1938214_1938819_-	CE1	1.8e-06	26.2	201	17	186
NZ_CP030761.1_270930_271865_+	CE1	3.3e-06	25.5	311	70	169
NZ_CP030760.1_2863601_2864245_-	CE3	8.7e-10	35.1	214	67	195
NZ_CP030760.1_1919293_1919988_-	CE3	1.1e-07	29.6	231	81	207
NZ_CP030762.1_400469_401119_+	CE4	4.2e-32	109.4	216	17	137
NZ_CP030760.1_4148546_4149583_-	CE4	2.4e-25	87.1	345	97	302
NZ_CP030760.1_4766434_4767279_-	CE4	2.1e-24	84.4	281	75	190
NZ_CP030760.1_1891295_1894297_+	CE4	1.5e-21	74.3	1000	823	956
NZ_CP030761.1_882597_883478_-	CE4	4.1e-19	66.6	293	45	148
NZ_CP030760.1_4518515_4519327_+	CE4	4.1e-13	48.0	270	64	195
NZ_CP030760.1_1784845_1785768_-	CE4	4.8e-09	35.2	307	83	181
NZ_CP030760.1_1751450_1752514_+	CE4	2.7e-08	32.1	354	49	221
NZ_CP030760.1_4320865_4321803_-	CE6	7.3e-09	33.4	308	130	215
NZ_CP030760.1_1083808_1084887_-	CE7	4e-55	185.5	359	57	346
NZ_CP030764.1_483571_484473_-	CE7	3.7e-15	32.6	300	128	212
NZ_CP030764.1_386577_387464_-	CE7	1.4e-09	33.5	295	50	211
NZ_CP030760.1_4515661_4517769_-	CE7	1.5e-07	27.8	702	525	641
NZ_CP030760.1_4363936_4364526_-	CE7	6.6e-07	27.0	196	23	105
NZ_CP030760.1_2292766_2293224_+	CE7	8.1e-07	26.2	152	60	148
NZ_CP030760.1_2960842_2961993_-	CE9	1.5e-106	354.8	340	3	337
NZ_CP030760.1_3303708_3304847_-	CE9	2.7e-17	26.6	379	7	97
NZ_CP030760.1_3303708_3304847_-	CE9	2.7e-17	26.4	379	322	364
NZ_CP030760.1_4784987_4786156_+	CE9	4e-17	32.5	389	4	104
NZ_CP030760.1_4784987_4786156_+	CE9	4e-17	25.9	389	318	370
NZ_CP030760.1_1986631_1988085_+	CE9	2.9e-15	29.4	484	5	107
NZ_CP030760.1_3486780_3488159_-	CE9	4e-15	26.8	459	345	393
NZ_CP030764.1_108402_109664_-	CE9	4.6e-15	27.2	420	36	93
NZ_CP030763.1_165738_167540_-	CE9	2.1e-14	27.7	600	304	366
NZ_CP030760.1_2826407_2827840_+	CE9	4.1e-14	27.1	477	8	62
NZ_CP030761.1_1096787_1098019_-	CE9	9.3e-13	25.1	410	17	66
NZ_CP030760.1_1732784_1734481_+	CE9	1.7e-12	25.5	565	280	332
NZ_CP030761.1_1085455_1086684_-	CE9	2.8e-10	25.2	409	5	100
NZ_CP030760.1_257934_259910_+	CE9	4.4e-08	28.5	658	346	409
NZ_CP030760.1_3119989_3121107_+	GH102	7.1e-52	173.9	372	108	263
NZ_CP030760.1_2355910_2357133_+	GH103	4.7e-105	349.5	407	35	332
NZ_CP030760.1_3261479_3262762_-	GH103	6.7e-101	335.7	422	41	348
NZ_CP030760.1_1499730_1501016_+	GH103	1.4e-85	285.5	428	66	356
NZ_CP030760.1_3076624_3077496_+	GH103	2.9e-73	232.5	290	53	255
NZ_CP030761.1_479052_480146_-	GH105	3.9e-98	327.2	364	43	356
NZ_CP030761.1_854942_857626_-	GH106	2.8e-51	128.1	894	14	616
NZ_CP030761.1_854942_857626_-	GH106	2.8e-51	43.2	894	689	867
NZ_CP030760.1_1907983_1909056_+	GH10	1.1e-77	259.9	357	34	352
NZ_CP030761.1_852687_854924_-	GH116	7e-07	26.7	745	324	571
