target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_1985010_1986314_-	COG0001	1.3e-244	811.8	416	1	413
strain_GIC31_complete_genome_2225761_2227059_+	COG0001	1.6e-217	722.1	432	6	432
strain_GIC31_complete_genome_2364223_2365425_-	COG4992	1.6e-184	612.0	400	3	395
strain_GIC31_complete_genome_2560518_2561663_-	COG4992	1.1e-152	506.8	359	2	355
strain_GIC31_complete_genome_2167136_2168683_-	COG0365	2.8e-132	440.0	515	10	508
strain_GIC31_complete_genome_2019512_2021185_-	COG0365	8.4e-125	415.3	557	24	554
strain_GIC31_complete_genome_953516_955222_+	COG0365	5.4e-241	799.6	568	14	568
strain_GIC31_complete_genome_2276316_2277689_+	COG0365	1.7e-82	275.3	457	4	453
strain_GIC31_complete_genome_2563630_2564655_-	COG0002	4.5e-124	411.6	341	1	339
strain_GIC31_complete_genome_2382504_2383499_-	COG0136	5.7e-142	470.5	331	2	328
strain_GIC31_complete_genome_642855_644615_+	COG0003	1.2e-140	303.8	586	1	294
strain_GIC31_complete_genome_642855_644615_+	COG0003	1.2e-140	125.3	586	317	512
strain_GIC31_complete_genome_1953534_1954391_-	COG2894	5.6e-131	434.6	285	9	283
strain_GIC31_complete_genome_100026_101057_+	COG0489	1.5e-73	246.0	343	5	341
strain_GIC31_complete_genome_496447_497163_+	COG3206	4e-84	280.4	238	16	237
strain_GIC31_complete_genome_2175357_2176655_+	COG0004	4.6e-136	451.7	432	2	410
strain_GIC31_complete_genome_1192825_1193634_+	COG0005	1.9e-108	360.0	269	4	268
strain_GIC31_complete_genome_1123911_1124981_+	COG0006	3.3e-139	462.2	356	3	354
strain_GIC31_complete_genome_974208_975305_-	COG0006	1e-126	421.1	365	2	362
strain_GIC31_complete_genome_92150_92908_+	COG0024	7.1e-134	443.3	252	1	251
strain_GIC31_complete_genome_2278790_2279539_-	COG0024	1.5e-94	313.8	249	5	245
strain_GIC31_complete_genome_57012_58466_+	COG0008	2.5e-176	585.4	484	2	482
strain_GIC31_complete_genome_364409_365407_+	COG0009	1.5e-125	417.2	332	7	330
strain_GIC31_complete_genome_320278_321159_+	COG0010	1.2e-99	331.4	293	8	289
strain_GIC31_complete_genome_107823_108872_+	COG0010	2.2e-72	241.4	349	48	337
strain_GIC31_complete_genome_2857714_2858814_-	COG0012	8e-178	588.5	366	1	365
strain_GIC31_complete_genome_1949276_1950565_-	COG0536	2.3e-181	601.5	429	1	428
strain_GIC31_complete_genome_1223248_1224492_+	COG2262	8.2e-161	534.0	414	2	397
strain_GIC31_complete_genome_1900446_1903085_-	COG0013	0	1240.1	879	5	877
strain_GIC31_complete_genome_2385506_2386666_-	COG2872	1.6e-83	278.3	386	5	380
strain_GIC31_complete_genome_1004014_1005951_+	COG0441	9e-287	950.2	645	1	644
strain_GIC31_complete_genome_1175683_1177116_+	COG1012	1.7e-177	589.4	477	2	476
strain_GIC31_complete_genome_1515980_1518571_-	COG1454	1.9e-215	713.8	863	6	862
strain_GIC31_complete_genome_160869_162326_-	COG1012	2.6e-183	608.5	485	6	475
strain_GIC31_complete_genome_2307115_2308500_-	COG1012	7.4e-130	431.8	461	9	439
strain_GIC31_complete_genome_2426156_2427448_-	COG0015	1.5e-181	601.8	421	1	419
strain_GIC31_complete_genome_1539318_1540718_-	COG0114	5.6e-226	747.9	466	1	461
strain_GIC31_complete_genome_1272105_1273487_-	COG0165	2.8e-206	683.9	430	3	427
strain_GIC31_complete_genome_1011671_1012693_+	COG0016	2.1e-165	548.9	340	1	340
strain_GIC31_complete_genome_1612727_1614040_-	COG0017	3.7e-182	603.5	437	3	435
strain_GIC31_complete_genome_1922268_1924040_-	COG0173	1.1e-287	953.4	584	3	583
strain_GIC31_complete_genome_41976_43448_+	COG1190	1.8e-296	984.3	490	1	490
strain_GIC31_complete_genome_2588114_2589796_-	COG0018	1.3e-180	599.3	560	6	560
strain_GIC31_complete_genome_2376842_2378134_-	COG0019	6.4e-137	454.5	417	2	413
strain_GIC31_complete_genome_1691639_1692376_-	COG0020	4.4e-126	419.2	245	14	245
strain_GIC31_complete_genome_1231731_1233722_+	COG0021	0	1073.6	663	8	663
strain_GIC31_complete_genome_1131448_1133349_+	COG1154	4.7e-280	928.0	633	4	631
strain_GIC31_complete_genome_1144504_1145511_+	COG1071	2.5e-141	469.8	335	8	332
strain_GIC31_complete_genome_1145511_1146488_+	COG0022	4.7e-174	578.2	325	3	324
strain_GIC31_complete_genome_1842540_1843625_-	COG1071	5.1e-129	429.1	361	15	360
strain_GIC31_complete_genome_1841559_1842536_-	COG0022	3.8e-170	565.3	325	1	324
