locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NZ_CP085327.1_2_2197_+		K13525	COG1222, COG1222		phrog_30773, phrog_30773	VOG00842, VOG00842	KEGG:K13525	731	4.1e-273	906.6		VCP, CDC48; transitional endoplasmic reticulum ATPase
NZ_CP085327.1_2242_2769_+		K05520	COG0693		phrog_5908		KEGG:K05520	175	7.7e-69	230.8	3.5.1.124	pfpI; protease I
NZ_CP085327.1_2812_4305_-		K10106	COG3011				COG:COG3011	497	1.4e-14	50.8		YuxK; 
NZ_CP085327.1_4399_4650_+		K03718	COG1522				COG:COG1522	83	2.4e-16	58.1		Lrp; 
NZ_CP085327.1_4651_5292_-		K01304	COG2039				COG:COG2039	213	5.7e-75	251.0		Pcp; 
NZ_CP085327.1_5799_8636_-		K03724	COG1201		phrog_16	VOG00107	COG:COG1201	945	0	1034.1		Lhr; 
NZ_CP085327.1_8912_9652_-		K06953	COG1407				COG:COG1407	223	3.1e-60	201.9		; 
NZ_CP085327.1_9652_11295_-		K09746	COG3390				COG:COG3390	497	1.3e-76	253.1		; 
NZ_CP085327.1_11292_12563_-			COG1599				COG:COG1599	423	4.4e-134	446.3		RFA1; 
NZ_CP085327.1_12588_13958_-		K01023					KEGG:K01023	456	3e-16	48.5	2.8.2.22	assT; arylsulfate sulfotransferase
NZ_CP085327.1_12792_14672_+		K14654	COG1985				COG:COG1985	626	2.3e-70	236.1		RibD; Riboflavin/FAD biosynthesis
NZ_CP085327.1_14692_15726_-	K00133	K00133	COG0136				COG:COG0136	344	6.9e-94	313.0		Asd; Lysine biosynthesis
NZ_CP085327.1_16080_16256_-		K02962	COG1383				COG:COG1383	58	5.3e-30	102.4		RPS17A; Archaeal ribosomal proteins
NZ_CP085327.1_16341_16619_-		K01512	COG1254		phrog_20167		COG:COG1254	92	1.7e-44	151.1		AcyP; 
NZ_CP085327.1_16664_16837_-												Hypothetical
NZ_CP085327.1_16881_17762_-	K03660	K03660	COG0122				FOAM:K03660	293	1.4e-77	259.6	3.2.2.- 4.2.99.18	OGG1; N-glycosylase/DNA lyase
NZ_CP085327.1_17803_18840_-		K01273	COG2355				COG:COG2355	345	1.1e-116	388.8		; 
NZ_CP085327.1_18736_19398_+		K09731	COG1885				COG:COG1885	220	1.5e-64	214.2		; 
NZ_CP085327.1_19575_19784_+		K07722	COG3609				COG:COG3609	69	1.5e-11	43.2		ParD; 
NZ_CP085327.1_19821_20234_-												Hypothetical
NZ_CP085327.1_20407_20541_+												Hypothetical
NZ_CP085327.1_20545_22611_-												Hypothetical
NZ_CP085327.1_22720_23421_-												Hypothetical
NZ_CP085327.1_23490_24125_-												Hypothetical
NZ_CP085327.1_24146_24925_-			COG4742				COG:COG4742	259	2.9e-37	126.7		; 
NZ_CP085327.1_25168_25458_-												Hypothetical
NZ_CP085327.1_25500_25949_-		K03594	COG2406				COG:COG2406	149	6.4e-53	176.8		DPS; 
NZ_CP085327.1_26229_26414_+												Hypothetical
NZ_CP085327.1_26472_26627_-												Hypothetical
NZ_CP085327.1_27072_27668_-		K01613	COG0688				COG:COG0688	136	1.1e-42	143.8		Psd; Phospholipid biosynthesis
NZ_CP085327.1_27668_28072_-												Hypothetical
NZ_CP085327.1_28311_28667_+												Hypothetical
NZ_CP085327.1_28756_29829_+	K13677	K13677	COG0707	GT4	phrog_2170	VOG00313	FOAM:K13677	357	3.9e-140	464.8	2.4.1.208	dgs, bgsA; 1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase
NZ_CP085327.1_29670_31001_+		K19002	COG0297	GT4, GT5	phrog_2170		KEGG:K19002	443	4.9e-90	300.9	2.4.1.337	mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase
NZ_CP085327.1_31143_31313_+												Hypothetical
NZ_CP085327.1_31427_32035_+												Hypothetical
