MZ334505.1_31	38654c755ccdee6ab1c7b9ccd248d435	563	SUPERFAMILY	SSF49899	Concanavalin A-like lectins/glucanases	194	381	8.31E-10	T	10-07-2023	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
MZ334505.1_109	ee95631e592e36092af4869259dbd0e3	299	MobiDBLite	mobidb-lite	consensus disorder prediction	265	286	-	T	10-07-2023	-	-
MZ334505.1_109	ee95631e592e36092af4869259dbd0e3	299	MobiDBLite	mobidb-lite	consensus disorder prediction	203	234	-	T	10-07-2023	-	-
MZ334505.1_81	9dd0d3b83b8bf12bad867cd29706a574	62	MobiDBLite	mobidb-lite	consensus disorder prediction	34	52	-	T	10-07-2023	-	-
MZ334505.1_81	9dd0d3b83b8bf12bad867cd29706a574	62	MobiDBLite	mobidb-lite	consensus disorder prediction	34	62	-	T	10-07-2023	-	-
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	Pfam	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	4	82	2.8E-14	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	Pfam	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	96	178	5.3E-22	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	SUPERFAMILY	SSF55945	TATA-box binding protein-like	3	86	3.3E-14	T	10-07-2023	-	-
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	Gene3D	G3DSA:3.30.310.10	-	11	98	2.3E-44	T	10-07-2023	IPR012295	TBP domain superfamily
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	SUPERFAMILY	SSF55945	TATA-box binding protein-like	92	178	1.05E-21	T	10-07-2023	-	-
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PANTHER	PTHR10126	TATA-BOX BINDING PROTEIN	96	172	1.8E-24	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	Gene3D	G3DSA:3.30.310.10	-	6	169	2.3E-44	T	10-07-2023	IPR012295	TBP domain superfamily
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PRINTS	PR00686	Transcription initiation factor TFIID signature	98	114	1.0E-21	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PRINTS	PR00686	Transcription initiation factor TFIID signature	6	21	1.0E-21	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PRINTS	PR00686	Transcription initiation factor TFIID signature	123	138	1.0E-21	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PRINTS	PR00686	Transcription initiation factor TFIID signature	49	67	1.0E-21	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_38	d075eba5ccd1d237877021f7de6b95c1	179	PRINTS	PR00686	Transcription initiation factor TFIID signature	142	158	1.0E-21	T	10-07-2023	IPR000814	TATA-box binding protein
MZ334505.1_45	0184e9cf9222d8110c09ef97497ebbf1	453	Pfam	PF01139	tRNA-splicing ligase RtcB	28	452	1.8E-56	T	10-07-2023	IPR001233	RNA-splicing ligase, RtcB
MZ334505.1_45	0184e9cf9222d8110c09ef97497ebbf1	453	PANTHER	PTHR43749	RNA-SPLICING LIGASE RTCB	2	452	8.8E-82	T	10-07-2023	-	-
MZ334505.1_45	0184e9cf9222d8110c09ef97497ebbf1	453	Gene3D	G3DSA:3.90.1860.10	-	264	453	3.0E-30	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334505.1_45	0184e9cf9222d8110c09ef97497ebbf1	453	Gene3D	G3DSA:3.90.1860.10	-	1	254	1.5E-32	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334505.1_45	0184e9cf9222d8110c09ef97497ebbf1	453	SUPERFAMILY	SSF103365	Hypothetical protein PH1602	10	452	3.01E-93	T	10-07-2023	IPR036025	tRNA-splicing ligase RtcB-like superfamily
MZ334505.1_70	ef940c091afe3b26e827341c1bb1b54d	315	MobiDBLite	mobidb-lite	consensus disorder prediction	232	264	-	T	10-07-2023	-	-
MZ334505.1_70	ef940c091afe3b26e827341c1bb1b54d	315	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	10-07-2023	-	-
MZ334505.1_70	ef940c091afe3b26e827341c1bb1b54d	315	MobiDBLite	mobidb-lite	consensus disorder prediction	238	252	-	T	10-07-2023	-	-
MZ334505.1_86	16e7f51688f2c9fead3cdf3c09c6a894	142	SUPERFAMILY	SSF47413	lambda repressor-like DNA-binding domains	14	54	3.94E-5	T	10-07-2023	IPR010982	Lambda repressor-like, DNA-binding domain superfamily
MZ334505.1_86	16e7f51688f2c9fead3cdf3c09c6a894	142	CDD	cd00093	HTH_XRE	21	51	0.00126754	T	10-07-2023	IPR001387	Cro/C1-type helix-turn-helix domain
MZ334505.1_86	16e7f51688f2c9fead3cdf3c09c6a894	142	Gene3D	G3DSA:1.10.10.60	-	18	58	9.4E-7	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Pfam	PF02384	N-6 DNA Methylase	393	494	1.1E-8	T	10-07-2023	IPR003356	DNA methylase, adenine-specific
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	695	707	3.0E-22	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	436	450	3.0E-22	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	409	425	3.0E-22	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	PRINTS	PR00507	N12 class N6 adenine-specific DNA methyltransferase signature	731	755	3.0E-22	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	ProSitePatterns	PS00092	N-6 Adenine-specific DNA methylases signature.	698	704	-	T	10-07-2023	IPR002052	DNA methylase, N-6 adenine-specific, conserved site
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	389	561	8.4E-26	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	259	820	4.49E-53	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Pfam	PF12950	TaqI-like C-terminal specificity domain	917	1070	1.7E-12	T	10-07-2023	IPR025931	TaqI-like C-terminal specificity domain
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Pfam	PF13588	Type I restriction enzyme R protein N terminus (HSDR_N)	58	118	8.5E-7	T	10-07-2023	IPR029464	Type I restriction enzyme R protein, N-terminal domain
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Pfam	PF07669	Eco57I restriction-modification methylase	693	803	1.8E-11	T	10-07-2023	IPR011639	Type II restriction enzyme and methyltransferase RM.Eco57I-like
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	PANTHER	PTHR33841	DNA METHYLTRANSFERASE YEEA-RELATED	389	1105	1.7E-64	T	10-07-2023	-	-
MZ334505.1_39	04c0dccc9cc4924aca18216b8aec0ed8	1246	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	639	821	3.5E-27	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
MZ334505.1_1	57a20678807f1ae31b204729b4ef6f14	188	Pfam	PF18545	Halobacterial output domain 1	31	101	3.3E-10	T	10-07-2023	IPR040624	Halobacterial output domain 1
MZ334505.1_1	57a20678807f1ae31b204729b4ef6f14	188	MobiDBLite	mobidb-lite	consensus disorder prediction	122	160	-	T	10-07-2023	-	-
MZ334505.1_1	57a20678807f1ae31b204729b4ef6f14	188	MobiDBLite	mobidb-lite	consensus disorder prediction	126	160	-	T	10-07-2023	-	-
MZ334505.1_2	c4cb3c40c972857720a084ab1e32b2e9	258	MobiDBLite	mobidb-lite	consensus disorder prediction	243	258	-	T	10-07-2023	-	-
MZ334505.1_2	c4cb3c40c972857720a084ab1e32b2e9	258	MobiDBLite	mobidb-lite	consensus disorder prediction	235	258	-	T	10-07-2023	-	-
MZ334505.1_27	de7208ecfdb91adb0c45a8562b9f6ba8	92	MobiDBLite	mobidb-lite	consensus disorder prediction	65	92	-	T	10-07-2023	-	-
MZ334505.1_68	2e65fa190cd2daf128b923a42ef7facd	493	MobiDBLite	mobidb-lite	consensus disorder prediction	121	140	-	T	10-07-2023	-	-
MZ334505.1_68	2e65fa190cd2daf128b923a42ef7facd	493	MobiDBLite	mobidb-lite	consensus disorder prediction	455	493	-	T	10-07-2023	-	-
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	CDD	cd20175	ThyX	11	213	2.87395E-48	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	ProSiteProfiles	PS51331	Flavin-dependent thymidylate synthase (thyX) domain profile.	1	225	25.977583	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	Pfam	PF02511	Thymidylate synthase complementing protein	11	216	1.1E-51	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	Gene3D	G3DSA:3.30.1360.170	-	7	231	9.3E-54	T	10-07-2023	IPR036098	Thymidylate synthase ThyX superfamily
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	TIGRFAM	TIGR02170	thyX: thymidylate synthase, flavin-dependent	2	222	1.4E-69	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	PANTHER	PTHR34934	FLAVIN-DEPENDENT THYMIDYLATE SYNTHASE	9	226	6.4E-44	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	Hamap	MF_01408	Flavin-dependent thymidylate synthase [thyX].	1	230	26.178373	T	10-07-2023	IPR003669	Thymidylate synthase ThyX
MZ334505.1_50	f1a623394a9356e431d485490e08b98d	234	SUPERFAMILY	SSF69796	Thymidylate synthase-complementing protein Thy1	9	226	1.83E-55	T	10-07-2023	IPR036098	Thymidylate synthase ThyX superfamily
MZ334505.1_4	43bf3dd250e467f0965cba71282d6bf9	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	10-07-2023	-	-
MZ334505.1_4	43bf3dd250e467f0965cba71282d6bf9	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	10-07-2023	-	-
MZ334505.1_16	09ca95e47fb84e80831ef4c04091f99b	1038	MobiDBLite	mobidb-lite	consensus disorder prediction	116	153	-	T	10-07-2023	-	-
MZ334505.1_16	09ca95e47fb84e80831ef4c04091f99b	1038	MobiDBLite	mobidb-lite	consensus disorder prediction	133	152	-	T	10-07-2023	-	-
MZ334505.1_79	86a093972c9c6b4056c8a47efdad0801	67	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	10-07-2023	-	-
