KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	CDD	cd01672	TMPK	6	192	1.1287E-48	T	10-07-2023	-	-
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	ProSitePatterns	PS01331	Thymidylate kinase signature.	85	97	-	T	10-07-2023	IPR018095	Thymidylate kinase, conserved site
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	PANTHER	PTHR10344	THYMIDYLATE KINASE	3	195	3.4E-26	T	10-07-2023	-	-
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	Hamap	MF_00165	Thymidylate kinase [tmk].	5	194	22.444675	T	10-07-2023	IPR018094	Thymidylate kinase
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	Pfam	PF02223	Thymidylate kinase	9	183	5.6E-32	T	10-07-2023	IPR039430	Thymidylate kinase-like domain
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1	194	3.6E-38	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	TIGRFAM	TIGR00041	DTMP_kinase: dTMP kinase	1	183	2.8E-38	T	10-07-2023	IPR018094	Thymidylate kinase
KC292029.1_89	7af0423c4755d9e9ad62b9945f07577b	196	Gene3D	G3DSA:3.40.50.300	-	2	196	6.9E-48	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
KC292029.1_107	f55f4ff3a723aa4c1baa0e3d43817eb8	665	Coils	Coil	Coil	664	665	-	T	10-07-2023	-	-
KC292029.1_107	f55f4ff3a723aa4c1baa0e3d43817eb8	665	MobiDBLite	mobidb-lite	consensus disorder prediction	488	506	-	T	10-07-2023	-	-
KC292029.1_107	f55f4ff3a723aa4c1baa0e3d43817eb8	665	MobiDBLite	mobidb-lite	consensus disorder prediction	564	605	-	T	10-07-2023	-	-
KC292029.1_107	f55f4ff3a723aa4c1baa0e3d43817eb8	665	MobiDBLite	mobidb-lite	consensus disorder prediction	341	398	-	T	10-07-2023	-	-
KC292029.1_107	f55f4ff3a723aa4c1baa0e3d43817eb8	665	MobiDBLite	mobidb-lite	consensus disorder prediction	606	622	-	T	10-07-2023	-	-
