locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKCNDBHD_00001	CDS	861				hypothetical protein
EKCNDBHD_00002	CDS	660				hypothetical protein
EKCNDBHD_00003	CDS	225				hypothetical protein
EKCNDBHD_00004	CDS	219				hypothetical protein
EKCNDBHD_00005	CDS	651				hypothetical protein
EKCNDBHD_00006	CDS	216				hypothetical protein
EKCNDBHD_00007	CDS	396				hypothetical protein
EKCNDBHD_00008	CDS	471				hypothetical protein
EKCNDBHD_00009	CDS	396				hypothetical protein
EKCNDBHD_00010	CDS	375				hypothetical protein
EKCNDBHD_00011	CDS	150				hypothetical protein
EKCNDBHD_00012	CDS	225				hypothetical protein
EKCNDBHD_00013	CDS	174				hypothetical protein
EKCNDBHD_00014	CDS	246				hypothetical protein
EKCNDBHD_00015	CDS	420				hypothetical protein
EKCNDBHD_00016	CDS	1077				hypothetical protein
EKCNDBHD_00017	CDS	366				hypothetical protein
EKCNDBHD_00018	CDS	261				hypothetical protein
EKCNDBHD_00019	CDS	204				hypothetical protein
EKCNDBHD_00020	CDS	288				hypothetical protein
EKCNDBHD_00021	CDS	363				hypothetical protein
EKCNDBHD_00022	CDS	132				hypothetical protein
EKCNDBHD_00023	CDS	738				hypothetical protein
EKCNDBHD_00024	CDS	942				hypothetical protein
EKCNDBHD_00025	CDS	144				hypothetical protein
EKCNDBHD_00026	CDS	726				hypothetical protein
EKCNDBHD_00027	CDS	336				hypothetical protein
EKCNDBHD_00028	CDS	171				hypothetical protein
EKCNDBHD_00029	CDS	1218				hypothetical protein
EKCNDBHD_00030	CDS	489				hypothetical protein
EKCNDBHD_00031	CDS	2115				hypothetical protein
EKCNDBHD_00032	CDS	453				hypothetical protein
EKCNDBHD_00033	CDS	465				hypothetical protein
EKCNDBHD_00034	CDS	306				hypothetical protein
EKCNDBHD_00035	CDS	261				hypothetical protein
EKCNDBHD_00036	CDS	573				hypothetical protein
EKCNDBHD_00037	tRNA	77				tRNA-Phe(gaa)
EKCNDBHD_00038	CDS	1479				hypothetical protein
EKCNDBHD_00039	CDS	159				hypothetical protein
EKCNDBHD_00040	CDS	309				hypothetical protein
EKCNDBHD_00041	CDS	162				hypothetical protein
EKCNDBHD_00042	CDS	510				hypothetical protein
EKCNDBHD_00043	CDS	1344				hypothetical protein
EKCNDBHD_00044	CDS	1956				hypothetical protein
EKCNDBHD_00045	CDS	126				hypothetical protein
EKCNDBHD_00046	CDS	1344				hypothetical protein
EKCNDBHD_00047	CDS	1083				hypothetical protein
EKCNDBHD_00048	CDS	180				hypothetical protein
EKCNDBHD_00049	CDS	351				hypothetical protein
EKCNDBHD_00050	CDS	876				hypothetical protein
EKCNDBHD_00051	CDS	318				hypothetical protein
EKCNDBHD_00052	CDS	453				hypothetical protein
EKCNDBHD_00053	CDS	528				hypothetical protein
EKCNDBHD_00054	CDS	915				hypothetical protein
EKCNDBHD_00055	CDS	498				hypothetical protein
EKCNDBHD_00056	CDS	1128				hypothetical protein
EKCNDBHD_00057	CDS	288				hypothetical protein
EKCNDBHD_00058	CDS	669				hypothetical protein
EKCNDBHD_00059	CDS	1188				hypothetical protein
EKCNDBHD_00060	CDS	1593				hypothetical protein
EKCNDBHD_00061	CDS	2751				hypothetical protein
EKCNDBHD_00062	CDS	378				hypothetical protein
EKCNDBHD_00063	CDS	441				hypothetical protein
EKCNDBHD_00064	CDS	312				hypothetical protein
