locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNGPELJD_00001	CDS	159				hypothetical protein
CNGPELJD_00002	CDS	267				hypothetical protein
CNGPELJD_00003	CDS	405				hypothetical protein
CNGPELJD_00004	CDS	417				hypothetical protein
CNGPELJD_00005	CDS	405				hypothetical protein
CNGPELJD_00006	CDS	663				hypothetical protein
CNGPELJD_00007	CDS	279				hypothetical protein
CNGPELJD_00008	CDS	312				hypothetical protein
CNGPELJD_00009	CDS	363				hypothetical protein
CNGPELJD_00010	CDS	216				hypothetical protein
CNGPELJD_00011	CDS	342				hypothetical protein
CNGPELJD_00012	CDS	504				hypothetical protein
CNGPELJD_00013	CDS	378				hypothetical protein
CNGPELJD_00014	CDS	582				hypothetical protein
CNGPELJD_00015	CDS	312				hypothetical protein
CNGPELJD_00016	CDS	150				hypothetical protein
CNGPELJD_00017	CDS	480				hypothetical protein
CNGPELJD_00018	CDS	198				hypothetical protein
CNGPELJD_00019	CDS	1689				hypothetical protein
CNGPELJD_00020	CDS	219				hypothetical protein
CNGPELJD_00021	CDS	867				hypothetical protein
CNGPELJD_00022	CDS	417				hypothetical protein
CNGPELJD_00023	CDS	918				hypothetical protein
CNGPELJD_00024	CDS	438				hypothetical protein
CNGPELJD_00025	CDS	276				hypothetical protein
CNGPELJD_00026	CDS	237				hypothetical protein
CNGPELJD_00027	CDS	555				hypothetical protein
CNGPELJD_00028	CDS	432				hypothetical protein
CNGPELJD_00029	CDS	561				hypothetical protein
CNGPELJD_00030	CDS	561				hypothetical protein
CNGPELJD_00031	CDS	462				hypothetical protein
CNGPELJD_00032	CDS	1209				hypothetical protein
CNGPELJD_00033	CDS	417				hypothetical protein
CNGPELJD_00034	CDS	225				hypothetical protein
CNGPELJD_00035	CDS	213				hypothetical protein
CNGPELJD_00036	CDS	270				hypothetical protein
CNGPELJD_00037	CDS	351				hypothetical protein
CNGPELJD_00038	CDS	279				hypothetical protein
CNGPELJD_00039	CDS	279				hypothetical protein
CNGPELJD_00040	CDS	186				hypothetical protein
CNGPELJD_00041	CDS	225				hypothetical protein
CNGPELJD_00042	CDS	186				hypothetical protein
CNGPELJD_00043	CDS	549				hypothetical protein
CNGPELJD_00044	CDS	357				hypothetical protein
CNGPELJD_00045	CDS	468				hypothetical protein
CNGPELJD_00046	CDS	189				hypothetical protein
CNGPELJD_00047	CDS	324				hypothetical protein
CNGPELJD_00048	tRNA	74				tRNA-Gln(ttg)
CNGPELJD_00049	tRNA	76				tRNA-Arg(tct)
CNGPELJD_00050	CDS	426				hypothetical protein
CNGPELJD_00051	tRNA	85				tRNA-Leu(tag)
CNGPELJD_00052	tRNA	76				tRNA-Ile(gat)
CNGPELJD_00053	tRNA	79				tRNA-Asp(gtc)
CNGPELJD_00054	tRNA	75				tRNA-Met(cat)
CNGPELJD_00055	tRNA	76				tRNA-Cys(gca)
CNGPELJD_00056	tRNA	76				tRNA-Asn(gtt)
CNGPELJD_00057	tRNA	78				tRNA-Pro(tgg)
CNGPELJD_00058	tRNA	76				tRNA-Gly(tcc)
CNGPELJD_00059	tRNA	76				tRNA-Phe(gaa)
CNGPELJD_00060	tRNA	76				tRNA-Glu(ttc)
CNGPELJD_00061	tRNA	75				tRNA-His(gtg)
CNGPELJD_00062	tRNA	75				tRNA-Thr(tgt)
CNGPELJD_00063	CDS	1521				hypothetical protein
CNGPELJD_00064	CDS	1440				hypothetical protein
CNGPELJD_00065	CDS	471				hypothetical protein
CNGPELJD_00066	CDS	918				hypothetical protein
CNGPELJD_00067	CDS	411				hypothetical protein
CNGPELJD_00068	CDS	1035	ORF4			Major capsid protein
CNGPELJD_00069	CDS	477				hypothetical protein
CNGPELJD_00070	CDS	480				hypothetical protein
CNGPELJD_00071	CDS	381				hypothetical protein
CNGPELJD_00072	CDS	564				hypothetical protein
CNGPELJD_00073	CDS	1287				hypothetical protein
CNGPELJD_00074	CDS	525				Structural protein ORF10
CNGPELJD_00075	CDS	501				Structural protein ORF10
CNGPELJD_00076	CDS	480				Structural protein ORF10
CNGPELJD_00077	CDS	372				hypothetical protein
CNGPELJD_00078	CDS	153				hypothetical protein
CNGPELJD_00079	CDS	2361				hypothetical protein
CNGPELJD_00080	CDS	762				hypothetical protein
CNGPELJD_00081	CDS	357				hypothetical protein
CNGPELJD_00082	CDS	918				hypothetical protein
CNGPELJD_00083	CDS	741				hypothetical protein
CNGPELJD_00084	CDS	372				hypothetical protein
CNGPELJD_00085	CDS	1464				hypothetical protein
CNGPELJD_00086	CDS	732				hypothetical protein
CNGPELJD_00087	CDS	2058				hypothetical protein
CNGPELJD_00088	CDS	375				hypothetical protein
CNGPELJD_00089	CDS	1500				hypothetical protein
CNGPELJD_00090	CDS	561				hypothetical protein
CNGPELJD_00091	CDS	231				hypothetical protein
CNGPELJD_00092	CDS	438				hypothetical protein
CNGPELJD_00093	CDS	306				hypothetical protein
CNGPELJD_00094	CDS	315				hypothetical protein
CNGPELJD_00095	CDS	312				hypothetical protein
CNGPELJD_00096	CDS	321				hypothetical protein
CNGPELJD_00097	CDS	813				hypothetical protein
CNGPELJD_00098	CDS	165				hypothetical protein
CNGPELJD_00099	CDS	1143				hypothetical protein
CNGPELJD_00100	CDS	336				hypothetical protein
CNGPELJD_00101	CDS	198				hypothetical protein
