	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000006.1_1	QGNH01000006.1	QGNH01000006.1	1	2	808	-1	E													0	False	F
QGNH01000006.1_2	QGNH01000006.1	QGNH01000006.1	2	1169	3832	1	E													0	False	F
QGNH01000006.1_3	QGNH01000006.1	QGNH01000006.1	3	3833	4207	-1	E													0	False	F
QGNH01000006.1_4	QGNH01000006.1	QGNH01000006.1	4	4243	5625	-1	E													0	False	F
QGNH01000006.1_5	QGNH01000006.1	QGNH01000006.1	5	5618	6289	-1	C	K01779	aspartate racemase [EC:5.1.1.13]							Asp/Glu/Hydantoin racemase [PF01177.25]				0	False	MK
QGNH01000006.1_6	QGNH01000006.1	QGNH01000006.1	6	6286	8574	-1	E													0	False	
QGNH01000006.1_7	QGNH01000006.1	QGNH01000006.1	7	8571	9428	-1	E													0	False	
QGNH01000006.1_8	QGNH01000006.1	QGNH01000006.1	8	9425	9829	-1	E													0	False	
QGNH01000006.1_9	QGNH01000006.1	QGNH01000006.1	9	9826	10224	-1	E													0	False	
QGNH01000006.1_10	QGNH01000006.1	QGNH01000006.1	10	10421	10846	-1	E													0	False	
QGNH01000006.1_11	QGNH01000006.1	QGNH01000006.1	11	11229	11615	-1	E													0	False	F
QGNH01000006.1_12	QGNH01000006.1	QGNH01000006.1	12	11731	12012	1	E													0	False	F
QGNH01000006.1_13	QGNH01000006.1	QGNH01000006.1	13	12009	12206	1	E													0	False	F
QGNH01000006.1_14	QGNH01000006.1	QGNH01000006.1	14	12319	12441	1	E													0	False	F
QGNH01000006.1_15	QGNH01000006.1	QGNH01000006.1	15	12587	13033	1	E													0	False	F
QGNH01000006.1_16	QGNH01000006.1	QGNH01000006.1	16	13425	13703	1	E													0	False	F
QGNH01000006.1_17	QGNH01000006.1	QGNH01000006.1	17	13700	14092	1	C	K07488	transposase							Transposase zinc-ribbon domain [PF12760.10]				0	False	F
QGNH01000006.1_18	QGNH01000006.1	QGNH01000006.1	18	14089	14976	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_010647633.1	YP_010647633.1 DNA methyltransferase [Streptococcus phage P9902]	False	192.0	4.57e-53	0.403	D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]				0	False	F
QGNH01000006.1_19	QGNH01000006.1	QGNH01000006.1	19	15830	16039	-1	E													0	False	F
