	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
Protein Count (Total)	285	2988	7564	3076	4821
Protein Count (>Min Score)	144	1140	3224	1204	1804
% Proteins > Min Score	50.53	38.15	42.62	39.14	37.42
Average Protein Length	337.58	291.73	303.03	298.19	320.78
FOAM KO Count	8642	17972	17608	18296	17874
KEGG KO Count	8740	21985	26653	22214	27174
GC count	225002	1525438	4802878	1571596	3523702
GC %	72.95	52.27	60.53	52.05	65.68
N25	308429	2918587	4883137	947149	5365318
N50	308429	2918587	4883137	705844	5365318
N75	308429	2918587	1234209	342451	5365318
N90	308429	2918587	630306	98909	5365318
Contig Min Length	308429	2918587	415988	274	5365318
Contig Max Length	308429	2918587	4883137	947149	5365318
