locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
QGNH01000781.1_1_1					phrog_776	VOG03866	VOG:VOG03866	123	7.2e-12	35.4		REFSEQ portal protein
QGNH01000781.1_2_1												Hypothetical
QGNH01000781.1_3_1												Hypothetical
QGNH01000781.1_4_1		K01975	COG2369, COG1514		phrog_859	VOG02585	PHROG:phrog_859	927	9.2e-111	359.9		portal protein
QGNH01000781.1_4_2					phrog_854	VOG04414	VOG:VOG04414	218	2.4e-19	60.3		REFSEQ glucosyltransferase
QGNH01000781.1_4_3												Hypothetical
QGNH01000781.1_4_4												Hypothetical
QGNH01000781.1_4_5												Hypothetical
QGNH01000781.1_4_6												Hypothetical
QGNH01000781.1_4_7												Hypothetical
QGNH01000781.1_4_8												Hypothetical
QGNH01000781.1_4_9												Hypothetical
QGNH01000781.1_4_10					phrog_777	VOG08450	VOG:VOG08450	564	4e-88	287.5		REFSEQ major head protein
QGNH01000781.1_4_11					phrog_779	VOG04109	VOG:VOG04109	297	2.3e-32	102.9		REFSEQ hypothetical protein
QGNH01000781.1_4_12					phrog_792	VOG08452	VOG:VOG08452	232	2.8e-25	79.5		REFSEQ major tail protein
QGNH01000781.1_4_13					phrog_783		PHROG:phrog_783	102	1.8e-09	27.8		head-tail adaptor
QGNH01000781.1_5_1					phrog_783	VOG08454	VOG:VOG08454	148	9.3e-43	137.1		REFSEQ head-tail adaptor
QGNH01000781.1_5_2												Hypothetical
QGNH01000781.1_5_3					phrog_810	VOG02652	VOG:VOG02652	183	2.2e-13	40.7		REFSEQ hypothetical protein
QGNH01000781.1_5_4												Hypothetical
QGNH01000781.1_5_5												Hypothetical
QGNH01000781.1_5_6												Hypothetical
QGNH01000781.1_5_7												Hypothetical
QGNH01000781.1_5_8												Hypothetical
QGNH01000781.1_6_1												Hypothetical
QGNH01000781.1_6_2												Hypothetical
QGNH01000781.1_6_3					phrog_9443	VOG09618	PHROG:phrog_9443	146	4.1e-22	69.3		HNH endonuclease
QGNH01000781.1_6_4						VOG04042	VOG:VOG04042	143	5.4e-09	27.5		REFSEQ head protein
QGNH01000781.1_6_5					phrog_837	VOG01538	PHROG:phrog_837	682	9.7e-37	115.6		minor tail protein
QGNH01000781.1_6_6						VOG03089	VOG:VOG03089	169	1.4e-11	34.8		REFSEQ hypothetical protein
