locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHOEODOP_00001	CDS	375				hypothetical protein
KHOEODOP_00002	CDS	573				hypothetical protein
KHOEODOP_00003	CDS	312				hypothetical protein
KHOEODOP_00004	CDS	201				hypothetical protein
KHOEODOP_00005	CDS	144				hypothetical protein
KHOEODOP_00006	CDS	171				hypothetical protein
KHOEODOP_00007	CDS	162				hypothetical protein
KHOEODOP_00008	CDS	663				hypothetical protein
KHOEODOP_00009	CDS	477				hypothetical protein
KHOEODOP_00010	CDS	678				hypothetical protein
KHOEODOP_00011	CDS	2046				hypothetical protein
KHOEODOP_00012	CDS	1134				hypothetical protein
KHOEODOP_00013	CDS	657				hypothetical protein
KHOEODOP_00014	CDS	204				hypothetical protein
KHOEODOP_00015	CDS	981				hypothetical protein
KHOEODOP_00016	CDS	132				hypothetical protein
KHOEODOP_00017	CDS	567				hypothetical protein
KHOEODOP_00018	CDS	465				hypothetical protein
KHOEODOP_00019	CDS	270				hypothetical protein
KHOEODOP_00020	CDS	552				hypothetical protein
KHOEODOP_00021	CDS	1461				hypothetical protein
KHOEODOP_00022	CDS	1614				hypothetical protein
KHOEODOP_00023	CDS	819				hypothetical protein
KHOEODOP_00024	CDS	1020				hypothetical protein
KHOEODOP_00025	CDS	1011				hypothetical protein
KHOEODOP_00026	CDS	423				hypothetical protein
KHOEODOP_00027	CDS	444				hypothetical protein
KHOEODOP_00028	CDS	522				hypothetical protein
KHOEODOP_00029	CDS	1110				hypothetical protein
KHOEODOP_00030	CDS	450				hypothetical protein
KHOEODOP_00031	CDS	4212				hypothetical protein
KHOEODOP_00032	CDS	186				hypothetical protein
KHOEODOP_00033	CDS	3303				hypothetical protein
KHOEODOP_00034	CDS	1869				hypothetical protein
KHOEODOP_00035	CDS	903				hypothetical protein
KHOEODOP_00036	CDS	534				hypothetical protein
KHOEODOP_00037	CDS	321				hypothetical protein
KHOEODOP_00038	CDS	294				hypothetical protein
KHOEODOP_00039	CDS	249				hypothetical protein
