	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_027983.1_1	NC_027983.1	NC_027983.1	1	12	2189	-1	D			YP_009167812.1	YP_009167812.1 RIIA lysis inhibitor [Escherichia phage AR1]	True	0.96	1465	0.0								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]					VOG00182	sp|P03690|VR2A_BPT4 Protein rIIA; XhXr	Xr;Xh	0	False	VF
NC_027983.1_2	NC_027983.1	NC_027983.1	2	2200	2403	-1	E			YP_009167813.1	YP_009167813.1 hypothetical protein AR1_002 [Escherichia phage AR1]	False	0.917	131	6.465e-36													VOG07246	sp|P25186|Y00A_BPT4 Uncharacterized 8.1 kDa protein in rIIA-Gp60 intergenic region; Xu	Xu	0	False	F
NC_027983.1_3	NC_027983.1	NC_027983.1	3	2458	4275	-1	C	K26040	Escherichia phage DNA topoisomerase large subunit [EC:5.6.2.2]	YP_010065645.1	YP_010065645.1 DNA topoisomerase II large subunit [Citrobacter phage PhiZZ23]	True	0.969	1236	0.0								DNA gyrase B [PF00204.28]; C-terminal associated domain of TOPRIM [PF16898.8]					VOG01293	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit; Xh	Xh	0	False	F
NC_027983.1_4	NC_027983.1	NC_027983.1	4	4345	4605	-1	E			YP_010068242.1	YP_010068242.1 hypothetical protein KMC03_gp029 [Escherichia phage ECO4]	False	0.994	183	1.1969999999999999e-53													VOG01627	sp|Q01435|Y00C_BPT4 Uncharacterized 7.2 kDa protein in Gp39-comCA intergenic region; Xu	Xu	0	False	F
NC_027983.1_5	NC_027983.1	NC_027983.1	5	4611	4982	-1	E			YP_009167817.1	YP_009167817.1 hypothetical protein AR1_005 [Escherichia phage AR1]	False	0.939	244	2.825e-74													VOG00928	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region; Xu	Xu	0	False	F
NC_027983.1_6	NC_027983.1	NC_027983.1	6	4985	5161	-1	D			YP_010075815.1	YP_010075815.1 FmdB-like transcriptional regulator [Shigella phage CM8]	False	1.0	133	8.386e-37								Zinc ribbon domain [PF09723.13]					VOG00919	sp|Q01434|Y00D_BPT4 Uncharacterized 5.1 kDa protein in Gp39-comCA intergenic region; Xu	Xu	1	False	F
NC_027983.1_7	NC_027983.1	NC_027983.1	7	5164	5589	-1	E			YP_009167819.1	YP_009167819.1 hypothetical protein AR1_008 [Escherichia phage AR1]	False	0.943	281	1.182e-86													VOG00928	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region; Xu	Xu	0	False	
NC_027983.1_8	NC_027983.1	NC_027983.1	8	5589	5804	-1	E			YP_010072574.1	YP_010072574.1 cef modifier of supressor tRNAs [Escherichia phage vB_EcoM_Ozark]	False	1.0	154	6.08e-44													VOG07239	sp|Q01436|CEF_BPT4 Protein cef; Xu	Xu	0	False	
NC_027983.1_9	NC_027983.1	NC_027983.1	9	5818	6087	-1	E			YP_010072575.1	YP_010072575.1 hypothetical protein KMC19_gp009 [Escherichia phage vB_EcoM_Ozark]	False	0.979	186	1.1059999999999999e-54													VOG02452	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_027983.1_10	NC_027983.1	NC_027983.1	10	6185	6676	-1	D			YP_007004752.1	YP_007004752.1 MotB-like transcriptional regulator [Escherichia phage wV7]	False	0.977	338	6.170000000000001e-106								Modifier of transcription [PF17613.5]					VOG02032	sp|Q01437|MOTB_BPT4 Transcription regulatory protein motB; Xu	Xu	0	False	
NC_027983.1_11	NC_027983.1	NC_027983.1	11	6750	7250	-1	D			YP_010073354.1	YP_010073354.1 hypothetical protein KMC21_gp139 [Escherichia phage PE37]	False	0.959	337	1.836e-105								Modifier of transcription [PF17613.5]					VOG02032	sp|Q01437|MOTB_BPT4 Transcription regulatory protein motB; Xu	Xu	0	False	
NC_027983.1_12	NC_027983.1	NC_027983.1	12	7260	7772	-1	E			YP_007004754.1	YP_007004754.1 hypothetical protein F412_gp262 [Escherichia phage wV7]	True	1.0	365	4.134000000000001e-115													VOG00404	sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region; Xu	Xu	0	False	
NC_027983.1_13	NC_027983.1	NC_027983.1	13	7836	8519	-1	C	K26049	Escherichia phage exodeoxyribonuclease [EC:3.1.11.1]	YP_009279008.1	YP_009279008.1 exonuclease [Shigella phage SHFML-26]	True	0.995	479	1.169e-153								3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease; Xu	Xu	0	False	
NC_027983.1_14	NC_027983.1	NC_027983.1	14	8519	8761	-1	E			YP_009167826.1	YP_009167826.1 hypothetical protein AR1_015 [Escherichia phage AR1]	False	0.954	163	9.032e-47																0	False	
NC_027983.1_15	NC_027983.1	NC_027983.1	15	8754	8999	-1	E			YP_009277657.1	YP_009277657.1 dextranase [Shigella phage SHFML-11]	False	0.931	160	6.3380000000000005e-46													VOG06374	sp|P32285|Y00G_BPT4 Uncharacterized protein dexA.1; Xu	Xu	0	False	
