	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001771.1_1	QGNH01001771.1	QGNH01001771.1	1	93	524	1	E			YP_010078278.1	YP_010078278.1 terminase small subunit [Ralstonia phage Eline]	False	0.481	119.0	2.094e-30					0	False	F
QGNH01001771.1_2	QGNH01001771.1	QGNH01001771.1	2	569	1159	1	E													0	False	F
QGNH01001771.1_3	QGNH01001771.1	QGNH01001771.1	3	1195	2103	1	C	K06909	phage terminase large subunit	YP_008320314.1	YP_008320314.1 terminase large subunit [Puniceispirillum phage HMO-2011]	False	0.25	86.0	6.325e-17					0	False	F
QGNH01001771.1_4	QGNH01001771.1	QGNH01001771.1	4	2113	2370	1	E													0	False	F
QGNH01001771.1_5	QGNH01001771.1	QGNH01001771.1	5	2373	2753	1	E													0	False	F
QGNH01001771.1_6	QGNH01001771.1	QGNH01001771.1	6	2753	2944	1	E													0	False	F
QGNH01001771.1_7	QGNH01001771.1	QGNH01001771.1	7	2946	5480	1	E													0	False	F
QGNH01001771.1_8	QGNH01001771.1	QGNH01001771.1	8	5499	6827	1	E													0	False	F
QGNH01001771.1_9	QGNH01001771.1	QGNH01001771.1	9	6941	8302	1	E													0	False	F
QGNH01001771.1_10	QGNH01001771.1	QGNH01001771.1	10	8350	8706	1	D									Chaperonin 10 Kd subunit [PF00166.24]				0	False	F
QGNH01001771.1_11	QGNH01001771.1	QGNH01001771.1	11	8699	9406	1	E													0	False	F
QGNH01001771.1_12	QGNH01001771.1	QGNH01001771.1	12	9419	10255	1	E													0	False	F
QGNH01001771.1_13	QGNH01001771.1	QGNH01001771.1	13	10341	11171	1	E													0	False	F
QGNH01001771.1_14	QGNH01001771.1	QGNH01001771.1	14	11223	11615	1	E													0	False	F
