	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292021.1_1	KC292021	KC292021.1	1	66	359	1	E													0	False	TF
KC292021.1_2	KC292021	KC292021.1	2	898	1785	1	E			YP_008059985.1	YP_008059985.1 terminase small subunit [Halorubrum tailed phage 7]	True	0.974	608.0	9.192e-197		VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	TF
KC292021.1_3	KC292021	KC292021.1	3	1775	2065	1	E			YP_008059986.1	YP_008059986.1 hypothetical protein M193_gp002 [Halorubrum tailed phage 7]	False	1.0	211.0	3.493e-63		VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	TF
KC292021.1_4	KC292021	KC292021.1	4	2072	2194	1	E			YP_008059987.1	YP_008059987.1 hypothetical protein M193_gp003 [Halorubrum tailed phage 7]	False	0.967	84.0	3.965e-20					0	False	TF
KC292021.1_5	KC292021	KC292021.1	5	2187	2516	1	E			YP_008059988.1	YP_008059988.1 hypothetical protein M193_gp004 [Halorubrum tailed phage 7]	False	0.981	228.0	8.284e-69					0	False	TF
KC292021.1_6	KC292021	KC292021.1	6	2769	2978	1	E			YP_008059990.1	YP_008059990.1 hypothetical protein M193_gp006 [Halorubrum tailed phage 7]	False	0.964	142.0	7.332e-40					0	False	TF
KC292021.1_7	KC292021	KC292021.1	7	2991	4763	1	D			YP_008059991.1	YP_008059991.1 terminase large subunit [Halorubrum tailed phage 7]	True	0.958	1190.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	TF
KC292021.1_8	KC292021	KC292021.1	8	4770	6287	1	E			YP_008059992.1	YP_008059992.1 portal protein [Halorubrum tailed phage 7]	True	0.95	1009.0	0.0		VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	TF
KC292021.1_9	KC292021	KC292021.1	9	6290	6574	1	E			YP_008059993.1	YP_008059993.1 hypothetical protein M193_gp009 [Halorubrum tailed phage 7]	False	0.888	176.0	3.842e-51					0	False	T
KC292021.1_10	KC292021	KC292021.1	10	6571	7731	1	E			YP_008059994.1	YP_008059994.1 prohead protease [Halorubrum tailed phage 7]	True	0.97	790.0	2.8130000000000002e-258		VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	T
KC292021.1_11	KC292021	KC292021.1	11	7740	8213	1	E			YP_008059995.1	YP_008059995.1 hypothetical protein M193_gp011 [Halorubrum tailed phage 7]	False	0.924	306.0	8.042e-95					0	False	T
KC292021.1_12	KC292021	KC292021.1	12	8217	8753	1	E			YP_008059996.1	YP_008059996.1 hypothetical protein M193_gp012 [Halorubrum tailed phage 7]	True	0.957	360.0	2.673e-113		VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	T
KC292021.1_13	KC292021	KC292021.1	13	8800	9774	1	E			YP_008059997.1	YP_008059997.1 major head protein [Halorubrum tailed phage 7]	True	0.977	669.0	1.592e-217		VOG01973	REFSEQ major head protein; Xu	Xu	0	False	T
KC292021.1_14	KC292021	KC292021.1	14	9788	10264	1	E			YP_008059998.1	YP_008059998.1 hypothetical protein M193_gp014 [Halorubrum tailed phage 7]	False	0.97	325.0	1.6199999999999998e-101		VOG14383	REFSEQ hypothetical protein; Xu	Xu	0	False	T
KC292021.1_15	KC292021	KC292021.1	15	10251	10640	1	E			YP_008059999.1	YP_008059999.1 hypothetical protein M193_gp015 [Halorubrum tailed phage 7]	False	1.0	281.0	9.077e-87					0	False	T
KC292021.1_16	KC292021	KC292021.1	16	10647	12119	1	E			YP_008060000.1	YP_008060000.1 hypothetical protein M193_gp016 [Halorubrum tailed phage 7]	True	0.988	1023.0	0.0					0	False	T
