	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
AF065411.1_1	AF065411	AF065411.1	1	199	732	1	E			NP_046956.1	NP_046956.1 hypothetical protein psiM2p01 [Methanobacterium phage psiM2]	True	0.975	366.0	3.075e-115									VOG29246	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_2	AF065411	AF065411.1	2	744	923	1	E																				0	False	F
AF065411.1_3	AF065411	AF065411.1	3	924	1184	1	E			NP_597860.1	NP_597860.1 hypothetical protein psiM2p02 [Methanobacterium phage psiM2]	False	1.0	190.0	5.535e-56									VOG29249	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_4	AF065411	AF065411.1	4	1302	1430	1	E																				0	False	F
AF065411.1_5	AF065411	AF065411.1	5	1385	1627	1	E			NP_046957.1	NP_046957.1 hypothetical protein psiM2p03 [Methanobacterium phage psiM2]	False	0.958	164.0	4.796e-47									VOG29251	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_6	AF065411	AF065411.1	6	1630	1863	1	E																				0	False	F
AF065411.1_7	AF065411	AF065411.1	7	1866	2150	1	E			NP_046958.1	NP_046958.1 hypothetical protein psiM2p04 [Methanobacterium phage psiM2]	False	0.926	184.0	5.016e-54									VOG29250	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_8	AF065411	AF065411.1	8	2147	2611	1	E			NP_046959.1	NP_046959.1 hypothetical protein psiM2p05 [Methanobacterium phage psiM2]	False	0.87	280.0	4.135e-86									VOG29252	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_9	AF065411	AF065411.1	9	2925	3308	1	D			NP_046960.1	NP_046960.1 hypothetical protein psiM2p06 [Methanobacterium phage psiM2]	False	0.986	267.0	7.135e-82								ASCH domain [PF04266.17]	VOG16536	sp|A0A0H3G0N3|ASCHD_ZYMMA ASCH domain-containing ribonuclease; Xu	Xu	0	False	F
AF065411.1_10	AF065411	AF065411.1	10	3379	3732	1	E			NP_046961.1	NP_046961.1 hypothetical protein psiM2p07 [Methanobacterium phage psiM2]	False	0.976	243.0	7.47e-74									VOG29253	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_11	AF065411	AF065411.1	11	3736	3948	1	D																TFIIB zinc-binding [PF08271.15]				0	False	F
AF065411.1_12	AF065411	AF065411.1	12	4175	4399	1	E			NP_046962.1	NP_046962.1 hypothetical protein psiM2p08 [Methanobacterium phage psiM2]	False	0.869	136.0	1.495e-37									VOG29254	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_13	AF065411	AF065411.1	13	4440	4961	1	E			NP_046963.1	NP_046963.1 terminase small subunit [Methanobacterium phage psiM2]	False	0.948	347.0	9.611000000000001e-109									VOG02110	REFSEQ terminase small subunit; Xu	Xu	0	False	F
AF065411.1_14	AF065411	AF065411.1	14	4918	6312	1	C	K06909	phage terminase large subunit	NP_046964.1	NP_046964.1 terminase large subunit [Methanobacterium phage psiM2]	True	0.977	958.0	1.042e-314								Terminase RNaseH-like domain [PF17289.5]; Phage terminase large subunit [PF04466.16]	VOG00705	REFSEQ terminase large subunit; Xu	Xu	0	False	F
AF065411.1_15	AF065411	AF065411.1	15	6305	7933	1	D			NP_046965.1	NP_046965.1 portal protein [Methanobacterium phage psiM2]	True	0.965	1103.0	0.0								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	V
AF065411.1_16	AF065411	AF065411.1	16	8086	8736	1	D			NP_046966.1	NP_046966.1 hypothetical protein psiM2p12 [Methanobacterium phage psiM2]	True	1.0	464.0	1.522e-148								Phage Mu protein F like protein [PF04233.17]	VOG29255	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_17	AF065411	AF065411.1	17	8754	8954	1	E			NP_071821.1	NP_071821.1 head maturation protease [Methanothermobacter phage psiM100]	False	0.838	96.0	8.044e-24												0	False	
AF065411.1_18	AF065411	AF065411.1	18	8905	9960	1	D			NP_046967.1	NP_046967.1 head maturation protease [Methanobacterium phage psiM2]	True	0.944	697.0	1.081e-226								Putative phage serine protease XkdF [PF14550.9]	VOG03893	sp|P45920|YQBD_BACSU Uncharacterized protein YqbD; Xu	Xu	0	False	
AF065411.1_19	AF065411	AF065411.1	19	9972	10919	1	E			NP_046968.1	NP_046968.1 virion structural protein [Methanobacterium phage psiM2]	True	0.967	643.0	1.127e-208									VOG01409	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xh;Xs	0	False	V
AF065411.1_20	AF065411	AF065411.1	20	10983	11315	1	E			NP_046969.1	NP_046969.1 hypothetical protein psiM2p15 [Methanobacterium phage psiM2]	False	0.952	222.0	7.256999999999999e-67									VOG29256	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_21	AF065411	AF065411.1	21	11326	11664	1	E			NP_046970.1	NP_046970.1 hypothetical protein psiM2p16 [Methanobacterium phage psiM2]	False	0.965	230.0	1.975e-69									VOG00159	REFSEQ head closure Hc1; Xu	Xu	0	False	
AF065411.1_22	AF065411	AF065411.1	22	11661	12062	1	E			NP_046971.1	NP_046971.1 hypothetical protein psiM2p17 [Methanobacterium phage psiM2]	False	0.967	273.0	6.097e-84									VOG29257	REFSEQ HK97 gp10 family protein; Xu	Xu	0	False	
AF065411.1_23	AF065411	AF065411.1	23	12059	12466	1	E			NP_046972.1	NP_046972.1 hypothetical protein psiM2p18 [Methanobacterium phage psiM2]	False	0.943	269.0	1.152e-82									VOG29261	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_24	AF065411	AF065411.1	24	12472	13197	1	E			NP_046973.1	NP_046973.1 structural protein [Methanobacterium phage psiM2]	True	0.959	488.0	2.2029999999999997e-156									VOG29258	REFSEQ putative structural protein; Xu	Xu	0	False	
AF065411.1_25	AF065411	AF065411.1	25	13209	13778	1	E			NP_046974.1	NP_046974.1 hypothetical protein psiM2p20 [Methanobacterium phage psiM2]	True	0.897	355.0	1.986e-111									VOG29259	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_26	AF065411	AF065411.1	26	13775	13948	1	E																				0	False	
AF065411.1_27	AF065411	AF065411.1	27	13928	14614	-1	E																				0	False	
AF065411.1_28	AF065411	AF065411.1	28	14685	18245	1	E			NP_046976.1	NP_046976.1 tail length tape measure protein [Methanobacterium phage psiM2]	True	0.946	2357.0	0.0									VOG29260	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
AF065411.1_29	AF065411	AF065411.1	29	18242	18676	1	E			NP_071831.1	NP_071831.1 hypothetical protein psiM100p30 [Methanothermobacter phage psiM100]	False	0.981	300.0	3.58e-93									VOG29262	REFSEQ ATP/GTP-binding protein; Xu	Xu	0	False	
AF065411.1_30	AF065411	AF065411.1	30	18681	19487	1	E			NP_046978.1	NP_046978.1 hypothetical protein psiM2p24 [Methanobacterium phage psiM2]	True	1.0	576.0	1.68e-186									VOG29264	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_31	AF065411	AF065411.1	31	19484	20182	1	E			NP_046979.1	NP_046979.1 hypothetical protein psiM2p25 [Methanobacterium phage psiM2]	True	0.984	484.0	4.618e-155									VOG29263	REFSEQ hypothetical protein; Xu	Xu	0	False	
AF065411.1_32	AF065411	AF065411.1	32	20183	21247	1	E			NP_046980.1	NP_046980.1 hypothetical protein psiM2p26 [Methanobacterium phage psiM2]	True	0.992	744.0	8.83e-243									VOG29265	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_33	AF065411	AF065411.1	33	21290	21907	1	E			NP_046981.1	NP_046981.1 hypothetical protein psiM2p27 [Methanobacterium phage psiM2]	True	0.971	421.0	5.609999999999999e-134									VOG29267	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_34	AF065411	AF065411.1	34	21904	22524	1	E			NP_046982.1	NP_046982.1 hypothetical protein psiM2p28 [Methanobacterium phage psiM2]	True	1.0	466.0	1.422e-149									VOG29266	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_35	AF065411	AF065411.1	35	22562	23479	1	D			NP_046983.1	NP_046983.1 pseudomurein endosiopeptidase [Methanobacterium phage psiM2]	True	1.0	649.0	4.543e-211	MER0019309	C71	MER0019309 - pseudomurein endoisopeptidase Pei () [C71.001]#C71#{peptidase unit: 157-305}~source AAC27067~	False	327.0	4.656e-99	1.0	Pseudomurein endo-isopeptidase Pei [PF12386.11]	VOG29268	REFSEQ pseudomurein endosiopeptidase; Xu	Xu	0	False	PF
AF065411.1_36	AF065411	AF065411.1	36	23693	24901	1	D			NP_046984.1	NP_046984.1 hypothetical protein psiM2p30 [Methanobacterium phage psiM2]	True	0.939	793.0	6.542999999999999e-259								Phage integrase family [PF00589.25]	VOG29248	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_37	AF065411	AF065411.1	37	25210	25389	-1	E																				0	False	F
AF065411.1_38	AF065411	AF065411.1	38	25521	25973	1	E			NP_046986.1	NP_046986.1 hypothetical protein psiM2p32 [Methanobacterium phage psiM2]	False	0.94	298.0	2.315e-92									VOG29247	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AF065411.1_39	AF065411	AF065411.1	39	25970	26110	1	E																				0	False	F
