	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
Protein Count (Total)	7678	3065	8078	3111	7960	3413	4014	3230	7574	7232
Protein Count (>Min Score)	137	56	157	63	167	54	61	52	146	131
% Proteins > Min Score	1.78	1.83	1.94	2.03	2.1	1.58	1.52	1.61	1.93	1.81
Average Protein Length	294.66	284.25	288.18	293.42	290.02	273.77	251.71	279.95	292.61	290.05
FOAM KO Count	1674	950	1715	986	1721	931	1244	947	1672	1657
KEGG KO Count	5265	3085	5284	3175	5271	3129	3790	3097	5239	5230
GC count	4717608	1525438	4818592	1571335	4766349	1661072	1717696	1563581	4607745	4327035
GC %	60.86	52.27	60.59	52.05	60.32	53.11	51.13	51.73	60.76	60.38
N25	5057142	2918587	5076409	3019018	5144365	59793	1653876	59153	906847	4892145
N50	5057142	2918587	5076409	3019018	5144365	33886	453412	44068	771545	4892145
N75	870021	2918587	1169137	3019018	1007820	17467	211691	24079	503598	678512
N90	488135	2918587	576090	3019018	636073	9787	692	12360	283601	464034
Contig Min Length	147463	2918587	18458	3019018	415166	24	301	795	191	272616
Contig Max Length	5057142	2918587	5076409	3019018	5144365	122784	1653876	198060	1683200	4892145
