	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000342.1_1	QGNH01000342.1	QGNH01000342.1	1	196	1305	1	E																	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
QGNH01000342.1_2	QGNH01000342.1	QGNH01000342.1	2	1302	1850	1	E																				0	False	F
QGNH01000342.1_3	QGNH01000342.1	QGNH01000342.1	3	1855	2451	1	E																				0	False	F
QGNH01000342.1_4	QGNH01000342.1	QGNH01000342.1	4	2705	2947	1	C	K02078	acyl carrier protein														Phosphopantetheine attachment site [PF00550.28]				0	False	MKF
QGNH01000342.1_5	QGNH01000342.1	QGNH01000342.1	5	3181	3372	1	E																				0	False	F
QGNH01000342.1_6	QGNH01000342.1	QGNH01000342.1	6	3369	3698	1	E																				0	False	F
QGNH01000342.1_7	QGNH01000342.1	QGNH01000342.1	7	3698	4144	1	E																				0	False	F
QGNH01000342.1_8	QGNH01000342.1	QGNH01000342.1	8	4141	4974	1	E																				0	False	F
QGNH01000342.1_9	QGNH01000342.1	QGNH01000342.1	9	5000	7105	1	D																Phage terminase large subunit gpA, ATPase domain [PF05876.15]				0	False	F
QGNH01000342.1_10	QGNH01000342.1	QGNH01000342.1	10	7213	7482	1	E																				0	False	F
QGNH01000342.1_11	QGNH01000342.1	QGNH01000342.1	11	7493	7798	1	E																				0	False	F
QGNH01000342.1_12	QGNH01000342.1	QGNH01000342.1	12	7795	8046	1	E																				0	False	F
QGNH01000342.1_13	QGNH01000342.1	QGNH01000342.1	13	8055	9734	1	E																				0	False	F
QGNH01000342.1_14	QGNH01000342.1	QGNH01000342.1	14	9738	10553	1	D			NP_892049.1	NP_892049.1 head maturation protease [Yersinia phage PY54]	False	109.0	5.56e-25	0.283	MER1354704	S49B	MER1354704 - subfamily S49B unassigned peptidases () [S49.UPB]#S49B#{peptidase unit: 103-286}~source PAW76827~	False	151.0	5.981999999999998e-39	0.475	Peptidase family S49 [PF01343.21]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VPF
QGNH01000342.1_15	QGNH01000342.1	QGNH01000342.1	15	10662	11441	1	E																				0	False	F
QGNH01000342.1_16	QGNH01000342.1	QGNH01000342.1	16	11477	11845	1	E																				0	False	F
