locus_tag	ftype	length_bp	gene	EC_number	COG	product
OMNFDINN_00001	CDS	1017				hypothetical protein
OMNFDINN_00002	CDS	894				hypothetical protein
OMNFDINN_00003	CDS	519				hypothetical protein
OMNFDINN_00004	CDS	426				hypothetical protein
OMNFDINN_00005	CDS	1458	accD6	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 6
OMNFDINN_00006	CDS	1260	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
OMNFDINN_00007	CDS	246	acpP			Acyl carrier protein
OMNFDINN_00008	CDS	987	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
OMNFDINN_00009	CDS	1191				hypothetical protein
OMNFDINN_00010	CDS	1227			COG2508	putative protein
OMNFDINN_00011	CDS	960			COG0596	putative protein
OMNFDINN_00012	CDS	4923	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
OMNFDINN_00013	CDS	1413	amiB2	3.5.1.4	COG0154	Putative amidase AmiB2
OMNFDINN_00014	CDS	1071				hypothetical protein
OMNFDINN_00015	CDS	804			COG3324	Putative glyoxylase CFP32
OMNFDINN_00016	CDS	915	ku		COG1273	Non-homologous end joining protein Ku
OMNFDINN_00017	CDS	921	ligD_1		COG1793	Multifunctional non-homologous end joining DNA repair protein LigD
OMNFDINN_00018	CDS	951	ligD_2		COG1793	Multifunctional non-homologous end joining protein LigD
OMNFDINN_00019	CDS	765	regX3_1		COG0745	Sensory transduction protein regX3
OMNFDINN_00020	CDS	1956	ams	2.4.1.4	COG0366	Amylosucrase
OMNFDINN_00021	CDS	534				hypothetical protein
OMNFDINN_00022	CDS	444	crtK-2		COG3476	Tryptophan-rich protein TspO
OMNFDINN_00023	CDS	864				hypothetical protein
OMNFDINN_00024	CDS	939				hypothetical protein
OMNFDINN_00025	CDS	744				hypothetical protein
OMNFDINN_00026	CDS	918				hypothetical protein
OMNFDINN_00027	CDS	1074	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
OMNFDINN_00028	CDS	465				hypothetical protein
OMNFDINN_00029	CDS	1284				hypothetical protein
OMNFDINN_00030	CDS	1281				hypothetical protein
OMNFDINN_00031	CDS	852				hypothetical protein
OMNFDINN_00032	CDS	930				hypothetical protein
OMNFDINN_00033	CDS	252				hypothetical protein
OMNFDINN_00034	CDS	393				hypothetical protein
OMNFDINN_00035	CDS	435				hypothetical protein
OMNFDINN_00036	CDS	447				hypothetical protein
OMNFDINN_00037	CDS	456				hypothetical protein
OMNFDINN_00038	CDS	1116	prfB		COG1186	Peptide chain release factor 2
OMNFDINN_00039	CDS	2379				hypothetical protein
OMNFDINN_00040	CDS	690	ftsE		COG2884	Cell division ATP-binding protein FtsE
OMNFDINN_00041	CDS	906	ftsX		COG2177	Cell division protein FtsX
OMNFDINN_00042	CDS	1272				hypothetical protein
OMNFDINN_00043	CDS	480	smpB		COG0691	SsrA-binding protein
OMNFDINN_00044	CDS	354				hypothetical protein
OMNFDINN_00045	CDS	864				hypothetical protein
OMNFDINN_00046	tmRNA	372	ssrA			transfer-messenger RNA, SsrA
OMNFDINN_00047	CDS	606				hypothetical protein
OMNFDINN_00048	CDS	2484				hypothetical protein
OMNFDINN_00049	CDS	444				hypothetical protein
OMNFDINN_00050	CDS	336	rsbV_1		COG1366	Anti-sigma-B factor antagonist
OMNFDINN_00051	CDS	2028				hypothetical protein
