KO Id	Name	Count
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	2
K00016	LDH, ldh; L-lactate dehydrogenase	7
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1
K00053	ilvC; ketol-acid reductoisomerase	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1
K00133	asd; aspartate-semialdehyde dehydrogenase	6
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	3
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	3
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	3
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	3
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	3
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	2
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	2
K00446	dmpB, xylE; catechol 2,3-dioxygenase	1
K00758	deoA, TYMP; thymidine phosphorylase	2
K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2
K00847	E2.7.1.4, scrK; fructokinase	1
K00857	tdk, TK; thymidine kinase	2
K00925	ackA; acetate kinase	3
K00928	lysC; aspartate kinase	6
K00943	tmk, DTYMK; dTMP kinase	1
K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	1
K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2
K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	2
K01259	pip; proline iminopeptidase	1
K01488	add, ADA; adenosine deaminase	1
K01489	cdd, CDA; cytidine deaminase	1
K01501	E3.5.5.1; nitrilase	2
K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase	1
K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase	1
K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	1
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2
K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2
K01687	ilvD; dihydroxy-acid dehydratase	3
K01689	ENO, eno; enolase	9
K01697	CBS; cystathionine beta-synthase	4
K01738	cysK; cysteine synthase	2
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase	2
K01758	CTH; cystathionine gamma-lyase	3
K01809	manA, MPI; mannose-6-phosphate isomerase	2
K01840	manB; phosphomannomutase	2
K01895	ACSS1_2, acs; acetyl-CoA synthetase	1
K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain	1
K02034	ABC.PE.P1; peptide/nickel transport system permease protein	1
K02204	thrB2; homoserine kinase type II	1
