NC_034247.1_orf8	a49a9a702c71eb4cc3661d6e2c171a35	283	Pfam	PF04662	Luteovirus P0 protein	60	249	2.4E-13	T	24-06-2023	IPR006755	Suppressor of silencing P0
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	Pfam	PF00894	Luteovirus coat protein	88	224	4.4E-51	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	85	103	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	184	205	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	103	120	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	137	156	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	120	137	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	206	218	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	46	59	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	PRINTS	PR00915	Luteovirus group 1 coat protein signature	156	175	8.0E-70	T	24-06-2023	IPR001517	Luteovirus group 1 coat protein
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	MobiDBLite	mobidb-lite	consensus disorder prediction	63	77	-	T	24-06-2023	-	-
NC_034247.1_orf44	da5fcf10e3d07741695735367958b855	225	MobiDBLite	mobidb-lite	consensus disorder prediction	59	92	-	T	24-06-2023	-	-
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	ProSiteProfiles	PS51868	Peptidase family S39 domain profile.	226	437	46.240623	T	24-06-2023	IPR000382	Peptidase S39B, luteovirus
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	Pfam	PF02122	Peptidase S39	227	442	4.2E-59	T	24-06-2023	IPR000382	Peptidase S39B, luteovirus
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	MobiDBLite	mobidb-lite	consensus disorder prediction	583	607	-	T	24-06-2023	-	-
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	MobiDBLite	mobidb-lite	consensus disorder prediction	487	528	-	T	24-06-2023	-	-
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	Gene3D	G3DSA:2.40.10.10	-	325	406	1.2E-5	T	24-06-2023	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	PRINTS	PR00913	Luteovirus ORF2 putative replicase 1 signature	434	449	3.6E-33	T	24-06-2023	IPR018019	Luteovirus Orf2 putative replicase 1
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	PRINTS	PR00913	Luteovirus ORF2 putative replicase 1 signature	223	240	3.6E-33	T	24-06-2023	IPR018019	Luteovirus Orf2 putative replicase 1
