target	query	e-value	score	length	start	end
3249-51_scaf_2_2_880835_881542_+	K01031	1.3e-113	376.7	235	1	226
3249-51_scaf_2_2_269237_270787_+	K01026	2.1e-198	658.6	516	2	512
3249-51_scaf_1_1_57367_58980_-	K01026	2.1e-195	648.6	537	2	523
3249-51_scaf_6_3259_5724_+	K03579	0	1037.0	821	8	820
3249-51_scaf_3_639573_640619_-	K01501	7.5e-115	382.6	348	5	325
3249-51_scaf_6_213518_214441_+	K00651	1e-137	458.3	307	1	305
3249-51_scaf_3_563682_566192_+	K03724	8.4e-246	817.8	836	8	826
3249-51_scaf_1_2_1653030_1654778_+	K11927	1.8e-184	612.7	582	22	474
3249-51_scaf_1_2_496464_498419_-	K05592	8.7e-181	601.2	651	5	581
3249-51_scaf_1_2_1451863_1453602_-	K03654	6.5e-216	717.9	579	2	573
3249-51_scaf_1_2_598941_600503_+	K11927	6.3e-169	561.4	520	8	479
3249-51_scaf_1_2_376560_378665_-	K03655	2.3e-216	719.7	701	21	680
3249-51_scaf_8_126783_127724_-	K00992	1.3e-25	86.7	313	34	138
3249-51_scaf_1_2_184314_185153_+	K03417	1.8e-33	114.2	279	10	254
3249-51_scaf_3_418076_418846_+	K03417	4.3e-27	93.4	256	5	247
3249-51_scaf_3_750385_751674_-	K01637	2.2e-207	388.3	429	11	243
3249-51_scaf_1_1_1296_2414_-	K00259	6.8e-168	557.3	372	1	370
3249-51_scaf_3_351835_352917_+	K19064	2.4e-39	132.3	360	47	338
3249-51_scaf_2_2_525061_526575_-	K18661	5.5e-229	759.2	496	6	495
3249-51_scaf_2_1_71353_72939_+	K00666	7.7e-160	531.9	528	22	516
3249-51_scaf_3_471196_472896_-	K00666	2e-145	484.3	566	35	565
3249-51_scaf_11_16367_17998_+	K01895	1.1e-148	495.4	543	16	542
3249-51_scaf_6_79313_81223_+	K01908	0	1065.9	636	1	631
3249-51_scaf_8_19760_22501_-	K09461	3.6e-143	477.1	913	5	380
3249-51_scaf_8_19760_22501_-	K04110	2.5e-152	506.2	913	404	905
3249-51_scaf_6_83331_85286_+	K01895	0	1117.9	651	4	647
3249-51_scaf_2_2_615785_617314_+	K00666	1.4e-84	283.2	509	5	492
3249-51_scaf_1_1_804813_808208_-	K05939	0	1358.2	1131	2	1127
3249-51_scaf_5_275477_276859_+	K00666	1.6e-62	210.3	460	11	458
3249-51_scaf_3_759733_761685_+	K01907	4.4e-291	965.8	650	3	649
3249-51_scaf_4_746851_747777_+	K20715	6.9e-45	152.1	308	3	133
3249-51_scaf_11_8292_10040_-	K03455	9.4e-162	538.6	582	1	407
3249-51_scaf_11_8292_10040_-	K10914	1.4e-30	106.0	582	414	573
3249-51_scaf_4_291197_291664_-	K10914	3.1e-36	124.6	155	7	145
3249-51_scaf_6_336866_338494_-	K02498	1.7e-140	468.2	542	1	536
3249-51_scaf_1_3_240181_241971_+	K01768	3.8e-31	106.3	596	6	221
3249-51_scaf_1_3_240181_241971_+	K09667	1.5e-20	71.6	596	259	559
3249-51_scaf_9_2_10311_12143_+	K09667	1.2e-37	59.8	610	434	569
3249-51_scaf_9_2_10311_12143_+	K09667	1.2e-37	67.1	610	62	419
3249-51_scaf_3_196776_197612_-	K09667	1.4e-19	68.4	278	54	245
3249-51_scaf_1_2_694705_696498_-	K01768	7.1e-29	98.7	597	7	258
3249-51_scaf_1_2_694705_696498_-	K09667	2e-18	64.7	597	326	544
3249-51_scaf_6_370255_371034_+	K00235	5.8e-143	475.7	259	24	255
3249-51_scaf_1_2_1461250_1462494_-	K08151	1.1e-146	488.1	414	8	407
3249-51_scaf_1_2_301445_302710_-	K08151	4e-87	291.6	421	23	405
3249-51_scaf_1_1_585908_587185_+	K08161	6.1e-139	462.2	425	14	421
3249-51_scaf_3_501070_502704_-	K03446	3.3e-82	274.5	544	47	525
3249-51_scaf_1_2_622923_624203_+	K07552	2.2e-105	351.7	426	17	405
3249-51_scaf_1_1_62289_63533_-	K08194	9.2e-81	270.2	414	6	400
3249-51_scaf_6_205809_207347_-	K08166	5.3e-87	290.7	512	9	500
3249-51_scaf_1_2_621641_622888_+	K07552	1.2e-112	375.7	415	17	406
3249-51_scaf_1_3_178047_179588_-	K03446	2.9e-175	582.5	486	1	478
3249-51_scaf_4_269451_270650_+	K07552	1e-135	451.9	399	7	392
3249-51_scaf_1_2_697981_699384_+	K18326	1.4e-110	368.8	467	2	454
3249-51_scaf_3_335229_336479_+	K08224	9.2e-174	577.5	416	17	413
3249-51_scaf_1_1_522843_524243_+	K08166	3.7e-89	297.8	466	8	450
3249-51_scaf_1_1_155564_156748_+	K08153	2.4e-36	124.1	394	23	385
3249-51_scaf_1_2_962622_963872_-	K08178	4.1e-172	571.9	416	4	409
3249-51_scaf_9_2_99833_101257_+	K18326	8.7e-112	372.8	474	5	450
3249-51_scaf_1_1_455488_456858_+	K19577	1.3e-136	454.8	456	61	453
3249-51_scaf_2_2_246785_248068_-	K05548	1.8e-150	500.1	427	14	420
3249-51_scaf_1_2_427737_428903_-	K08219	5.8e-32	109.3	388	22	385
3249-51_scaf_6_334256_335491_+	K08225	3e-73	245.6	411	14	409
3249-51_scaf_1_2_1647810_1649195_-	K08369	1.3e-132	442.0	461	11	460
3249-51_scaf_11_13064_14359_-	K08177	8.9e-63	211.2	431	13	420
3249-51_scaf_1_1_224281_225468_+	K18552	2e-167	555.9	395	8	392
3249-51_scaf_1_2_1037012_1038400_+	K08169	6.5e-151	501.2	462	10	453
3249-51_scaf_1_1_568214_569668_-	K18326	9.9e-103	342.8	484	15	456
3249-51_scaf_1_2_677211_678431_-	K05820	6.8e-104	346.3	406	18	395
3249-51_scaf_2_2_884162_885376_+	K08177	6.5e-72	241.3	404	4	388
3249-51_scaf_1_2_67690_68958_-	K02575	3.7e-113	377.2	422	10	405
3249-51_scaf_3_98595_100226_+	K08217	1.1e-57	194.3	543	15	398
3249-51_scaf_1_2_1435546_1436766_-	K08225	2.8e-66	222.5	406	11	402
3249-51_scaf_1_1_590931_592550_-	K03446	6.5e-185	614.2	539	26	532
3249-51_scaf_7_338216_339814_-	K03446	4.5e-186	618.2	532	22	525
3249-51_scaf_1_2_912482_914014_-	K18326	3.9e-108	360.8	481	18	473
3249-51_scaf_2_2_48352_49950_-	K08217	8.8e-59	197.9	498	4	368
3249-51_scaf_1_2_1483703_1484869_+	K19577	5.3e-137	456.2	388	1	383
3249-51_scaf_5_612466_614055_-	K03446	1.8e-177	589.7	529	8	524
3249-51_scaf_2_2_99625_100941_-	K13021	6.5e-177	587.2	438	16	434
3249-51_scaf_1_2_1034477_1035652_-	K08174	1.4e-30	104.5	391	8	370
3249-51_scaf_6_184656_185846_+	K08174	7.6e-35	118.6	396	21	387
3249-51_scaf_2_2_708329_709525_-	K08217	5.6e-33	112.9	398	15	387
3249-51_scaf_4_270794_272083_+	K13021	2.2e-154	513.0	429	4	420
3249-51_scaf_5_145120_146322_+	K08223	5.3e-160	531.6	400	12	395
3249-51_scaf_1_1_656893_658332_+	K03446	1.5e-39	134.4	479	25	430
3249-51_scaf_5_80481_81851_-	K08166	2.2e-134	447.0	456	8	447
3249-51_scaf_3_584200_585402_-	K08221	7.2e-23	79.1	400	16	392
3249-51_scaf_4_95847_97046_+	K03291	2.1e-74	248.9	399	5	393
3249-51_scaf_4_112416_114041_+	K03446	1.9e-157	523.5	541	25	539
3249-51_scaf_1_1_499107_500330_+	K08153	1.5e-19	68.5	407	15	401
3249-51_scaf_1_1_654931_656142_+	K03291	1.1e-73	246.5	403	8	398
3249-51_scaf_1_1_10072_11265_-	K08153	1.8e-23	81.7	397	16	387
3249-51_scaf_7_147501_148799_+	K08219	1.7e-59	200.0	432	1	375
3249-51_scaf_2_2_24609_25796_-	K03445	4.8e-94	314.2	395	11	392
3249-51_scaf_6_91834_93222_-	K06902	2e-114	381.4	462	15	458
3249-51_scaf_2_2_518284_519510_-	K08217	3e-19	67.4	408	32	386
3249-51_scaf_3_326808_328100_-	K03449	5.3e-136	452.8	413	17	402
3249-51_scaf_2_2_460706_461890_+	K08174	2.1e-30	104.0	394	9	374
3249-51_scaf_1_2_1613348_1614532_-	K08153	4.2e-21	73.7	394	19	387
3249-51_scaf_1_2_848946_849926_-	K02227	1.8e-91	305.4	297	2	291
3249-51_scaf_1_3_177322_177921_+	K03652	8.2e-72	240.9	199	22	196
3249-51_scaf_1_2_269827_270690_+	K00824	1.9e-117	390.5	287	1	283
3249-51_scaf_7_205479_206108_+	K03342	3e-54	183.2	209	3	206
3249-51_scaf_1_1_595041_595928_-	K00826	1e-59	201.4	295	14	292
3249-51_scaf_1_2_1224363_1225463_+	K00826	3.4e-135	450.3	366	17	362
3249-51_scaf_1_2_1345705_1346805_-	K01000	1.7e-120	401.2	366	15	365
3249-51_scaf_4_235261_236349_-	K02294	4.3e-31	106.9	362	33	314
3249-51_scaf_1_1_526197_527273_+	K10255	6.5e-126	419.7	358	26	354
3249-51_scaf_4_721897_722724_+	K01432	5.7e-67	225.4	275	16	264
3249-51_scaf_1_2_1605751_1606764_-	K01066	1.2e-111	372.8	337	25	336
3249-51_scaf_2_2_334499_335434_-	K01066	3.3e-94	315.1	264	10	257
3249-51_scaf_1_1_68035_69078_-	K14731	2.6e-105	351.7	347	57	344
3249-51_scaf_5_395969_396880_+	K01066	3e-77	259.4	303	25	300
3249-51_scaf_1_3_171983_172795_-	K01066	7.3e-52	175.7	270	14	230
3249-51_scaf_1_2_314446_315213_+	K06889	8.1e-27	92.6	255	30	247
3249-51_scaf_2_2_66412_67038_+	K23359	2.7e-88	295.0	208	2	203
3249-51_scaf_1_1_637733_638770_-	K06889	3.9e-24	84.0	306	46	293
3249-51_scaf_5_429508_430176_-	K23359	1.8e-81	272.7	210	4	208
3249-51_scaf_5_432783_433487_-	K23359	1.5e-107	358.5	234	12	233
3249-51_scaf_5_103574_104677_+	K13017	4.9e-155	515.9	367	2	365
3249-51_scaf_5_106354_107571_+	K13010	7.7e-125	416.2	405	7	397
3249-51_scaf_1_2_174124_175257_+	K20429	1.3e-188	625.6	377	9	375
3249-51_scaf_8_159548_160834_+	K13010	1.5e-53	181.0	428	40	388
3249-51_scaf_6_484219_485328_+	K00817	1.3e-108	362.8	369	4	366
3249-51_scaf_1_1_632492_632980_+	K23775	3.3e-50	170.0	162	2	156
3249-51_scaf_1_3_227456_228841_+	K16552	9.7e-134	445.2	461	7	431
3249-51_scaf_5_109286_110596_-	K16552	6e-116	386.5	436	15	421
3249-51_scaf_1_1_686824_688164_-	K16552	1.5e-83	279.7	418	24	417
3249-51_scaf_1_1_233902_234477_+	K20988	6.9e-54	181.8	191	8	191
3249-51_scaf_1_3_35750_37057_-	K12537	7.4e-153	508.6	435	10	435
3249-51_scaf_3_607295_608719_-	K12537	8.1e-153	508.6	452	19	452
3249-51_scaf_3_29005_30354_-	K12537	3.5e-139	463.6	449	15	449
3249-51_scaf_2_1_14898_16037_+	K01991	3e-49	166.8	379	1	358
