	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001858.1_1	QGNH01001858.1	QGNH01001858.1	1	3	431	-1	E							0	False	F
QGNH01001858.1_2	QGNH01001858.1	QGNH01001858.1	2	623	856	-1	E							0	False	F
QGNH01001858.1_3	QGNH01001858.1	QGNH01001858.1	3	853	1149	-1	E							0	False	F
QGNH01001858.1_4	QGNH01001858.1	QGNH01001858.1	4	1226	1546	1	E							0	False	F
QGNH01001858.1_5	QGNH01001858.1	QGNH01001858.1	5	1506	1781	1	E							0	False	F
QGNH01001858.1_6	QGNH01001858.1	QGNH01001858.1	6	1825	2085	1	E							0	False	F
QGNH01001858.1_7	QGNH01001858.1	QGNH01001858.1	7	2095	2490	1	E							0	False	F
QGNH01001858.1_8	QGNH01001858.1	QGNH01001858.1	8	2497	2898	1	E							0	False	F
QGNH01001858.1_9	QGNH01001858.1	QGNH01001858.1	9	2880	3350	1	E							0	False	F
QGNH01001858.1_10	QGNH01001858.1	QGNH01001858.1	10	3355	3567	1	E							0	False	F
QGNH01001858.1_11	QGNH01001858.1	QGNH01001858.1	11	3650	4069	1	E							0	False	F
QGNH01001858.1_12	QGNH01001858.1	QGNH01001858.1	12	4066	5514	1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001858.1_13	QGNH01001858.1	QGNH01001858.1	13	5585	5926	-1	E							0	False	F
QGNH01001858.1_14	QGNH01001858.1	QGNH01001858.1	14	5951	6151	1	E							0	False	F
QGNH01001858.1_15	QGNH01001858.1	QGNH01001858.1	15	6155	6592	1	E							0	False	F
QGNH01001858.1_16	QGNH01001858.1	QGNH01001858.1	16	6597	6899	1	E							0	False	F
QGNH01001858.1_17	QGNH01001858.1	QGNH01001858.1	17	6899	7210	1	E							0	False	F
QGNH01001858.1_18	QGNH01001858.1	QGNH01001858.1	18	7210	8526	1	E							0	False	F
QGNH01001858.1_19	QGNH01001858.1	QGNH01001858.1	19	8561	9139	1	E							0	False	F
QGNH01001858.1_20	QGNH01001858.1	QGNH01001858.1	20	9176	10027	1	E							0	False	F
