locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
BK059161.1_237_449_+												Hypothetical
BK059161.1_494_994_+												Hypothetical
BK059161.1_997_1152_+												Hypothetical
BK059161.1_1201_1362_+												Hypothetical
BK059161.1_1585_2052_+												Hypothetical
BK059161.1_2072_2212_+												Hypothetical
BK059161.1_2340_2789_+												Hypothetical
BK059161.1_3260_3418_+												Hypothetical
BK059161.1_3570_3767_+												Hypothetical
BK059161.1_3778_4014_+												Hypothetical
BK059161.1_4016_4291_+												Hypothetical
BK059161.1_4911_5147_+												Hypothetical
