target	query	e-value	score	length	start	end
CP001157.1_2881104_2883305_-	CBM48	1.4e-25	63.1	709	107	193
CP001157.1_2482987_2485287_-	CBM48	1.3e-17	60.9	720	25	116
CP001157.1_2490443_2493898_-	CBM48	6.2e-13	46.2	599	11	83
CP001157.1_3060154_3061611_+	CBM50	3.6e-14	46.8	485	440	481
CP001157.1_708601_710028_+	CBM50	1.8e-10	37.9	475	425	467
CP001157.1_3913787_3914590_-	CBM50	1.9e-10	37.9	267	38	80
CP001157.1_20470_21495_+	CBM50	5.3e-08	30.1	341	31	76
CP001157.1_1295894_1296805_+	CE11	1e-116	386.9	303	4	275
CP001157.1_2304029_2304790_+	CE12	2.2e-08	31.9	253	75	212
CP001157.1_3232864_3233601_+	CE14	4.3e-18	63.8	245	10	123
CP001157.1_4523252_4524715_-	CE14	4.2e-07	25.0	487	179	336
CP001157.1_3918092_3918937_-	CE1	2.1e-52	176.1	281	23	277
CP001157.1_3424243_3425532_-	CE1	3.4e-32	109.8	429	144	324
CP001157.1_3551333_3553015_+	CE1	1.1e-24	85.1	560	100	254
CP001157.1_2110200_2111408_-	CE1	3.2e-15	54.2	365	96	309
CP001157.1_3752240_3753196_-	CE1	4.8e-13	47.2	316	56	245
CP001157.1_1878104_1879123_-	CE1	1.1e-09	35.1	339	70	180
CP001157.1_1077823_1078482_-	CE1	1.7e-09	35.6	219	16	200
CP001157.1_3325503_3326513_-	CE1	3e-09	34.0	336	47	318
CP001157.1_1485319_1486185_+	CE1	3.4e-09	34.0	288	36	211
CP001157.1_4196391_4198346_-	CE1	4.5e-08	30.0	646	422	634
CP001157.1_284099_285190_-	CE1	1.4e-06	26.0	363	76	211
CP001157.1_2304029_2304790_+	CE3	9.9e-14	46.9	253	76	240
CP001157.1_511650_512705_-	CE4	1.6e-28	97.0	351	86	289
CP001157.1_2107343_2108272_-	CE4	6.2e-16	56.2	309	81	180
CP001157.1_33498_34217_+	CE7	9.9e-14	29.8	239	74	125
CP001157.1_3400373_3401158_+	CE7	6.5e-10	35.3	261	16	148
CP001157.1_3843640_3844527_+	CE7	5.1e-09	30.1	295	50	209
CP001157.1_3962913_3964157_-	CE7	5.3e-08	29.7	414	62	196
CP001157.1_2672080_2673291_-	CE9	1.9e-16	25.9	403	21	114
CP001157.1_2672080_2673291_-	CE9	1.9e-16	29.5	403	322	374
CP001157.1_2224341_2225732_-	CE9	2.4e-13	25.6	463	375	416
CP001157.1_1546843_1548180_-	CE9	3.8e-12	34.1	445	309	379
CP001157.1_806489_808192_-	GH103	9.3e-116	383.9	499	131	422
CP001157.1_798703_799731_+	GH103	2.2e-102	339.8	342	47	332
CP001157.1_788960_790762_-	GH13	3.6e-79	265.2	576	50	393
CP001157.1_235416_237146_-	GH13	1.5e-76	255.9	576	62	426
CP001157.1_5232827_5234524_+	GH13	8.9e-76	253.5	565	52	410
CP001157.1_2883302_2886628_-	GH13	3e-67	225.3	1108	38	397
CP001157.1_2482987_2485287_-	GH13	1.3e-50	170.6	720	196	551
CP001157.1_2490443_2493898_-	GH13	3.4e-39	132.8	599	120	428
CP001157.1_2881104_2883305_-	GH13	3.1e-33	113.8	709	250	565
CP001157.1_2886656_2888659_-	GH13	4.5e-23	81.1	667	230	489
CP001157.1_2485627_2488380_-	GH13	6.8e-22	67.3	917	25	336
CP001157.1_2767609_2770074_+	GH15	6.9e-101	335.7	821	336	800
CP001157.1_3965294_3967885_+	GH17	2.2e-28	81.7	863	202	302
CP001157.1_3579952_3581553_+	GH17	4.6e-27	76.0	533	229	308
CP001157.1_1153273_1153815_-	GH1	8.5e-07	25.7	180	37	155
CP001157.1_2948583_2949188_-	GH23	6.6e-33	111.6	201	90	198
CP001157.1_1387864_1389795_-	GH23	8.1e-30	100.8	643	495	619
CP001157.1_4016177_4017643_+	GH23	6e-24	82.3	488	298	452
CP001157.1_3060154_3061611_+	GH23	6.5e-24	82.3	485	151	295
CP001157.1_2298446_2299873_+	GH23	6.3e-18	63.0	475	318	459
CP001157.1_5277478_5279001_+	GH32	2.6e-107	356.8	507	44	348
CP001157.1_5224421_5226787_-	GH36	1.9e-208	692.2	733	28	680
CP001157.1_1433599_1434597_+	GH3	4.1e-53	175.3	332	54	273
CP001157.1_1939192_1941597_+	GH42	3.3e-08	29.9	801	483	693
CP001157.1_5227140_5228465_+	GH4	2.8e-68	226.5	441	7	186
CP001157.1_1939192_1941597_+	GH50	9e-263	871.2	801	76	771
CP001157.1_5194329_5198540_-	GH55	3.2e-23	48.8	1403	3	118
CP001157.1_5194329_5198540_-	GH55	3.2e-23	31.5	1403	845	893
CP001157.1_5185271_5190790_-	GH55	3.3e-23	49.0	1839	4	118
CP001157.1_5185271_5190790_-	GH55	3.3e-23	33.7	1839	844	955
CP001157.1_5191069_5194065_-	GH55	7.5e-13	45.1	998	3	115
CP001157.1_3445248_3448244_-	GH55	9.7e-13	44.6	998	3	115
CP001157.1_5208142_5210712_-	GH55	1.6e-12	44.7	856	3	109
CP001157.1_5198816_5200477_-	GH55	3.9e-10	35.8	553	3	48
CP001157.1_5200752_5203376_-	GH55	2.8e-09	33.9	874	3	49
CP001157.1_5002627_5004225_-	GH55	2.1e-08	30.2	532	4	47
CP001157.1_1710358_1712523_-	GH63	9.2e-08	28.7	717	365	603
CP001157.1_2404196_2405173_+	GH73	1.1e-34	116.8	325	169	302
CP001157.1_2488381_2490456_-	GH77	1.5e-148	493.5	654	119	640
CP001157.1_1710358_1712523_-	GH78	3.3e-14	49.8	717	362	548
CP001157.1_479669_480556_-	GH8	2.4e-76	255.5	295	3	289
CP001157.1_5271691_5273712_-	GH97	1.3e-233	774.7	673	19	670
CP001157.1_3120339_3121325_+	GT12	9.7e-09	32.5	328	26	117
CP001157.1_3932189_3933331_-	GT19	2.8e-136	451.7	380	8	352
CP001157.1_1288958_1290028_+	GT1	7.3e-09	31.1	356	137	353
CP001157.1_4266209_4267612_-	GT20	1.4e-158	526.2	462	12	447
CP001157.1_3541105_3543357_+	GT20	2e-152	505.8	750	252	740
CP001157.1_2055211_2056371_+	GT21	1.4e-77	258.1	386	52	282
CP001157.1_3965294_3967885_+	GT21	7.7e-13	45.7	863	421	647
CP001157.1_3120339_3121325_+	GT21	1.3e-11	40.9	328	4	117
CP001157.1_485252_489619_-	GT21	5.4e-11	39.8	1455	199	359
CP001157.1_2052086_2053192_-	GT21	1.5e-07	29.0	368	79	243
CP001157.1_4531802_4532524_-	GT25	1.1e-23	81.8	240	9	167
CP001157.1_3120339_3121325_+	GT27	6.9e-13	46.2	328	7	116
