	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_028897_1	NC_028897	NC_028897	1	838	1287	1	E			YP_009207667.1	YP_009207667.1 terminase small subunit [Mycobacterium phage Chadwick]	False	0.962	304.0	2.657e-94		VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_028897_2	NC_028897	NC_028897	2	1394	2356	1	E			YP_009207668.1	YP_009207668.1 minor tail protein [Mycobacterium phage Chadwick]	True	0.961	649.0	1.261e-210		VOG09497	sp|O64202|VG06_BPMD2 Minor tail protein Gp6; Xu	Xu	0	False	F
NC_028897_3	NC_028897	NC_028897	3	2353	3402	1	D			YP_009207669.1	YP_009207669.1 tail protein [Mycobacterium phage Chadwick]	True	0.957	704.0	4.644e-229	Phage tail repeat like [PF12789.10]	VOG26059	REFSEQ tail fiber protein; Xu	Xu	0	False	F
NC_028897_4	NC_028897	NC_028897	4	3442	4047	1	E			YP_009207670.1	YP_009207670.1 minor tail protein [Mycobacterium phage Chadwick]	True	0.931	394.0	1.314e-124					0	False	F
NC_028897_5	NC_028897	NC_028897	5	4264	4944	1	D			YP_009207671.1	YP_009207671.1 endolysin [Mycobacterium phage Chadwick]	True	1.0	499.0	2.168e-160	D-alanyl-D-alanine carboxypeptidase [PF13539.9]				0	False	F
NC_028897_6	NC_028897	NC_028897	6	5150	5959	1	D			YP_010060720.1	YP_010060720.1 lysin B [Mycobacterium phage Scorpia]	True	0.983	560.0	9.92e-181	PE-PPE domain [PF08237.14]	VOG00985	sp|O64205|LYSB_BPMD2 Endolysin B; XhXp	Xh;Xp	0	False	
NC_028897_7	NC_028897	NC_028897	7	5983	7734	1	D			YP_010060721.1	YP_010060721.1 terminase large subunit [Mycobacterium phage Scorpia]	True	0.992	1223.0	0.0	Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	
NC_028897_8	NC_028897	NC_028897	8	7734	9167	1	D			YP_009207675.1	YP_009207675.1 portal protein [Mycobacterium phage Chadwick]	True	0.956	960.0	2.106e-315	Phage portal protein, SPP1 Gp6-like [PF05133.17]	VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xr;Xs;Xp	0	False	V
NC_028897_9	NC_028897	NC_028897	9	9164	10003	1	E			YP_009207676.1	YP_009207676.1 capsid maturation protease [Mycobacterium phage Chadwick]	True	0.967	570.0	4.382000000000001e-184		VOG00912	sp|O64208|VG15_BPMD2 Gene 15 protein; Xu	Xu	0	False	
NC_028897_10	NC_028897	NC_028897	10	10059	10571	1	E			YP_010060724.1	YP_010060724.1 head scaffolding protein [Mycobacterium phage Scorpia]	False	0.887	316.0	4.075e-98		VOG08006	sp|Q05222|SCAF_BPML5 Probable capsid assembly scaffolding protein; Xs	Xs	0	False	V
NC_028897_11	NC_028897	NC_028897	11	10598	11539	1	D			YP_009207678.1	YP_009207678.1 major capsid protein [Mycobacterium phage Chadwick]	True	0.956	631.0	1.311e-204	Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
NC_028897_12	NC_028897	NC_028897	12	11608	11982	1	D			YP_009207679.1	YP_009207679.1 head-tail adaptor Ad1 [Mycobacterium phage Chadwick]	False	0.958	252.0	7.338e-77	Phage protein Gp19/Gp15/Gp42 [PF09355.13]	VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein; Xu	Xu	0	False	
NC_028897_13	NC_028897	NC_028897	13	12119	12481	1	E			YP_009207681.1	YP_009207681.1 head closure Hc1 [Mycobacterium phage Chadwick]	False	0.968	247.0	3.67e-75		VOG00901	sp|O64214|VG20_BPMD2 Gene 20 protein; Xu	Xu	0	False	
NC_028897_14	NC_028897	NC_028897	14	12481	12894	1	D			YP_010060729.1	YP_010060729.1 tail completion or Neck1 protein [Mycobacterium phage Scorpia]	False	0.964	280.0	2.514e-86	Family of unknown function (DUF5403) [PF17395.5]	VOG00560	sp|Q05227|VG21_BPML5 Gene 21 protein; Xu	Xu	0	False	
NC_028897_15	NC_028897	NC_028897	15	13318	14148	1	E			YP_009207684.1	YP_009207684.1 major tail protein [Mycobacterium phage Chadwick]	True	0.945	549.0	6.859e-177		VOG00135	sp|Q05229|VG23_BPML5 Major tail protein Gp23; Xs	Xs	0	False	V
NC_028897_16	NC_028897	NC_028897	16	14258	14638	1	D			YP_009637924.1	YP_009637924.1 tail assembly chaperone [Mycobacterium phage Benedict]	False	0.926	246.0	6.73e-75	Mycobacteriophage tail assembly protein [PF17388.5]				0	False	
NC_028897_17	NC_028897	NC_028897	17	15059	17872	1	E			YP_009207687.1	YP_009207687.1 tapemeasure protein [Mycobacterium phage Chadwick]	True	0.909	1780.0	0.0					0	False	
NC_028897_18	NC_028897	NC_028897	18	17936	18949	1	E			YP_009207688.1	YP_009207688.1 minor tail protein [Mycobacterium phage Chadwick]	True	1.0	750.0	3.503e-245					0	False	
NC_028897_19	NC_028897	NC_028897	19	18946	20745	1	E			YP_009637927.1	YP_009637927.1 minor tail protein [Mycobacterium phage Benedict]	True	0.996	1263.0	0.0		VOG02068	sp|Q05235|VG28_BPML5 Minor tail protein Gp28; Xu	Xu	0	False	
NC_028897_20	NC_028897	NC_028897	20	20759	21223	1	D			YP_009207690.1	YP_009207690.1 minor tail protein [Mycobacterium phage Chadwick]	False	0.992	325.0	1.336e-101	Protein of unknown function (DUF2744) [PF10910.11]	VOG01373	sp|O64223|VG29_BPMD2 Gene 29 protein; Xu	Xu	0	False	
NC_028897_21	NC_028897	NC_028897	21	21216	21518	1	E			YP_009207691.1	YP_009207691.1 minor tail protein [Mycobacterium phage Chadwick]	False	0.967	206.0	2.591e-61		VOG08323	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_028897_22	NC_028897	NC_028897	22	21515	21835	1	D			YP_009207692.1	YP_009207692.1 minor tail protein [Mycobacterium phage Chadwick]	False	0.931	209.0	2.771e-62	Protein of unknown function (DUF2746) [PF10874.11]	VOG00752	sp|Q05239|VG30_BPML5 Gene 30 protein; Xu	Xu	0	False	
NC_028897_23	NC_028897	NC_028897	23	21832	23214	1	E			YP_009207693.1	YP_009207693.1 minor tail protein [Mycobacterium phage Chadwick]	True	0.917	884.0	4.533e-289					0	False	
NC_028897_24	NC_028897	NC_028897	24	23222	23548	1	E			YP_009207694.1	YP_009207694.1 minor tail protein [Mycobacterium phage Chadwick]	False	0.983	226.0	2.792e-68		VOG08069	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_028897_25	NC_028897	NC_028897	25	23830	25275	-1	C	K06400	site-specific DNA recombinase	YP_009207696.1	YP_009207696.1 integrase [Mycobacterium phage Chadwick]	True	0.96	973.0	1.457e-319	Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]	VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	False	V
NC_028897_26	NC_028897	NC_028897	26	25547	25975	1	D			YP_009207697.1	YP_009207697.1 excisionase [Mycobacterium phage Chadwick]	False	0.93	279.0	8.247e-86	Protein of unknown function (DUF2637) [PF10935.11]	VOG08507	sp|O64228|VG341_BPMD2 Gene 34.1 protein; Xu	Xu	0	False	
NC_028897_27	NC_028897	NC_028897	27	26021	26638	1	E													0	False	
NC_028897_28	NC_028897	NC_028897	28	26574	26717	-1	E			YP_009207699.1	YP_009207699.1 hypothetical protein AVV06_gp60 [Mycobacterium phage Chadwick]	False	0.945	96.0	4.181e-24		VOG19483	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_29	NC_028897	NC_028897	29	26717	26926	-1	E			YP_009207700.1	YP_009207700.1 hypothetical protein AVV06_gp59 [Mycobacterium phage Chadwick]	False	1.0	153.0	1.035e-43		VOG00480	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_30	NC_028897	NC_028897	30	26983	27429	-1	E			YP_009207701.1	YP_009207701.1 hypothetical protein AVV06_gp58 [Mycobacterium phage Chadwick]	False	0.964	302.0	6.528999999999999e-94		VOG04516	sp|O64230|VG39_BPMD2 Gene 39 protein; Xu	Xu	0	False	
NC_028897_31	NC_028897	NC_028897	31	27419	27658	-1	E			YP_009207702.1	YP_009207702.1 hypothetical protein AVV06_gp57 [Mycobacterium phage Chadwick]	False	0.95	160.0	7.874e-46		VOG10140	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_32	NC_028897	NC_028897	32	27700	28143	-1	E			YP_009207703.1	YP_009207703.1 hypothetical protein AVV06_gp56 [Mycobacterium phage Chadwick]	False	1.0	325.0	9.533e-102		VOG00989	sp|Q5UPV6|YL278_MIMIV Uncharacterized protein L278; Xu	Xu	0	False	
NC_028897_33	NC_028897	NC_028897	33	28191	30056	-1	D			YP_009207704.1	YP_009207704.1 DNA polymerase I [Mycobacterium phage Chadwick]	True	0.959	1253.0	0.0	DNA polymerase family A [PF00476.23]; 3'-5' exonuclease [PF01612.23]	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	Xr;Xh	0	False	V
NC_028897_34	NC_028897	NC_028897	34	30064	30219	-1	E			YP_010060752.1	YP_010060752.1 hypothetical protein KIP49_gp51 [Mycobacterium phage Scorpia]	False	0.945	104.0	9.021999999999999e-27		VOG29138	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_35	NC_028897	NC_028897	35	30219	30335	-1	E			YP_010060753.1	YP_010060753.1 hypothetical protein KIP49_gp50 [Mycobacterium phage Scorpia]	False	0.915	75.0	3.881e-17		VOG19484	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_36	NC_028897	NC_028897	36	30335	30715	-1	E			YP_009207707.1	YP_009207707.1 hypothetical protein AVV06_gp52 [Mycobacterium phage Chadwick]	False	0.976	261.0	4.126e-80		VOG00043	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_37	NC_028897	NC_028897	37	30712	30975	-1	D			YP_010060755.1	YP_010060755.1 HTH DNA binding protein [Mycobacterium phage Scorpia]	False	0.915	169.0	1.1099999999999999e-48	Helix-turn-helix domain of resolvase [PF02796.18]				0	False	
NC_028897_38	NC_028897	NC_028897	38	30968	31672	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	YP_010060756.1	YP_010060756.1 thymidylate synthase [Mycobacterium phage Scorpia]	True	0.979	485.0	1.971e-155	Thymidylate synthase complementing protein [PF02511.18]	VOG03899	sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase; XhXr	Xr;Xh	0	False	V
NC_028897_39	NC_028897	NC_028897	39	31728	32252	-1	E			YP_010060757.1	YP_010060757.1 ribonucleoside reductase class II [Mycobacterium phage Scorpia]	True	0.976	360.0	2.209e-113		VOG08029	sp|O64239|VG49_BPMD2 Gene 49 protein; Xu	Xu	0	False	
NC_028897_40	NC_028897	NC_028897	40	32278	34305	-1	D			YP_009207711.1	YP_009207711.1 ribonucleotide reductase [Mycobacterium phage Chadwick]	True	0.988	1409.0	0.0	Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase alpha domain [PF17975.4]	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh	Xh	0	False	MKE
NC_028897_41	NC_028897	NC_028897	41	34357	34527	-1	D			YP_010060670.1	YP_010060670.1 hypothetical protein KIP48_gp47 [Mycobacterium phage Naca]	False	0.993	120.0	2.634e-32	Phage gene product 52 [PF17468.5]				0	False	
NC_028897_42	NC_028897	NC_028897	42	34527	34763	-1	E			YP_009207713.1	YP_009207713.1 hypothetical protein AVV06_gp46 [Mycobacterium phage Chadwick]	False	0.931	154.0	6.293e-44		VOG00250	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_43	NC_028897	NC_028897	43	34851	35504	-1	E			YP_009207715.1	YP_009207715.1 sigma-K factor [Mycobacterium phage Chadwick]	True	0.938	429.0	2.474e-136		VOG02684	sp|O64242|VG52_BPMD2 Gene 52 protein; Xu	Xu	0	False	
NC_028897_44	NC_028897	NC_028897	44	35501	36271	-1	D			YP_010060764.1	YP_010060764.1 metallophosphoesterase [Mycobacterium phage Scorpia]	True	0.992	538.0	1.821e-173	Calcineurin-like phosphoesterase superfamily domain [PF12850.10]	VOG01525	sp|O64245|VG54_BPMD2 Gene 54 protein; Xu	Xu	0	False	
NC_028897_45	NC_028897	NC_028897	45	36268	36756	-1	D			YP_009207717.1	YP_009207717.1 phosphofructokinase [Mycobacterium phage Chadwick]	False	0.995	343.0	1.332e-107	Domain of unknown function (DUF6378) [PF19905.2]	VOG00810	sp|Q05265|VG55_BPML5 Gene 55 protein; Xu	Xu	0	False	
NC_028897_46	NC_028897	NC_028897	46	36753	37154	-1	E			YP_009207718.1	YP_009207718.1 hypothetical protein AVV06_gp41 [Mycobacterium phage Chadwick]	False	1.0	288.0	3.747e-89		VOG05753	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_47	NC_028897	NC_028897	47	37151	37420	-1	E			YP_010060767.1	YP_010060767.1 hypothetical protein KIP49_gp36 [Mycobacterium phage Scorpia]	False	0.923	174.0	1.461e-50		VOG12356	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_48	NC_028897	NC_028897	48	37417	37704	-1	E			YP_009207720.1	YP_009207720.1 hypothetical protein AVV06_gp39 [Mycobacterium phage Chadwick]	False	0.922	186.0	2.0399999999999997e-54		VOG12357	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_49	NC_028897	NC_028897	49	37701	38363	-1	D			YP_009207721.1	YP_009207721.1 DNA primase [Mycobacterium phage Chadwick]	True	0.985	460.0	5.911e-147	Toprim-like [PF13155.9]				0	False	
NC_028897_50	NC_028897	NC_028897	50	38585	38845	-1	E			YP_009207723.1	YP_009207723.1 hypothetical protein AVV06_gp36 [Mycobacterium phage Chadwick]	False	0.988	182.0	3.092e-53		VOG03780	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_51	NC_028897	NC_028897	51	38952	39218	-1	D			YP_009207724.1	YP_009207724.1 hypothetical protein AVV06_gp35 [Mycobacterium phage Chadwick]	False	0.957	179.0	2.278e-52	Gene product 63 [PF17471.5]	VOG08032	sp|O64255|VG63_BPMD2 Gene 63 protein; Xu	Xu	0	False	
NC_028897_52	NC_028897	NC_028897	52	39317	39781	-1	D			YP_009207725.1	YP_009207725.1 endonuclease VII [Mycobacterium phage Chadwick]	False	1.0	329.0	4.15e-103	Recombination endonuclease VII [PF02945.18]	VOG00650	sp|O64250|VG59_BPMD2 Gene 59 protein; Xu	Xu	0	False	
NC_028897_53	NC_028897	NC_028897	53	39942	40094	-1	E			YP_009207728.1	YP_009207728.1 hypothetical protein AVV06_gp31 [Mycobacterium phage Chadwick]	False	0.942	101.0	5.748e-26		VOG08239	sp|Q05273|VG60_BPML5 Gene 60 protein; Xu	Xu	0	False	
NC_028897_54	NC_028897	NC_028897	54	40091	40264	-1	E			YP_009207729.1	YP_009207729.1 hypothetical protein AVV06_gp30 [Mycobacterium phage Chadwick]	False	1.0	124.0	6.1830000000000015e-34		VOG03544	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_55	NC_028897	NC_028897	55	40261	40650	-1	E			YP_009207730.1	YP_009207730.1 site-specific recombination directionality factor RDF [Mycobacterium phage Chadwick]	False	0.936	256.0	5.445e-78		VOG02565	sp|Q05277|VG64_BPML5 Gene 64 protein; Xu	Xu	0	False	
NC_028897_56	NC_028897	NC_028897	56	40659	41465	-1	D			YP_009207731.1	YP_009207731.1 DnaB-like replicative helicase [Mycobacterium phage Chadwick]	True	0.973	551.0	9.731e-178	DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xr;Xh	0	False	V
NC_028897_57	NC_028897	NC_028897	57	41452	41679	-1	E			YP_009207732.1	YP_009207732.1 hypothetical protein AVV06_gp27 [Mycobacterium phage Chadwick]	False	1.0	161.0	3.423e-46		VOG00762	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028897_58	NC_028897	NC_028897	58	41679	41930	-1	D			YP_009207733.1	YP_009207733.1 hypothetical protein AVV06_gp26 [Mycobacterium phage Chadwick]	False	0.98	174.0	1.49e-50	Gp68-like predicted RNA polymerase component [PF17469.5]	VOG08035	sp|Q05282|VG68_BPML5 Gene 68 protein; Xu	Xu	0	False	
NC_028897_59	NC_028897	NC_028897	59	42211	43026	-1	C	K07465	putative RecB family exonuclease	YP_009207735.1	YP_009207735.1 exonuclease [Mycobacterium phage Chadwick]	True	1.0	581.0	4.405e-188	PD-(D/E)XK nuclease superfamily [PF12705.10]	VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein; Xu	Xu	0	False	
NC_028897_60	NC_028897	NC_028897	60	43023	43310	-1	E			YP_009207736.1	YP_009207736.1 hypothetical protein AVV06_gp23 [Mycobacterium phage Chadwick]	False	0.972	197.0	2.915e-58		VOG01694	sp|Q05284|VG70_BPML5 Gene 70 protein; Xu	Xu	0	False	
NC_028897_61	NC_028897	NC_028897	61	43326	43988	-1	E			YP_009207737.1	YP_009207737.1 transcriptional repressor [Mycobacterium phage Chadwick]	True	1.0	379.0	5.131e-119		VOG00931	sp|Q05286|VG71_BPML5 Repressor-like immunity protein; Xu	Xu	0	False	
NC_028897_62	NC_028897	NC_028897	62	44401	44643	-1	E			YP_009207739.1	YP_009207739.1 hypothetical protein AVV06_gp20 [Mycobacterium phage Chadwick]	False	1.0	173.0	3.314e-50		VOG01546	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_63	NC_028897	NC_028897	63	44640	44900	-1	E			YP_010060786.1	YP_010060786.1 hypothetical protein KIP49_gp17 [Mycobacterium phage Scorpia]	False	1.0	190.0	5.535e-56		VOG12360	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_64	NC_028897	NC_028897	64	45054	45206	-1	E			YP_009207742.1	YP_009207742.1 hypothetical protein AVV06_gp17 [Mycobacterium phage Chadwick]	False	0.942	101.0	5.748e-26		VOG03015	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_65	NC_028897	NC_028897	65	45219	45398	-1	E			YP_009207743.1	YP_009207743.1 hypothetical protein AVV06_gp16 [Mycobacterium phage Chadwick]	False	0.984	125.0	4.9900000000000005e-34		VOG12361	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_66	NC_028897	NC_028897	66	45395	45568	-1	E			YP_009207744.1	YP_009207744.1 hypothetical protein AVV06_gp15 [Mycobacterium phage Chadwick]	False	0.986	121.0	1.072e-32		VOG29000	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_67	NC_028897	NC_028897	67	45570	45911	-1	E			YP_008858012.1	YP_008858012.1 hypothetical protein X823_gp17 [Mycobacterium phage Conspiracy]	False	1.0	242.0	1.586e-73		VOG12362	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_68	NC_028897	NC_028897	68	46487	46627	-1	E			YP_009637985.1	YP_009637985.1 hypothetical protein FGG33_gp15 [Mycobacterium phage Benedict]	False	0.993	99.0	3.1300000000000003e-25		VOG01841	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_69	NC_028897	NC_028897	69	46644	47186	-1	D			YP_009207749.1	YP_009207749.1 anti-restriction protein [Mycobacterium phage Chadwick]	True	0.992	379.0	7.782e-120	Antirestriction protein (ArdA) [PF07275.14]	VOG01344	REFSEQ anti-restriction protein; Xu	Xu	0	False	F
NC_028897_70	NC_028897	NC_028897	70	47208	47420	-1	E			YP_009207750.1	YP_009207750.1 hypothetical protein AVV06_gp09 [Mycobacterium phage Chadwick]	False	0.944	141.0	1.994e-39		VOG12363	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028897_71	NC_028897	NC_028897	71	47786	48037	-1	E			YP_009198858.1	YP_009198858.1 hypothetical protein AVT30_gp06 [Mycobacterium phage UnionJack]	False	0.986	175.0	5.767e-51		VOG04856	REFSEQ hypothetical protein; Xu	Xu	0	False	F
