KO Id	Name	Count
K00003	hom; homoserine dehydrogenase	6
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	7
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	2
K00013	hisD; histidinol dehydrogenase	2
K00014	aroE; shikimate dehydrogenase	2
K00018	hprA; glycerate dehydrogenase	1
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1
K00023	phbB; acetoacetyl-CoA reductase	2
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	3
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	3
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1
K00053	ilvC; ketol-acid reductoisomerase	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1
K00066	algD; GDP-mannose 6-dehydrogenase	1
K00075	murB; UDP-N-acetylmuramate dehydrogenase	2
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1
K00088	IMPDH, guaB; IMP dehydrogenase	1
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	11
K00133	asd; aspartate-semialdehyde dehydrogenase	6
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	8
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	3
K00138	aldB; aldehyde dehydrogenase	4
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	6
K00147	proA; glutamate-5-semialdehyde dehydrogenase	1
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1
K00163	aceE; pyruvate dehydrogenase E1 component	1
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	2
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	2
K00226	pyrD; dihydroorotate dehydrogenase (fumarate)	1
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	3
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	3
K00248	ACADS, bcd; butyryl-CoA dehydrogenase	6
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	2
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase	1
K00254	DHODH, pyrD; dihydroorotate dehydrogenase	1
K00259	ald; alanine dehydrogenase	2
K00263	E1.4.1.9; leucine dehydrogenase	2
K00265	gltB; glutamate synthase (NADPH) large chain	2
K00266	gltD; glutamate synthase (NADPH) small chain	3
K00274	MAO, aofH; monoamine oxidase	5
K00278	nadB; L-aspartate oxidase	1
K00281	GLDC, gcvP; glycine dehydrogenase	1
K00285	dadA; D-amino-acid dehydrogenase	1
K00286	proC; pyrroline-5-carboxylate reductase	1
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	2
K00330	nuoA; NADH-quinone oxidoreductase subunit A	1
K00331	nuoB; NADH-quinone oxidoreductase subunit B	1
K00355	NQO1; NAD(P)H dehydrogenase (quinone)	1
K00362	nirB; nitrite reductase (NADH) large subunit	1
K00372	nasA; assimilatory nitrate reductase catalytic subunit	2
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	1
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component	1
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	2
K00383	GSR, gor; glutathione reductase (NADPH)	1
K00428	E1.11.1.5; cytochrome c peroxidase	2
K00432	gpx, btuE, bsaA; glutathione peroxidase	3
K00446	dmpB, xylE; catechol 2,3-dioxygenase	1
K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit	2
K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit	1
K00451	HGD, hmgA; homogentisate 1,2-dioxygenase	2
K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase	2
K00481	pobA; p-hydroxybenzoate 3-monooxygenase	1
K00500	phhA, PAH; phenylalanine-4-hydroxylase	3
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	2
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	2
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	1
K00531	anfG; nitrogenase delta subunit	1
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	3
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2
K00560	thyA, TYMS; thymidylate synthase	1
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2
K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase	2
K00600	glyA, SHMT; glycine hydroxymethyltransferase	3
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	1
K00605	gcvT, AMT; aminomethyltransferase	1
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2
K00611	OTC, argF, argI; ornithine carbamoyltransferase	1
K00615	E2.2.1.1, tktA, tktB; transketolase	4
K00616	E2.2.1.2, talA, talB; transaldolase	4
K00619	argA; amino-acid N-acetyltransferase	1
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase	1
K00625	E2.3.1.8, pta; phosphate acetyltransferase	11
K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase	2
K00632	fadA, fadI; acetyl-CoA acyltransferase	1
K00640	cysE; serine O-acetyltransferase	13
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase	1
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	1
K00673	astA; arginine N-succinyltransferase	1
K00674	dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	3
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase	3
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase	1
K00688	PYG, glgP; glycogen phosphorylase	3
K00694	bcsA; cellulose synthase (UDP-forming)	3
K00697	otsA; trehalose 6-phosphate synthase	4
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme	1
K00703	glgA; starch synthase	2
K00705	malQ; 4-alpha-glucanotransferase	3
K00720	UGCG; ceramide glucosyltransferase	1
K00748	lpxB; lipid-A-disaccharide synthase	2
K00760	hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase	1
K00761	upp, UPRT; uracil phosphoribosyltransferase	1
K00762	pyrE; orotate phosphoribosyltransferase	1
K00764	purF, PPAT; amidophosphoribosyltransferase	2
K00765	hisG; ATP phosphoribosyltransferase	2
K00766	trpD; anthranilate phosphoribosyltransferase	2
K00789	metK; S-adenosylmethionine synthetase	4
K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase	4
K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2
K00797	speE, SRM, SPE3; spermidine synthase	3
K00799	GST, gst; glutathione S-transferase	1
K00812	aspB; aspartate aminotransferase	9
K00817	hisC; histidinol-phosphate aminotransferase	3
K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)	2
K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase	4
K00822	E2.6.1.18; beta-alanine--pyruvate transaminase	2
K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2
K00831	serC, PSAT1; phosphoserine aminotransferase	1
K00832	tyrB; aromatic-amino-acid transaminase	3
K00836	ectB, dat; diaminobutyrate-2-oxoglutarate transaminase	1
K00840	astC; succinylornithine aminotransferase	1
K00845	glk; glucokinase	3
K00847	E2.7.1.4, scrK; fructokinase	1
K00854	xylB, XYLB; xylulokinase	1
K00860	cysC; adenylylsulfate kinase	4
K00865	glxK, garK; glycerate 2-kinase	2
K00873	PK, pyk; pyruvate kinase	5
K00883	dgoK; 2-dehydro-3-deoxygalactonokinase	1
K00887	dgkA; undecaprenol kinase	1
K00912	lpxK; tetraacyldisaccharide 4'-kinase	1
K00925	ackA; acetate kinase	3
K00927	PGK, pgk; phosphoglycerate kinase	5
K00928	lysC; aspartate kinase	6
K00930	argB; acetylglutamate kinase	2
K00931	proB; glutamate 5-kinase	3
K00937	ppk1; polyphosphate kinase	1
K00940	ndk, NME; nucleoside-diphosphate kinase	2
K00942	E2.7.4.8, gmk; guanylate kinase	1
K00943	tmk, DTYMK; dTMP kinase	1
K00944	AK3; nucleoside-triphosphate--adenylate kinase	1
K00945	cmk; CMP/dCMP kinase	1
K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	1
K00955	cysNC; bifunctional enzyme CysN/CysC	11
K00957	cysD; sulfate adenylyltransferase subunit 2	9
K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase	2
K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme)	1
K00978	rfbF; glucose-1-phosphate cytidylyltransferase	2
