NC_010328.1_orf38	4cd87d22631a6c0289311b744da6d80d	129	Pfam	PF09593	Beta-satellite pathogenicity beta C1 protein	13	129	1.1E-37	T	24-06-2023	IPR018583	Cotton leaf-curl disease, DNA-betaC1
NC_010328.1_orf16	bc63ec7280a5e8313cbcbbbc0f8a2dd7	77	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	24-06-2023	-	-
NC_010328.1_orf16	bc63ec7280a5e8313cbcbbbc0f8a2dd7	77	MobiDBLite	mobidb-lite	consensus disorder prediction	36	57	-	T	24-06-2023	-	-
NC_010328.1_orf16	bc63ec7280a5e8313cbcbbbc0f8a2dd7	77	MobiDBLite	mobidb-lite	consensus disorder prediction	1	61	-	T	24-06-2023	-	-
NC_010328.1_orf14	75efe93bd6ef8b2da9666312528ea47e	76	MobiDBLite	mobidb-lite	consensus disorder prediction	49	76	-	T	24-06-2023	-	-
