KO Id	Name	Level	Count
	lvl1: 20_Hydrolysis of polymers	1	15
	lvl2: Starch	2	3
	lvl3: nan	3	143
	lvl4: nan	4	195
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	2
	lvl2: Xylose	2	2
	lvl1: 01_Fermentation	1	15
	lvl2: Bifidobacterium shunt	2	1
K00016	K00016: LDH, ldh; L-lactate dehydrogenase	Function	7
	lvl2: Heterolactic fermentation	2	2
	lvl2: Homolactic fermentation	2	1
	lvl2: Pyruvate Fermentation	2	8
	lvl3: Pyruvate fermentation to acetate and lactate I	3	1
	lvl3: Pyruvate fermentation to ethanol III	3	1
	lvl1: 06_Amino acid utilization biosynthesis metabolism	1	61
	lvl2: Cysteine and methionine metabolism	2	7
	lvl2: Amino acid biosynthesis precursor pyruvate and oxaloacetate	2	18
	lvl3: Cysteine and methionine	3	6
	lvl2: Histidine degradation	2	1
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
K00033	K00033: PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	Function	2
	lvl1: 21_Cellular response to stress	1	22
	lvl2: Cellular response to stress	2	5
	lvl2: Histidine biosynthesis, pRpp => histidine	2	1
K00052	K00052: leuB, IMDH; 3-isopropylmalate dehydrogenase	Function	1
	lvl2: Valine, leucine and isoleucine biosynthesis	2	7
K00053	K00053: ilvC; ketol-acid reductoisomerase	Function	1
	lvl2: Glycine, serine and threonine metabolism	2	9
K00058	K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	Function	1
K00133	K00133: asd; aspartate-semialdehyde dehydrogenase	Function	6
	lvl2: Lysine biosynthesis	2	2
	lvl2: Methionine biosynthesis	2	2
	lvl3: Oxaloacetate to lysine	3	3
	lvl2: Lysine degradation VIII	2	1
K00135	K00135: gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	Function	3
	lvl2: Methionine degradation	2	3
	lvl1: 10_TCA cycle	1	12
	lvl2: TCA cycle	2	4
K00239	K00239: sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	Function	3
	lvl2: Incomplete TCA fork	2	4
	lvl2: Reductive TCA cycle	2	4
K00240	K00240: sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	Function	3
K00241	K00241: sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	Function	3
K00242	K00242: sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	Function	3
	lvl2: Tryptophan metabolism	2	2
