MNUJ01000002.1_1_4	13a5bff17f0207c212d1175beb1ad3a0	57	Pfam	PF18917	Domain of unknown function (DUF5668)	1	43	3.7E-13	T	10-07-2023	IPR043726	Domain of unknown function DUF5668
MNUJ01000013.1_14	a54b8614f012905bd4dabe01ae8661c3	69	Pfam	PF02604	Antitoxin Phd_YefM, type II toxin-antitoxin system	1	47	2.4E-9	T	10-07-2023	IPR006442	Type II toxin-antitoxin system, antitoxin Phd/YefM
MNUJ01000013.1_14	a54b8614f012905bd4dabe01ae8661c3	69	SUPERFAMILY	SSF143120	YefM-like	1	46	1.31E-8	T	10-07-2023	IPR036165	YefM-like superfamily
MNUJ01000013.1_14	a54b8614f012905bd4dabe01ae8661c3	69	TIGRFAM	TIGR01552	phd_fam: prevent-host-death family protein	4	47	1.1E-9	T	10-07-2023	-	-
MNUJ01000013.1_14	a54b8614f012905bd4dabe01ae8661c3	69	Gene3D	G3DSA:3.40.1620.10	-	1	47	9.7E-10	T	10-07-2023	-	-
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	10-07-2023	-	-
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	Pfam	PF00535	Glycosyl transferase family 2	33	163	2.6E-15	T	10-07-2023	IPR001173	Glycosyltransferase 2-like
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	Gene3D	G3DSA:3.90.550.10	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	28	279	1.7E-41	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	Pfam	PF02709	N-terminal domain of galactosyltransferase	211	255	1.3E-6	T	10-07-2023	IPR027791	Galactosyltransferase, C-terminal
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	31	305	3.13E-44	T	10-07-2023	IPR029044	Nucleotide-diphospho-sugar transferases
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	CDD	cd04186	GT_2_like_c	34	264	2.02337E-46	T	10-07-2023	-	-
MNUJ01000043.1_7	7515332a6a5c6be4d3c0dca4f7c71e40	311	PANTHER	PTHR43179	RHAMNOSYLTRANSFERASE WBBL	22	292	5.0E-46	T	10-07-2023	-	-
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50088	Ankyrin repeat profile.	111	135	8.65621	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	MobiDBLite	mobidb-lite	consensus disorder prediction	173	212	-	T	10-07-2023	-	-
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	Pfam	PF12796	Ankyrin repeats (3 copies)	50	143	3.6E-20	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50088	Ankyrin repeat profile.	45	77	13.7044	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	Gene3D	G3DSA:1.25.40.20	-	6	216	5.0E-52	T	10-07-2023	IPR036770	Ankyrin repeat-containing domain superfamily
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	PANTHER	PTHR24189	MYOTROPHIN	14	104	1.1E-49	T	10-07-2023	-	-
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SMART	SM00248	ANK_2a	150	179	0.34	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SMART	SM00248	ANK_2a	45	74	7.5E-5	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SMART	SM00248	ANK_2a	12	41	1.5	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SMART	SM00248	ANK_2a	111	146	0.28	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SMART	SM00248	ANK_2a	78	107	9.8E-6	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	SUPERFAMILY	SSF48403	Ankyrin repeat	13	175	9.36E-45	T	10-07-2023	IPR036770	Ankyrin repeat-containing domain superfamily
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	45	75	12.858994	T	10-07-2023	-	-
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	PRINTS	PR01415	Ankyrin repeat signature	94	108	3.4E-8	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	PRINTS	PR01415	Ankyrin repeat signature	46	61	3.4E-8	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50088	Ankyrin repeat profile.	78	110	11.99496	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	12	43	9.462976	T	10-07-2023	-	-
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50088	Ankyrin repeat profile.	12	44	10.33894	T	10-07-2023	IPR002110	Ankyrin repeat
MNUJ01000047.1_13	1325fa106d89f521ffd787391cf31c61	224	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	78	110	10.630358	T	10-07-2023	-	-
MNUJ01000047.1_24	79e6d0cf47d72b494ff981aeff8e6d78	426	Gene3D	G3DSA:3.30.420.10	-	132	295	2.4E-12	T	10-07-2023	IPR036397	Ribonuclease H superfamily
MNUJ01000047.1_24	79e6d0cf47d72b494ff981aeff8e6d78	426	PANTHER	PTHR35004	TRANSPOSASE RV3428C-RELATED	14	354	2.4E-30	T	10-07-2023	-	-
MNUJ01000047.1_24	79e6d0cf47d72b494ff981aeff8e6d78	426	SUPERFAMILY	SSF53098	Ribonuclease H-like	138	279	3.03E-11	T	10-07-2023	IPR012337	Ribonuclease H-like superfamily
MNUJ01000047.1_24	79e6d0cf47d72b494ff981aeff8e6d78	426	ProSiteProfiles	PS50994	Integrase catalytic domain profile.	135	314	14.698673	T	10-07-2023	IPR001584	Integrase, catalytic core
MNUJ01000025.1_7	8ffb280752e174f6f75cf0cebb70edb3	229	Coils	Coil	Coil	133	160	-	T	10-07-2023	-	-
MNUJ01000025.1_7	8ffb280752e174f6f75cf0cebb70edb3	229	MobiDBLite	mobidb-lite	consensus disorder prediction	78	96	-	T	10-07-2023	-	-
MNUJ01000025.1_7	8ffb280752e174f6f75cf0cebb70edb3	229	MobiDBLite	mobidb-lite	consensus disorder prediction	65	132	-	T	10-07-2023	-	-
MNUJ01000025.1_7	8ffb280752e174f6f75cf0cebb70edb3	229	MobiDBLite	mobidb-lite	consensus disorder prediction	97	132	-	T	10-07-2023	-	-
MNUJ01000052.1_10	9e97a2a4e6238e10a1595ea32f8cb1e0	259	Gene3D	G3DSA:3.40.50.970	-	68	253	2.1E-36	T	10-07-2023	-	-
MNUJ01000052.1_10	9e97a2a4e6238e10a1595ea32f8cb1e0	259	Pfam	PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	54	212	3.4E-22	T	10-07-2023	IPR011766	Thiamine pyrophosphate enzyme, TPP-binding
MNUJ01000052.1_10	9e97a2a4e6238e10a1595ea32f8cb1e0	259	PANTHER	PTHR48084	2-OXOGLUTARATE OXIDOREDUCTASE SUBUNIT KORB-RELATED	20	227	5.7E-45	T	10-07-2023	-	-
MNUJ01000052.1_10	9e97a2a4e6238e10a1595ea32f8cb1e0	259	SUPERFAMILY	SSF52518	Thiamin diphosphate-binding fold (THDP-binding)	20	242	2.4E-51	T	10-07-2023	IPR029061	Thiamin diphosphate-binding fold
MNUJ01000058.1_2	7f2d004494c3780946f35c78b68446f0	148	Gene3D	G3DSA:1.10.10.410	-	91	147	2.1E-23	T	10-07-2023	IPR023168	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 2
