target	query	e-value	score	length	start	end
NZ_CP030761.1_662548_663909_-	COG0001	3.3e-141	469.5	453	16	447
NZ_CP030762.1_314578_327729_+	COG3320	0	973.7	4383	2225	3274
NZ_CP030762.1_314578_327729_+	COG3320	0	970.3	4383	3317	4353
NZ_CP030762.1_314578_327729_+	COG3320	0	989.4	4383	1135	2182
NZ_CP030762.1_314578_327729_+	COG3320	0	1216.1	4383	42	1092
NZ_CP030760.1_3670522_3671721_+	COG4992	1.3e-186	619.0	399	7	396
NZ_CP030761.1_1135115_1136449_+	COG0161	3.7e-165	547.4	444	10	443
NZ_CP030760.1_3370311_3373238_-	COG2334	9.6e-52	174.1	975	4	348
NZ_CP030760.1_3370311_3373238_-	COG0160	7.1e-140	464.6	975	511	973
NZ_CP030761.1_72975_74306_-	COG0161	1.1e-162	539.2	427	2	424
NZ_CP030761.1_560638_562014_+	COG0161	4.7e-168	556.9	458	3	455
NZ_CP030760.1_4651675_4653042_+	COG0161	1.2e-169	562.2	455	6	454
NZ_CP030761.1_59878_63870_+	COG3320	1.2e-245	815.5	1330	23	1055
NZ_CP030761.1_87555_89069_+	COG0365	1.2e-120	401.7	504	4	498
NZ_CP030760.1_3618078_3619778_-	COG0365	4.2e-104	346.9	566	38	566
NZ_CP030761.1_637192_638778_-	COG0365	2.9e-112	373.8	528	29	522
NZ_CP030762.1_90310_92292_+	COG0365	6.4e-271	898.9	660	11	654
NZ_CP030760.1_4863217_4864149_-	COG0002	7.6e-82	272.5	310	2	308
NZ_CP030761.1_284956_286149_-	COG1192	6.2e-78	260.1	397	54	379
NZ_CP030762.1_241444_242655_+	COG1192	2.8e-80	267.8	403	76	393
NZ_CP030762.1_205525_206832_+	COG1192	5.6e-80	266.8	435	47	427
NZ_CP030762.1_228722_229126_+	COG1348	5.5e-30	102.4	134	2	57
NZ_CP030760.1_3339832_3340632_+	COG0005	1.3e-92	307.9	266	12	262
NZ_CP030761.1_146638_148062_+	COG0006	3.5e-60	201.6	474	19	467
NZ_CP030760.1_3453455_3454372_+	COG0313	6.7e-123	407.6	305	20	303
NZ_CP030760.1_4103328_4104302_-	COG0009	4.6e-115	382.7	324	1	323
NZ_CP030760.1_4864210_4865172_-	COG0010	6.2e-98	325.8	320	19	314
NZ_CP030761.1_609295_610812_-	COG1012	2.2e-194	645.3	501	16	493
NZ_CP030761.1_651661_653106_+	COG1012	7.6e-174	577.5	481	3	474
NZ_CP030761.1_172141_173658_+	COG1012	4.1e-97	323.7	505	7	488
NZ_CP030762.1_122620_123990_+	COG0015	2.4e-155	515.3	456	23	455
NZ_CP030760.1_3397203_3398285_+	COG0016	4.1e-163	541.4	360	2	357
NZ_CP030760.1_4799659_4801449_+	COG0173	7.6e-263	871.4	596	3	593
NZ_CP030761.1_1143096_1144229_-	COG0787	1.9e-132	440.1	377	17	376
NZ_CP030760.1_4117656_4119572_-	COG1154	6.1e-286	947.5	638	2	630
NZ_CP030761.1_1044727_1047120_+	COG2609	4e-253	839.8	797	8	784
NZ_CP030761.1_212780_214321_-	COG0025	1.1e-113	378.6	513	1	504
NZ_CP030760.1_4034136_4035950_-	COG1226	6.8e-207	686.3	604	5	560
NZ_CP030760.1_3809491_3811311_-	COG4651	4e-229	759.7	606	1	580
NZ_CP030761.1_893921_895306_-	COG4770	5.8e-235	780.7	456	2	443
NZ_CP030760.1_4084112_4085389_+	COG0151	3.3e-226	750.3	425	1	422
NZ_CP030761.1_525294_526979_-	COG0028	2.3e-195	648.0	561	3	547
NZ_CP030761.1_118292_119938_+	COG0028	9.1e-181	599.7	548	2	531
NZ_CP030761.1_446251_447879_+	COG0028	1.4e-157	523.2	542	3	533
NZ_CP030761.1_660836_662545_-	COG0028	1.6e-150	499.9	569	3	558
NZ_CP030760.1_4677381_4679231_-	COG3962	2.3e-291	964.9	616	3	614
NZ_CP030762.1_84260_85369_+	COG0028	2.7e-95	317.2	369	5	351
NZ_CP030762.1_334423_335529_-	COG0028	4.2e-93	310.1	358	1	340
NZ_CP030761.1_1155418_1157073_+	COG3961	8.5e-157	520.3	551	4	545
NZ_CP030762.1_335529_336071_-	COG0028	1.9e-59	199.0	180	4	178
NZ_CP030762.1_83691_84263_+	COG0028	8.9e-55	183.6	190	15	188
NZ_CP030762.1_221078_222223_+	COG4032	1e-111	371.0	381	4	378
NZ_CP030760.1_4624955_4626619_+	COG2440	2e-243	806.9	554	5	553
NZ_CP030760.1_3886382_3887602_+	COG2081	7.1e-159	526.9	406	15	404
NZ_CP030761.1_569257_570582_+	COG0665	9.4e-104	341.0	441	11	431
NZ_CP030760.1_3883549_3884847_-	COG0665	3.6e-89	297.2	432	13	408
NZ_CP030762.1_12289_13275_-	COG0665	2.7e-66	221.7	328	1	319
NZ_CP030761.1_1148728_1150599_+	COG2303	1.5e-95	318.7	623	17	621
NZ_CP030760.1_4752076_4752903_-	COG0030	5.9e-97	322.3	263	2	262
NZ_CP030760.1_3450415_3451014_-	COG3963	1.2e-70	235.1	199	7	198
NZ_CP030760.1_3588510_3589181_+	COG3963	1.3e-78	261.2	223	3	209
NZ_CP030761.1_1178968_1179861_+	COG2518	3.4e-50	168.7	297	7	285
NZ_CP030760.1_4289154_4289960_+	COG4106	1.7e-29	101.0	268	9	190
NZ_CP030760.1_4272056_4272919_-	COG4106	8.1e-35	118.6	287	27	268
NZ_CP030760.1_3965763_3966920_-	COG0500	1.2e-27	94.5	385	31	264
NZ_CP030760.1_4496233_4496886_-	COG4976	2.3e-25	87.2	217	11	168
NZ_CP030760.1_4259371_4260186_+	COG2230	7.6e-24	82.2	271	6	148
NZ_CP030760.1_4271067_4271762_-	COG4976	9.1e-38	128.1	231	3	199
NZ_CP030760.1_4451103_4451873_-	COG4106	1.4e-75	252.8	256	2	256
NZ_CP030760.1_3460242_3461204_-	COG0031	7.2e-153	507.2	320	5	317
NZ_CP030761.1_1137079_1138290_+	COG1171	6.4e-76	253.5	403	37	387
NZ_CP030760.1_4731672_4733162_-	COG0034	2.4e-206	683.9	496	10	482
NZ_CP030762.1_214528_216288_-	COG0367	5.1e-170	564.5	586	1	579
NZ_CP030761.1_771933_772589_-	COG1926	1.1e-90	302.4	218	1	211
NZ_CP030760.1_3474772_3475584_+	COG0121	6.2e-85	283.2	270	1	259
NZ_CP030760.1_3343534_3344178_-	COG0035	1.3e-103	342.9	214	6	214
NZ_CP030761.1_260804_261505_-	COG0036	6.7e-59	197.7	233	20	232
NZ_CP030760.1_3431610_3433172_-	COG0519	3.9e-261	864.9	520	3	520
NZ_CP030762.1_126611_127315_-	COG0603	3.1e-110	366.8	234	2	230
NZ_CP030761.1_755014_755694_+	COG3448	1e-44	150.7	226	1	207
NZ_CP030760.1_3983938_3985422_+	COG0516	1.3e-233	773.9	494	8	490
NZ_CP030760.1_4451957_4453231_-	COG1253	1.6e-141	469.9	424	2	422
NZ_CP030760.1_4407978_4409801_+	COG2200	2.8e-88	237.4	607	35	257
NZ_CP030760.1_4407978_4409801_+	COG3706	2e-24	58.6	607	309	567
NZ_CP030760.1_4016922_4017617_+	COG0040	4.4e-77	257.7	231	1	230
NZ_CP030760.1_3486780_3488159_-	COG0044	5.2e-111	369.1	459	2	450
NZ_CP030760.1_3608397_3609443_+	COG0418	4.3e-163	539.4	348	1	345
NZ_CP030760.1_3303708_3304847_-	COG3454	1.1e-162	538.7	379	1	378
NZ_CP030760.1_4784987_4786156_+	COG3454	1.2e-134	446.3	389	1	381
NZ_CP030761.1_1085455_1086684_-	COG1228	1.2e-101	338.3	409	1	408
NZ_CP030760.1_4578440_4579672_+	COG0402	1.3e-63	212.8	410	4	396
NZ_CP030761.1_78894_80207_-	COG0402	1.5e-72	242.4	423	21	410
NZ_CP030761.1_1096787_1098019_-	COG1228	1.9e-106	354.2	410	2	408
NZ_CP030761.1_831488_833293_-	COG1574	2.5e-131	436.4	601	15	580
