	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
HE580238.1_1	GCA_001441135.1	HE580238.1	1	1	252	1	E			YP_009177731.1	YP_009177731.1 hypothetical protein ASQ66_gp01 [Aeropyrum pernix spindle-shaped virus 1]	False	0.992	176.0	2.232e-51												0	False	F
HE580238.1_2	GCA_001441135.1	HE580238.1	2	391	780	1	E			YP_009177732.1	YP_009177732.1 hypothetical protein ASQ66_gp02 [Aeropyrum pernix spindle-shaped virus 1]	False	0.996	274.0	2.671e-84												0	False	F
HE580238.1_3	GCA_001441135.1	HE580238.1	3	781	1761	1	E			YP_009177733.1	YP_009177733.1 hypothetical protein ASQ66_gp03 [Aeropyrum pernix spindle-shaped virus 1]	True	0.943	647.0	8.077000000000002e-210												0	False	F
HE580238.1_4	GCA_001441135.1	HE580238.1	4	1820	2485	-1	D			YP_009177734.1	YP_009177734.1 M48 family metalloprotease [Aeropyrum pernix spindle-shaped virus 1]	True	0.911	423.0	3.386e-134	MER0883197	M48X	MER0883197 - family M48 unassigned peptidases (Aeropyrum pernix) [M48.UPW]#M48X#{peptidase unit: 24-193}~source Q9YDU4~	False	323.0	3.761e-99	0.903	Peptidase family M48 [PF01435.21]				0	False	F
HE580238.1_5	GCA_001441135.1	HE580238.1	5	2951	3877	1	E			YP_009177735.1	YP_009177735.1 hypothetical protein ASQ66_gp05 [Aeropyrum pernix spindle-shaped virus 1]	True	0.905	584.0	2.758e-188												0	False	F
HE580238.1_6	GCA_001441135.1	HE580238.1	6	4431	5066	-1	E			YP_009177737.1	YP_009177737.1 hypothetical protein ASQ66_gp07 [Aeropyrum pernix spindle-shaped virus 1]	True	0.921	409.0	1.802e-129												0	False	F
HE580238.1_7	GCA_001441135.1	HE580238.1	7	5576	5851	1	E			YP_009177738.1	YP_009177738.1 hypothetical protein ASQ66_gp08 [Aeropyrum pernix spindle-shaped virus 1]	False	0.949	184.0	8.144999999999998e-54												0	False	
HE580238.1_8	GCA_001441135.1	HE580238.1	8	5829	6308	1	E			YP_009177739.1	YP_009177739.1 hypothetical protein ASQ66_gp09 [Aeropyrum pernix spindle-shaped virus 1]	False	0.96	323.0	6.005e-101												0	False	
HE580238.1_9	GCA_001441135.1	HE580238.1	9	6317	7273	1	E			YP_009177740.1	YP_009177740.1 hypothetical protein ASQ66_gp10 [Aeropyrum pernix spindle-shaped virus 1]	True	0.919	613.0	4.488e-198												0	False	
HE580238.1_10	GCA_001441135.1	HE580238.1	10	7277	7681	1	E			YP_009177741.1	YP_009177741.1 hypothetical protein ASQ66_gp11 [Aeropyrum pernix spindle-shaped virus 1]	False	0.934	265.0	4.853999999999998e-81												0	False	
