Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ATCL01000020.1_106625_107929_+	COG0001		2e-251	834.3
NZ_ATCL01000021.1_3604_4902_+	COG0001		3.2e-216	717.8
NZ_ATCL01000022.1_326108_327133_+	COG0002		3e-123	408.9
NZ_ATCL01000014.1_591682_593442_+	COG0003		2.1e-139	305.3
NZ_ATCL01000014.1_591682_593442_+	COG0003		2.1e-139	109.7
NZ_ATCL01000017.1_75361_76659_+	COG0004		9.9e-136	450.6
NZ_ATCL01000020.1_862789_863598_-	COG0005		1.9e-108	360.0
NZ_ATCL01000020.1_931445_932515_-	COG0006		4.5e-140	465.1
NZ_ATCL01000009.1_221758_222855_-	COG0006		3.8e-127	422.5
NZ_ATCL01000015.1_8496_9950_+	COG0008		1.2e-175	583.1
NZ_ATCL01000014.1_234378_235376_+	COG0009		1.5e-125	417.2
NZ_ATCL01000014.1_191705_192586_+	COG0010		1.2e-99	331.4
NZ_ATCL01000002.1_33734_34783_-	COG0010		2.2e-72	241.4
NZ_ATCL01000022.1_21934_23034_+	COG0012		2.6e-177	586.8
NZ_ATCL01000020.1_188033_190672_+	COG0013		0	1237.2
NZ_ATCL01000003.1_2324_3616_+	COG0015		5.5e-186	616.4
NZ_ATCL01000009.1_259221_260243_+	COG0016		1.6e-166	552.5
NZ_ATCL01000020.1_481053_482366_+	COG0017		3.8e-182	603.5
NZ_ATCL01000022.1_300938_302620_+	COG0018		8.4e-181	599.9
NZ_ATCL01000003.1_50342_51634_+	COG0019		3.6e-139	461.9
NZ_ATCL01000020.1_402713_403450_+	COG0020		4.5e-126	419.2
NZ_ATCL01000020.1_818008_819999_-	COG0021		0	1072.5
NZ_ATCL01000020.1_252353_253330_+	COG0022		3.9e-170	565.3
NZ_ATCL01000020.1_909938_910915_-	COG0022		6.8e-166	551.3
NZ_ATCL01000015.1_43634_44392_+	COG0024		7.2e-134	443.3
NZ_ATCL01000021.1_56632_57381_-	COG0024		6.2e-95	315.1
NZ_ATCL01000003.1_1233_2327_+	COG0026		7.3e-153	506.5
NZ_ATCL01000020.1_147373_148806_+	COG0029		1.5e-137	457.2
NZ_ATCL01000010.1_16509_17387_-	COG0030		2.2e-94	313.7
NZ_ATCL01000023.1_5977_6930_+	COG0031		1.1e-153	509.9
NZ_ATCL01000009.1_300756_301694_+	COG0031		2.5e-125	416.3
NZ_ATCL01000003.1_7464_8873_+	COG0034		1e-216	718.0
NZ_ATCL01000014.1_246419_247051_+	COG0035		1e-105	349.7
NZ_ATCL01000020.1_339835_340491_+	COG0036		8.3e-128	425.1
NZ_ATCL01000023.1_3_1370_+	COG0037		2.2e-80	268.4
NZ_ATCL01000009.1_237851_238786_+	COG0039		1.8e-140	465.7
NZ_ATCL01000009.1_357954_358910_+	COG0039		1.8e-137	455.8
NZ_ATCL01000009.1_107753_108736_+	COG0039		9.7e-123	407.3
NZ_ATCL01000020.1_511029_511637_+	COG0040		8.4e-76	253.4
NZ_ATCL01000003.1_745_1233_+	COG0041		7.3e-98	325.9
NZ_ATCL01000023.1_11462_12457_+	COG0042		2.6e-128	425.5
NZ_ATCL01000014.1_637154_638161_+	COG0042		2.3e-87	290.6
NZ_ATCL01000020.1_315408_316688_+	COG0044		2.5e-165	548.1
NZ_ATCL01000020.1_364840_366000_+	COG0045		8.5e-194	641.8
NZ_ATCL01000003.1_5269_7488_+	COG0046		0	1122.2
NZ_ATCL01000003.1_4605_5285_+	COG0047		9.3e-104	345.7
NZ_ATCL01000015.1_26855_27277_+	COG0048		1.5e-73	244.2
NZ_ATCL01000015.1_27326_27793_+	COG0049		8.8e-79	260.7
NZ_ATCL01000015.1_30104_31291_+	COG0050		1.6e-262	870.5
NZ_ATCL01000015.1_32289_32597_+	COG0051		3.9e-57	189.5
NZ_ATCL01000020.1_399501_400241_+	COG0052		3.6e-138	457.7
NZ_ATCL01000020.1_612438_613301_+	COG0053		8.4e-93	308.7
NZ_ATCL01000014.1_619060_619524_+	COG0054		1.5e-77	256.8
NZ_ATCL01000014.1_259964_261382_+	COG0055		1e-257	853.5
NZ_ATCL01000014.1_257527_259035_+	COG0056		6.8e-273	904.5
NZ_ATCL01000009.1_246261_247355_+	COG0057		1.4e-182	605.9
NZ_ATCL01000009.1_47502_48509_+	COG0057		2.2e-173	575.6
NZ_ATCL01000017.1_97402_99882_-	COG0058		8e-244	808.8
NZ_ATCL01000020.1_308120_310846_+	COG0060		0	1236.6
NZ_ATCL01000020.1_220641_221438_+	COG0061		8.6e-78	259.9
NZ_ATCL01000009.1_213590_214399_-	COG0061		1.4e-62	209.8
NZ_ATCL01000009.1_336290_337687_+	COG0063		1.3e-136	453.5
NZ_ATCL01000014.1_629209_630639_+	COG0064		6.3e-256	849.8
NZ_ATCL01000014.1_374272_375864_+	COG0069		1.5e-124	414.3
NZ_ATCL01000020.1_570644_575083_+	COG0070		0	2118.6
NZ_ATCL01000014.1_131991_132434_-	COG0071		1e-35	120.8
NZ_ATCL01000009.1_260256_262631_+	COG0072		0	1025.2
NZ_ATCL01000009.1_190804_191424_+	COG0072		2.4e-42	142.0
NZ_ATCL01000020.1_366013_366930_+	COG0074		1.3e-159	529.7
NZ_ATCL01000014.1_100194_101222_+	COG0078		1.9e-157	522.9
NZ_ATCL01000022.1_334301_335227_+	COG0078		6.5e-151	501.4
NZ_ATCL01000020.1_512908_513861_+	COG0079		1.6e-97	324.6
NZ_ATCL01000020.1_520524_521474_-	COG0079		1.2e-86	288.8
NZ_ATCL01000015.1_16119_16544_+	COG0080		2.1e-75	249.4
NZ_ATCL01000015.1_16577_17329_+	COG0081		2.7e-118	391.6
NZ_ATCL01000020.1_459000_460160_+	COG0082		8.7e-151	500.0
NZ_ATCL01000010.1_19247_20014_-	COG0084		1.9e-115	382.4
NZ_ATCL01000015.1_19387_22944_+	COG0085		0	1825.9
NZ_ATCL01000015.1_22967_26566_+	COG0086		0	2210.7
NZ_ATCL01000015.1_32659_33285_+	COG0087		4.8e-98	325.4
NZ_ATCL01000015.1_33314_33937_+	COG0088		1.7e-102	339.5
NZ_ATCL01000015.1_33937_34218_+	COG0089		7e-45	149.8
NZ_ATCL01000015.1_34253_35083_+	COG0090		7.6e-136	449.2
NZ_ATCL01000015.1_35446_35778_+	COG0091		5.2e-61	203.5
NZ_ATCL01000015.1_35792_36451_+	COG0092		3.6e-109	361.7
NZ_ATCL01000015.1_37449_37817_+	COG0093		7.5e-60	197.7
NZ_ATCL01000015.1_38196_38735_+	COG0094		2.1e-98	326.1
NZ_ATCL01000017.1_69421_70410_-	COG0095		3.3e-129	429.8
NZ_ATCL01000014.1_170350_171180_-	COG0095		4.4e-86	287.3
NZ_ATCL01000014.1_175276_176124_-	COG0095		7.3e-52	174.2
NZ_ATCL01000015.1_39057_39455_+	COG0096		6.1e-59	195.0
NZ_ATCL01000015.1_39489_40028_+	COG0097		3.5e-84	278.5
NZ_ATCL01000015.1_40446_40946_+	COG0098		9.3e-90	298.0
NZ_ATCL01000015.1_44880_45245_+	COG0099		1.9e-57	190.6
NZ_ATCL01000015.1_45262_45657_+	COG0100		1e-66	220.6
NZ_ATCL01000015.1_49617_50357_+	COG0101		9.9e-111	367.5
NZ_ATCL01000015.1_50512_50949_+	COG0102		6.9e-79	261.5
NZ_ATCL01000015.1_50975_51367_+	COG0103		2.3e-72	240.4
NZ_ATCL01000022.1_28461_29750_+	COG0104		2.1e-202	670.1
NZ_ATCL01000020.1_457676_458092_+	COG0105		3e-71	237.6
NZ_ATCL01000020.1_514997_515710_+	COG0106		1.6e-84	280.5
NZ_ATCL01000020.1_515703_516470_+	COG0107		7.1e-131	434.7
NZ_ATCL01000020.1_275337_276263_+	COG0109		1.2e-109	364.8
NZ_ATCL01000020.1_518113_518667_+	COG0110		5.2e-65	216.8
NZ_ATCL01000014.1_352758_353315_+	COG0110		3.8e-54	181.1
NZ_ATCL01000014.1_399394_399909_+	COG0110		4.8e-42	141.3
NZ_ATCL01000009.1_36250_36732_+	COG0110		3.3e-34	115.7
NZ_ATCL01000009.1_279257_280420_+	COG0111		2.1e-100	334.0
NZ_ATCL01000014.1_467886_468791_+	COG0111		8.7e-92	305.6
NZ_ATCL01000014.1_237846_239099_+	COG0112		8.3e-252	834.5
NZ_ATCL01000020.1_105648_106628_+	COG0113		2.7e-157	520.6
NZ_ATCL01000020.1_558032_559432_+	COG0114		5.7e-226	747.9
NZ_ATCL01000003.1_48344_49270_+	COG0115		1e-102	341.5
NZ_ATCL01000023.1_8969_9799_+	COG0115		1.4e-75	252.0
NZ_ATCL01000020.1_743510_744676_-	COG0116		1.1e-152	506.9
NZ_ATCL01000020.1_514432_515019_+	COG0118		2e-89	297.8
NZ_ATCL01000022.1_64642_65541_+	COG0122		1.5e-87	291.8
NZ_ATCL01000009.1_199368_200303_-	COG0123		1.3e-64	215.9
NZ_ATCL01000020.1_166256_167536_+	COG0124		1e-168	559.0
NZ_ATCL01000010.1_27116_27754_-	COG0125		2.3e-98	327.8
NZ_ATCL01000009.1_48593_49792_+	COG0126		5.5e-192	635.9
NZ_ATCL01000020.1_92807_93397_+	COG0127		4.7e-93	309.6
NZ_ATCL01000020.1_461202_462452_+	COG0128		1.4e-151	503.4
NZ_ATCL01000020.1_417797_418705_+	COG0130		8e-115	381.7
NZ_ATCL01000020.1_513848_514435_+	COG0131		2.9e-99	330.0
NZ_ATCL01000014.1_130007_131188_+	COG0133		4.9e-226	748.7
NZ_ATCL01000014.1_128716_129477_+	COG0134		1.9e-105	351.3
NZ_ATCL01000014.1_129453_130025_+	COG0135		3.7e-62	207.2
NZ_ATCL01000003.1_44977_45972_+	COG0136		1.9e-141	468.9
NZ_ATCL01000020.1_778748_779980_+	COG0137		2.4e-189	627.2
NZ_ATCL01000003.1_10492_12012_+	COG0138		1.9e-258	856.5
NZ_ATCL01000020.1_516419_516751_+	COG0139		4.5e-59	197.7
NZ_ATCL01000020.1_516748_517056_+	COG0140		2.1e-44	149.8
NZ_ATCL01000020.1_511634_512851_+	COG0141		1.4e-164	546.0
NZ_ATCL01000020.1_456622_457584_+	COG0142		4.8e-101	335.9
NZ_ATCL01000020.1_925093_925971_-	COG0142		4.5e-92	306.4
NZ_ATCL01000010.1_20068_22029_-	COG0143		1.2e-270	897.2
NZ_ATCL01000020.1_333796_335124_+	COG0144		1.1e-151	504.2
NZ_ATCL01000014.1_541359_542801_-	COG0147		2.1e-184	612.6
NZ_ATCL01000023.1_7049_8404_+	COG0147		1.7e-177	589.8
NZ_ATCL01000009.1_52140_53432_+	COG0148		2.4e-232	768.5
NZ_ATCL01000009.1_49811_50563_+	COG0149		1.4e-128	426.9
NZ_ATCL01000003.1_8886_9920_+	COG0150		2.4e-171	568.3
NZ_ATCL01000003.1_12026_13279_+	COG0151		3.1e-196	651.1
NZ_ATCL01000003.1_3665_4369_+	COG0152		1.8e-106	354.5
NZ_ATCL01000014.1_413694_414878_+	COG0153		1.8e-168	558.2
NZ_ATCL01000014.1_627754_629196_+	COG0154		3.2e-213	707.7
NZ_ATCL01000020.1_763388_764860_-	COG0154		1e-125	417.8
NZ_ATCL01000020.1_837823_839004_-	COG0156		1.7e-183	608.6
NZ_ATCL01000020.1_148760_149629_+	COG0157		4.9e-113	374.8
NZ_ATCL01000014.1_131185_131964_+	COG0159		3.1e-87	289.4
NZ_ATCL01000009.1_206455_207849_+	COG0162		1e-156	519.4
NZ_ATCL01000020.1_362853_363605_+	COG0164		1.2e-86	288.2
NZ_ATCL01000020.1_779973_781355_+	COG0165		2.8e-218	723.6
NZ_ATCL01000009.1_156010_157413_+	COG0166		1.2e-138	460.6
NZ_ATCL01000020.1_321666_322592_+	COG0167		1.9e-117	390.0
NZ_ATCL01000022.1_283709_285088_+	COG0168		2.2e-108	360.2
NZ_ATCL01000003.1_17996_19378_+	COG0168		2.9e-94	313.7
NZ_ATCL01000017.1_12695_13480_-	COG0169		8.8e-84	280.0
NZ_ATCL01000022.1_290506_291156_+	COG0170		8.9e-53	177.0
NZ_ATCL01000020.1_237279_238094_+	COG0171		1.9e-74	248.3
NZ_ATCL01000019.1_248_1531_-	COG0172		2e-205	679.9
NZ_ATCL01000020.1_167533_169305_+	COG0173		7.6e-290	960.6
NZ_ATCL01000020.1_824066_825406_-	COG0174		7e-196	648.8
NZ_ATCL01000020.1_722777_724072_-	COG0174		5.9e-147	487.3
NZ_ATCL01000020.1_45084_45971_-	COG0175		3.3e-12	42.4
NZ_ATCL01000014.1_223662_224312_+	COG0176		4.4e-99	330.3
NZ_ATCL01000020.1_483013_483675_+	COG0177		3.3e-103	342.2
NZ_ATCL01000009.1_28750_31623_+	COG0178		0	1746.6
NZ_ATCL01000020.1_537929_538747_+	COG0179		2.7e-106	353.8
NZ_ATCL01000020.1_201431_202618_-	COG0180		1.7e-147	489.5
NZ_ATCL01000020.1_104076_104993_+	COG0181		3.2e-138	458.3
NZ_ATCL01000014.1_145528_146562_+	COG0182		1.3e-135	449.6
NZ_ATCL01000009.1_91193_92365_+	COG0183		5.7e-161	534.3
NZ_ATCL01000020.1_419616_420041_+	COG0184		4e-48	161.4
NZ_ATCL01000015.1_35150_35425_+	COG0185		2.8e-46	154.5
NZ_ATCL01000015.1_37145_37405_+	COG0186		2.1e-48	163.2
NZ_ATCL01000022.1_3933_5861_-	COG0187		0	1024.8
NZ_ATCL01000020.1_698626_700617_-	COG0187		1.2e-283	939.5
NZ_ATCL01000022.1_1340_3910_-	COG0188		0	1248.0
NZ_ATCL01000020.1_696218_698623_-	COG0188		2.8e-283	939.7
NZ_ATCL01000020.1_283810_284565_-	COG0189		4e-47	158.3
NZ_ATCL01000014.1_134199_135134_+	COG0189		1.8e-41	139.5
NZ_ATCL01000020.1_927509_928345_-	COG0190		1.1e-139	462.5
NZ_ATCL01000014.1_221800_222654_+	COG0191		8e-127	421.1
NZ_ATCL01000009.1_160800_162104_+	COG0192		2.2e-220	729.6
NZ_ATCL01000010.1_10738_11295_-	COG0193		2.6e-83	276.5
NZ_ATCL01000020.1_327970_328617_+	COG0194		5.9e-112	372.5
NZ_ATCL01000020.1_413389_414555_+	COG0195		1.5e-159	529.6
NZ_ATCL01000020.1_418721_419647_+	COG0196		2.2e-128	426.2
NZ_ATCL01000015.1_36484_36921_+	COG0197		2.1e-71	235.6
NZ_ATCL01000015.1_37855_38163_+	COG0198		1.7e-52	175.3
NZ_ATCL01000015.1_38756_39025_+	COG0199		6.8e-46	153.9
NZ_ATCL01000015.1_41179_41619_+	COG0200		2e-73	243.9
NZ_ATCL01000015.1_41619_42908_+	COG0201		2.1e-176	585.2
NZ_ATCL01000015.1_45720_46694_+	COG0202		2e-160	532.4
NZ_ATCL01000015.1_46719_47072_+	COG0203		7.3e-59	196.3
NZ_ATCL01000021.1_62747_63448_+	COG0204		4.6e-62	207.5
NZ_ATCL01000020.1_449405_450028_+	COG0204		3e-59	198.1
NZ_ATCL01000017.1_37516_38214_+	COG0204		4.1e-18	62.8
NZ_ATCL01000009.1_231790_232767_+	COG0205		3.3e-146	484.7
NZ_ATCL01000020.1_303135_304280_+	COG0206		6.4e-169	559.9
NZ_ATCL01000020.1_561580_562374_-	COG0207		3.9e-148	490.6
NZ_ATCL01000009.1_144456_145496_-	COG0208		1.3e-98	327.7
NZ_ATCL01000009.1_145989_148388_-	COG0209		1e-209	695.7
NZ_ATCL01000003.1_20437_22653_+	COG0210		9.1e-292	968.2
NZ_ATCL01000020.1_140607_140888_+	COG0211		1.5e-48	162.3
NZ_ATCL01000009.1_356481_357035_+	COG0212		1.7e-65	218.4
NZ_ATCL01000020.1_861459_862760_-	COG0213		7.4e-198	655.9
NZ_ATCL01000019.1_3722_4612_-	COG0214		1e-152	505.0
