	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCA_015523125.1_WAKX01000001.1_1	GCA_015523125.1	WAKX01000001.1	1	3	1187	-1	D										PQQ-like domain [PF13360.9]					0
GCA_015523125.1_WAKX01000001.1_2	GCA_015523125.1	WAKX01000001.1	2	1373	2389	1	C	K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]								tRNA synthetases class I (W and Y) [PF00579.28]					0
GCA_015523125.1_WAKX01000001.1_3	GCA_015523125.1	WAKX01000001.1	3	2386	3315	1	C	K00809	deoxyhypusine synthase [EC:2.5.1.46]								Deoxyhypusine synthase [PF01916.20]					0
GCA_015523125.1_WAKX01000001.1_4	GCA_015523125.1	WAKX01000001.1	4	3343	4755	-1	D			MER0138243	M18	MER0138243 - apeA putative peptidase (Aciduliprofundum boonei) [M18.004]#M18#{peptidase unit: 37-468}~source YP_002578450~	True	0.84	751.0	1.608e-242	Aminopeptidase I zinc metalloprotease (M18) [PF02127.18]					0
GCA_015523125.1_WAKX01000001.1_5	GCA_015523125.1	WAKX01000001.1	5	4761	5585	-1	C	K06990	MEMO1 family protein								Memo-like protein [PF01875.20]					0
GCA_015523125.1_WAKX01000001.1_6	GCA_015523125.1	WAKX01000001.1	6	5582	6178	-1	D										Ribosomal protein S2 [PF00318.23]					0
GCA_015523125.1_WAKX01000001.1_7	GCA_015523125.1	WAKX01000001.1	7	6180	7385	-1	C	K01689	enolase [EC:4.2.1.11]								Enolase, C-terminal TIM barrel domain [PF00113.25]; Enolase, N-terminal domain [PF03952.19]					0
GCA_015523125.1_WAKX01000002.1_1	GCA_015523125.1	WAKX01000002.1	1	1	519	-1	D										ERCC4 domain [PF02732.18]					0
GCA_015523125.1_WAKX01000002.1_2	GCA_015523125.1	WAKX01000002.1	2	542	1381	-1	D			MER0626638	C110	MER0626638 - family C110 unassigned peptidases (Paenibacillus ehimensis) [C110.UPW]#C110#{peptidase unit: 135-237}~source WP_025848316~	False	0.538	60.0	1.77e-08	Transglutaminase-like superfamily [PF01841.22]					0
GCA_015523125.1_WAKX01000002.1_3	GCA_015523125.1	WAKX01000002.1	3	1423	2520	-1	C	K06944	developmentally-regulated GTP-binding protein [EC:3.6.5.-]								C-terminal region of MMR_HSR1 domain [PF16897.8]; 50S ribosome-binding GTPase [PF01926.26]; Ferrous iron transport protein B [PF02421.21]; TGS domain [PF02824.24]; RsgA GTPase [PF03193.19]; MnmE helical domain [PF12631.10]					0
GCA_015523125.1_WAKX01000002.1_4	GCA_015523125.1	WAKX01000002.1	4	2555	3352	-1	E															0
GCA_015523125.1_WAKX01000002.1_5	GCA_015523125.1	WAKX01000002.1	5	3424	5430	-1	E															0
