	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000770.1_1	QGNH01000770.1	QGNH01000770.1	1	1	1086	1	E											0	False	F
QGNH01000770.1_2	QGNH01000770.1	QGNH01000770.1	2	1440	1805	1	E											0	False	F
QGNH01000770.1_3	QGNH01000770.1	QGNH01000770.1	3	1935	2558	1	E											0	False	F
QGNH01000770.1_4	QGNH01000770.1	QGNH01000770.1	4	2618	3190	1	E											0	False	F
QGNH01000770.1_5	QGNH01000770.1	QGNH01000770.1	5	3245	4105	1	E											0	False	F
QGNH01000770.1_6	QGNH01000770.1	QGNH01000770.1	6	4260	7736	1	E											0	False	F
QGNH01000770.1_7	QGNH01000770.1	QGNH01000770.1	7	7829	8071	1	E											0	False	
QGNH01000770.1_8	QGNH01000770.1	QGNH01000770.1	8	8150	8875	1	E											0	False	
QGNH01000770.1_9	QGNH01000770.1	QGNH01000770.1	9	9115	9453	1	E											0	False	
QGNH01000770.1_10	QGNH01000770.1	QGNH01000770.1	10	9550	11772	1	E											0	False	
QGNH01000770.1_11	QGNH01000770.1	QGNH01000770.1	11	11848	12105	1	E											0	False	
QGNH01000770.1_12	QGNH01000770.1	QGNH01000770.1	12	12215	14032	1	D	YP_004421530.1	YP_004421530.1 terminase large subunit [Synechococcus phage S-CBS2]	False	258.0	2.068e-71	0.356	Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	1	False	V
QGNH01000770.1_13	QGNH01000770.1	QGNH01000770.1	13	14056	14436	-1	E											0	False	
QGNH01000770.1_14	QGNH01000770.1	QGNH01000770.1	14	15367	16263	1	E											0	False	
QGNH01000770.1_15	QGNH01000770.1	QGNH01000770.1	15	16375	17766	1	D							ApeA N-terminal domain 1 [PF18862.4]				0	False	F
QGNH01000770.1_16	QGNH01000770.1	QGNH01000770.1	16	17741	18196	-1	E											0	False	F
QGNH01000770.1_17	QGNH01000770.1	QGNH01000770.1	17	18563	18991	-1	E											0	False	F
QGNH01000770.1_18	QGNH01000770.1	QGNH01000770.1	18	19037	19513	-1	E											0	False	F
QGNH01000770.1_19	QGNH01000770.1	QGNH01000770.1	19	19488	19655	-1	E											0	False	F
QGNH01000770.1_20	QGNH01000770.1	QGNH01000770.1	20	19663	19905	-1	E											0	False	F
QGNH01000770.1_21	QGNH01000770.1	QGNH01000770.1	21	21036	21590	-1	E											0	False	F
