target	query	e-value	score	length	start	end
CP001157.1_4736247_4737527_-	COG0001	7.3e-85	281.3	426	20	425
CP001157.1_3525102_3526322_-	COG0001	4.1e-75	248.1	406	25	403
CP001157.1_4943404_4944777_-	COG0001	2.7e-52	67.9	457	27	137
CP001157.1_4943404_4944777_-	COG0001	2.7e-52	108.5	457	215	452
CP001157.1_4477614_4478816_-	COG0001	9.6e-09	27.4	391	251	380
CP001157.1_4480623_4481840_-	COG0001	1.2e-07	26.9	405	73	230
CP001157.1_4682057_4683091_-	COG0002	6.7e-152	502.4	344	1	344
CP001157.1_3497646_3498752_-	COG0002	1.2e-13	40.1	336	4	103
CP001157.1_3586118_3586933_+	COG0003	2.9e-14	45.3	271	5	88
CP001157.1_4577517_4578287_-	COG0003	7.1e-13	37.3	256	1	42
CP001157.1_3667177_3667815_-	COG0003	2e-08	26.0	212	9	42
CP001157.1_3711139_3711918_-	COG0003	2.5e-07	25.9	233	72	108
CP001157.1_5028656_5029435_+	COG0003	2.8e-07	25.7	259	98	134
CP001157.1_4846081_4847397_-	COG0004	8e-179	592.2	438	12	437
CP001157.1_4807301_4808635_-	COG0006	1.1e-122	407.0	444	4	438
CP001157.1_3946593_3947375_+	COG0006	1.9e-49	165.1	260	5	250
CP001157.1_4297587_4298483_+	COG0008	2.6e-101	336.7	298	8	276
CP001157.1_5114206_5116512_-	COG0009	5.5e-14	45.5	768	197	396
CP001157.1_4189118_4190218_+	COG0012	2e-180	596.3	366	1	365
CP001157.1_4114839_4116056_-	COG0012	1.5e-20	65.7	405	159	276
CP001157.1_4077031_4078506_-	COG0012	6.9e-15	29.7	491	5	46
CP001157.1_4822997_4824844_-	COG0012	5.3e-09	31.2	615	4	45
CP001157.1_3519549_3522173_-	COG0013	0	1321.1	874	1	872
CP001157.1_4867494_4868987_-	COG0014	2.8e-13	39.1	497	156	456
CP001157.1_3864073_3865425_-	COG0015	1.1e-155	515.7	450	2	447
CP001157.1_3557460_3559115_+	COG0015	2.9e-37	124.4	551	216	546
CP001157.1_4835701_4837230_+	COG0015	4.6e-37	124.2	509	81	498
CP001157.1_4991267_4992865_+	COG0015	7e-24	80.4	532	112	390
CP001157.1_3732343_3734184_-	COG0017	3.7e-81	193.8	591	1	269
CP001157.1_3732343_3734184_-	COG0017	3.7e-81	74.1	591	470	561
CP001157.1_3988146_3989648_-	COG0017	6.5e-56	186.2	500	68	497
CP001157.1_4605050_4606846_+	COG0018	3.2e-198	656.6	598	18	598
