locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
LC208019.1_1_930_+												Hypothetical
LC208019.1_930_1121_+												Hypothetical
LC208019.1_1209_1928_+												Hypothetical
LC208019.1_1930_2718_+		K04771	COG0265		phrog_9683	VOG02002	COG:COG0265	262	2.1e-27	87.2		DegQ; 
LC208019.1_2913_3377_+												Hypothetical
LC208019.1_3361_4314_+												Hypothetical
LC208019.1_4311_5393_+												Hypothetical
LC208019.1_5390_5584_+												Hypothetical
LC208019.1_5600_5932_+												Hypothetical
LC208019.1_6057_6284_+												Hypothetical
LC208019.1_6427_6669_+												Hypothetical
LC208019.1_7020_7616_+												Hypothetical
LC208019.1_7784_8275_+												Hypothetical
LC208019.1_8431_8712_+												Hypothetical
LC208019.1_8840_9358_+												Hypothetical
LC208019.1_9388_9654_+												Hypothetical
LC208019.1_9651_9995_+												Hypothetical
LC208019.1_10003_10347_+												Hypothetical
LC208019.1_10358_10780_+		K23255	COG3430				KEGG:K23255	140	8.2e-11	33.3		pilA; archaeal type IV pilus assembly protein PilA
LC208019.1_10783_11352_+					phrog_9634	VOG37040	PHROG:phrog_9634	189	1.7e-63	204.6		nuclease
LC208019.1_11363_11575_+		K07722	COG0864		phrog_7325		PHROG:phrog_7325	70	1.1e-20	64.8		CopG-like transcriptional repressor
LC208019.1_11617_11949_+												Hypothetical
LC208019.1_12010_12450_-												Hypothetical
LC208019.1_12493_13512_+			COG4342		phrog_5127	VOG36908	PHROG:phrog_5127	339	4e-103	336.3		integrase
LC208019.1_13710_14639_-												Hypothetical
LC208019.1_14642_14965_-												Hypothetical
LC208019.1_14967_15302_-												Hypothetical
LC208019.1_15377_15673_-												Hypothetical
LC208019.1_15819_16040_+												Hypothetical
LC208019.1_16043_16180_+												Hypothetical
LC208019.1_16214_16357_+												Hypothetical
LC208019.1_16407_17399_-												Hypothetical
LC208019.1_17421_18068_-												Hypothetical
