target	query	e-value	score	length	start	end
NZ_ASHR01000014.1_198826_199194_+	phrog_10071	6.9e-15	48.7	122	77	121
NZ_ASHR01000014.1_262915_263163_-	phrog_10071	5.3e-14	45.7	82	28	72
NZ_ASHR01000014.1_232640_233224_+	phrog_10255	1.2e-07	25.4	194	10	97
NZ_ASHR01000014.1_94512_95177_+	phrog_10724	2.3e-09	30.8	221	8	76
NZ_ASHR01000014.1_33826_35400_+	phrog_10912	1.1e-55	182.9	524	33	522
NZ_ASHR01000014.1_12846_14357_+	phrog_10912	1.4e-48	158.7	503	263	489
NZ_ASHR01000014.1_290561_291760_-	phrog_10912	1.9e-32	106.5	399	167	396
NZ_ASHR01000014.1_261334_262842_+	phrog_10912	1.9e-24	79.0	502	185	494
NZ_ASHR01000014.1_49972_51246_+	phrog_11129	6e-97	40.2	424	2	59
NZ_ASHR01000014.1_49972_51246_+	phrog_11129	6e-97	283.7	424	67	407
NZ_ASHR01000014.1_23087_24196_+	phrog_11145	9.7e-10	31.0	369	94	326
NZ_ASHR01000014.1_278645_280432_+	phrog_11199	2.4e-164	541.8	595	18	577
NZ_ASHR01000014.1_24259_25680_+	phrog_11528	1.2e-85	281.0	473	19	333
NZ_ASHR01000014.1_299804_300754_-	phrog_11528	2.4e-67	221.2	316	12	315
NZ_ASHR01000014.1_254507_255739_+	phrog_11528	4.9e-21	68.8	410	23	296
NZ_ASHR01000014.1_82967_83356_+	phrog_11671	2.3e-21	70.3	129	2	110
NZ_ASHR01000014.1_84257_84700_+	phrog_11671	4.8e-11	36.8	147	2	110
NZ_ASHR01000014.1_218356_219483_+	phrog_11787	2e-78	258.0	375	8	374
NZ_ASHR01000014.1_158266_159528_+	phrog_11787	9e-58	64.8	420	7	179
NZ_ASHR01000014.1_158266_159528_+	phrog_11787	9e-58	123.5	420	187	420
NZ_ASHR01000014.1_256790_257644_+	phrog_11796	3.7e-11	35.3	284	1	160
NZ_ASHR01000014.1_46404_49301_+	phrog_11838	3e-15	27.3	965	308	460
NZ_ASHR01000014.1_212749_213240_-	phrog_11961	1.4e-09	31.9	163	46	123
NZ_ASHR01000014.1_262915_263163_-	phrog_12112	6.2e-18	59.7	82	1	75
NZ_ASHR01000014.1_198826_199194_+	phrog_12112	1.2e-13	45.5	122	51	117
NZ_ASHR01000014.1_110048_111943_-	phrog_12316	5e-87	169.6	631	82	398
NZ_ASHR01000014.1_110048_111943_-	phrog_12316	5e-87	118.1	631	425	584
NZ_ASHR01000014.1_72567_74270_+	phrog_1271	5.1e-08	26.4	567	372	437
NZ_ASHR01000014.1_38491_42429_-	phrog_13094	1.1e-22	36.0	1304	1008	1123
NZ_ASHR01000014.1_38491_42429_-	phrog_13094	1.1e-22	46.3	1304	1108	1263
