	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_028665_1	NC_028665	NC_028665	1	65	625	1	E			YP_009188369.1	YP_009188369.1 Rnase E [Gordonia phage GTE6]	True	0.917	359	1.007e-112									VOG08463	REFSEQ Rnase E; Xu	Xu	0	False	F
NC_028665_2	NC_028665	NC_028665	2	622	2220	1	D			YP_009188370.1	YP_009188370.1 terminase large subunit [Gordonia phage GTE6]	True	0.972	1092	0.0								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
NC_028665_3	NC_028665	NC_028665	3	2277	2726	1	E			YP_009188371.1	YP_009188371.1 hypothetical protein AU100_gp03 [Gordonia phage GTE6]	False	0.994	315	2.809e-98									VOG28904	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_4	NC_028665	NC_028665	4	2726	2923	1	E			YP_009188372.1	YP_009188372.1 hypothetical protein AU100_gp04 [Gordonia phage GTE6]	False	0.867	119	5.723000000000001e-32									VOG28906	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_5	NC_028665	NC_028665	5	2923	3546	1	E			YP_009188373.1	YP_009188373.1 hypothetical protein AU100_gp05 [Gordonia phage GTE6]	True	0.961	421	1.159e-133									VOG01888	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_6	NC_028665	NC_028665	6	3543	3758	1	E			YP_009188374.1	YP_009188374.1 hypothetical protein AU100_gp06 [Gordonia phage GTE6]	False	1.0	162	1.083e-46									VOG06410	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_7	NC_028665	NC_028665	7	3774	3965	1	E			YP_009188375.1	YP_009188375.1 hypothetical protein AU100_gp07 [Gordonia phage GTE6]	False	1.0	137	3.321e-38									VOG04059	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_8	NC_028665	NC_028665	8	3969	4424	1	E			YP_009188376.1	YP_009188376.1 hypothetical protein AU100_gp08 [Gordonia phage GTE6]	False	1.0	327	1.7400000000000001e-102									VOG19078	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_9	NC_028665	NC_028665	9	4474	4629	1	E			YP_009188377.1	YP_009188377.1 hypothetical protein AU100_gp09 [Gordonia phage GTE6]	False	0.932	102	3.21e-26									VOG19079	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_10	NC_028665	NC_028665	10	4626	4880	1	E			YP_009188378.1	YP_009188378.1 hypothetical protein AU100_gp10 [Gordonia phage GTE6]	False	0.906	161	3.905e-46									VOG10480	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_028665_11	NC_028665	NC_028665	11	4914	5237	1	E			YP_010001473.1	YP_010001473.1 hypothetical protein J1598_gp11 [Gordonia phage Tiamoceli]	False	1.0	231	5.995e-70												0	False	F
NC_028665_12	NC_028665	NC_028665	12	5362	5802	1	D			YP_009188380.1	YP_009188380.1 lipoprotein [Gordonia phage GTE6]	False	0.886	271	4.023e-83								Host cell surface-exposed lipoprotein [PF07553.14]	VOG04495	REFSEQ superinfection exclusion; Xu	Xu	0	False	
NC_028665_13	NC_028665	NC_028665	13	5949	6287	1	D			YP_009188381.1	YP_009188381.1 hypothetical protein AU100_gp13 [Gordonia phage GTE6]	False	0.964	229	2.71e-69								Protein of unknown function (DUF1360) [PF07098.14]				0	False	
NC_028665_14	NC_028665	NC_028665	14	6302	7978	1	E			YP_009188382.1	YP_009188382.1 portal protein [Gordonia phage GTE6]	True	0.943	1106	0.0									VOG03866	REFSEQ portal protein; Xu	Xu	0	False	
NC_028665_15	NC_028665	NC_028665	15	7975	8361	1	E			YP_009188383.1	YP_009188383.1 hypothetical protein AU100_gp15 [Gordonia phage GTE6]	False	0.998	272	9e-84												0	False	
NC_028665_16	NC_028665	NC_028665	16	8361	10763	1	D			YP_009188384.1	YP_009188384.1 head morphogenesis [Gordonia phage GTE6]	True	0.94	1577	0.0								Phage Mu protein F like protein [PF04233.17]	VOG01048	sp|Q38442|GP7_BPSPP Minor head protein GP7; XhXs	Xs;Xh	0	False	V
NC_028665_17	NC_028665	NC_028665	17	10760	10981	1	E			YP_009188385.1	YP_009188385.1 hypothetical protein AU100_gp17 [Gordonia phage GTE6]	False	0.88	136	1.422e-37									VOG00140	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_18	NC_028665	NC_028665	18	11027	13879	1	D			YP_009188386.1	YP_009188386.1 head maturation protease [Gordonia phage GTE6]	True	0.937	1867	0.0								2'-5' RNA ligase superfamily [PF13563.9]	VOG00761	sp|A0A868BQY3|ACB1_BPFBB Anti-CBASS protein Acb1; Xu	Xu	0	False	
NC_028665_19	NC_028665	NC_028665	19	14009	14155	1	E			YP_010001482.1	YP_010001482.1 hypothetical protein J1598_gp20 [Gordonia phage Tiamoceli]	False	0.984	102	2.745e-26									VOG01005	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_20	NC_028665	NC_028665	20	14261	16150	1	E			YP_009188388.1	YP_009188388.1 major head protein [Gordonia phage GTE6]	True	0.918	1209	0.0									VOG08450	REFSEQ major head protein; Xu	Xu	0	False	
NC_028665_21	NC_028665	NC_028665	21	16242	17072	1	E			YP_009188389.1	YP_009188389.1 hypothetical protein AU100_gp21 [Gordonia phage GTE6]	True	0.954	556	4.424e-179									VOG04109	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_22	NC_028665	NC_028665	22	17086	17577	1	E			YP_009188390.1	YP_009188390.1 hypothetical protein AU100_gp22 [Gordonia phage GTE6]	False	0.887	303	7.107999999999999e-94									VOG19080	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_23	NC_028665	NC_028665	23	17681	18376	1	E			YP_010001486.1	YP_010001486.1 major tail protein [Gordonia phage Tiamoceli]	True	0.991	486	9.1e-156									VOG08452	REFSEQ major tail protein; Xu	Xu	0	False	
NC_028665_24	NC_028665	NC_028665	24	18480	19277	1	E			YP_009188392.1	YP_009188392.1 head-tail adaptor [Gordonia phage GTE6]	True	0.996	560	8.21e-181									VOG08454	REFSEQ head-tail adaptor; Xu	Xu	0	False	
NC_028665_25	NC_028665	NC_028665	25	19274	19837	1	E			YP_009188393.1	YP_009188393.1 hypothetical protein AU100_gp25 [Gordonia phage GTE6]	True	0.955	377	3.839e-119									VOG02652	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_26	NC_028665	NC_028665	26	19842	20135	1	E			YP_009188394.1	YP_009188394.1 hypothetical protein AU100_gp26 [Gordonia phage GTE6]	False	0.895	183	1.4999999999999999e-53												0	False	
NC_028665_27	NC_028665	NC_028665	27	20119	20550	1	D			YP_009188395.1	YP_009188395.1 hypothetical protein AU100_gp27 [Gordonia phage GTE6]	False	0.972	295	2.067e-91								Bacteriophage HK97-gp10, putative tail-component [PF04883.15]	VOG00648	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_28	NC_028665	NC_028665	28	20594	21208	1	E			YP_009188396.1	YP_009188396.1 hypothetical protein AU100_gp28 [Gordonia phage GTE6]	True	0.946	407	4.569e-129									VOG19081	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
NC_028665_29	NC_028665	NC_028665	29	21222	21899	1	E			YP_009188397.1	YP_009188397.1 hypothetical protein AU100_gp29 [Gordonia phage GTE6]	True	0.965	459	1.0269999999999998e-146									VOG19082	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_028665_30	NC_028665	NC_028665	30	21946	27066	1	D			YP_009188398.1	YP_009188398.1 tail length tape measure protein [Gordonia phage GTE6]	True	0.903	3213	0.0	MER0092407	C40	MER0092407 - family C40 non-peptidase homologues (Mycobacterium gilvum) [C40.UNW]#C40#{peptidase unit: 16-118}~source ABP45749~	False	66.0	5.512e-09	0.355	Transglycosylase-like domain [PF06737.17]	VOG01475	REFSEQ tail length tape measure protein; Xu	Xu	0	False	P
NC_028665_31	NC_028665	NC_028665	31	27069	28046	1	E			YP_009188399.1	YP_009188399.1 hypothetical protein AU100_gp31 [Gordonia phage GTE6]	True	1.0	708	6.424999999999998e-231												0	False	
