	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001252.1_1	QGNH01001252.1	QGNH01001252.1	1	3	1214	-1	E																								0	False	F
QGNH01001252.1_2	QGNH01001252.1	QGNH01001252.1	2	1343	1990	-1	E																								0	False	F
QGNH01001252.1_3	QGNH01001252.1	QGNH01001252.1	3	2022	4007	-1	E			YP_003084218.1	YP_003084218.1 virion structural protein [Cyanophage PSS2]	False	0.469	114.0	2.034e-24																0	False	F
QGNH01001252.1_4	QGNH01001252.1	QGNH01001252.1	4	3965	4891	-1	E																								0	False	F
QGNH01001252.1_5	QGNH01001252.1	QGNH01001252.1	5	5046	5717	-1	E																								0	False	
QGNH01001252.1_6	QGNH01001252.1	QGNH01001252.1	6	5783	6862	-1	E																					VOG01699	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001252.1_7	QGNH01001252.1	QGNH01001252.1	7	7009	7629	1	E																								0	False	
QGNH01001252.1_8	QGNH01001252.1	QGNH01001252.1	8	7641	8132	1	E																								0	False	
QGNH01001252.1_9	QGNH01001252.1	QGNH01001252.1	9	8154	8849	1	E																								0	False	
QGNH01001252.1_10	QGNH01001252.1	QGNH01001252.1	10	8846	9406	-1	E			YP_010671142.1	YP_010671142.1 hypothetical protein PQC16_gp284 [Rhizobium phage RHph_TM30]	False	0.334	77.0	3.588e-15													VOG33546	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01001252.1_11	QGNH01001252.1	QGNH01001252.1	11	9552	10643	-1	D																AAA domain [PF13671.9]					VOG00375	sp|P06855|KIPN_BPT4 Polynucleotide kinase; XhXp	Xh;Xp	0	False	
QGNH01001252.1_12	QGNH01001252.1	QGNH01001252.1	12	10755	11279	1	D			YP_009198662.1	YP_009198662.1 endonuclease VII [Klebsiella phage K5]	False	0.505	95.0	2.007e-21								Recombination endonuclease VII [PF02945.18]								0	False	
QGNH01001252.1_13	QGNH01001252.1	QGNH01001252.1	13	11366	12910	-1	D			YP_010678934.1	YP_010678934.1 terminase large subunit [Pseudomonas phage vB_PaeM_PA5oct]	False	0.405	359.0	8.095e-107								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]					VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	False	V
QGNH01001252.1_14	QGNH01001252.1	QGNH01001252.1	14	12944	13405	-1	E																								0	False	
QGNH01001252.1_15	QGNH01001252.1	QGNH01001252.1	15	13402	13845	-1	D			YP_009213520.1	YP_009213520.1 head closure [Prochlorococcus phage P-TIM68]	False	0.521	142.0	2.826e-38								TnsA-like endonuclease N terminal [PF08722.14]; Phage endonuclease I [PF05367.14]					VOG00809	REFSEQ endonuclease; Xu	Xu	0	False	
QGNH01001252.1_16	QGNH01001252.1	QGNH01001252.1	16	13845	14417	-1	E																								0	False	
QGNH01001252.1_17	QGNH01001252.1	QGNH01001252.1	17	14500	15693	-1	E																								0	False	
QGNH01001252.1_18	QGNH01001252.1	QGNH01001252.1	18	15793	16416	-1	E			YP_009611792.1	YP_009611792.1 tail tube protein [Agrobacterium phage Atu_ph07]	False	0.404	126.0	1.652e-31																0	False	
