	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001808.1_1	QGNH01001808.1	QGNH01001808.1	1	2	1468	1	D	YP_009153030.1	YP_009153030.1 hypothetical protein ACQ41_gp04 [Vibrio phage QH]	False	0.181	71.0	1.379e-11	Bacteriophage head to tail connecting protein [PF12236.11]				0	False	F
QGNH01001808.1_2	QGNH01001808.1	QGNH01001808.1	2	1428	1802	1	E											0	False	F
QGNH01001808.1_3	QGNH01001808.1	QGNH01001808.1	3	1803	2357	1	E											0	False	F
QGNH01001808.1_4	QGNH01001808.1	QGNH01001808.1	4	2585	3589	1	E											0	False	F
QGNH01001808.1_5	QGNH01001808.1	QGNH01001808.1	5	3620	4369	1	E											0	False	F
QGNH01001808.1_6	QGNH01001808.1	QGNH01001808.1	6	4639	5571	1	D							Phage capsid protein [PF19821.2]				0	False	F
QGNH01001808.1_7	QGNH01001808.1	QGNH01001808.1	7	5583	6074	1	E											0	False	F
QGNH01001808.1_8	QGNH01001808.1	QGNH01001808.1	8	6107	6640	1	E											0	False	F
QGNH01001808.1_9	QGNH01001808.1	QGNH01001808.1	9	6711	7343	1	E											0	False	F
QGNH01001808.1_10	QGNH01001808.1	QGNH01001808.1	10	7343	9706	1	E	YP_007517711.1	YP_007517711.1 tail protein [Pelagibacter phage HTVC010P]	False	0.183	143.0	4.484e-33					0	False	F
QGNH01001808.1_11	QGNH01001808.1	QGNH01001808.1	11	9703	10110	1	E											0	False	F
QGNH01001808.1_12	QGNH01001808.1	QGNH01001808.1	12	10120	10596	1	E											0	False	F
QGNH01001808.1_13	QGNH01001808.1	QGNH01001808.1	13	10596	10877	1	E											0	False	F
