Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
GCA_000435595.1	2637.0	2051.0	6.0	580.0	1252.0	634.0	577.0	0.0	57.0	2327.0	2154.0	1.0	172.0	2680.0	1920.0	565.0	195.0	1804.0	2615.0	1282.0	1333.0	0.0
GCA_000438355.1	1264.0	969.0	3.0	292.0	614.0	537.0	507.0	1.0	29.0	1149.0	1046.0	3.0	100.0	1335.0	907.0	308.0	120.0	855.0	1255.0	658.0	597.0	0.0
GCA_000996035.1	748.0	541.0	2.0	205.0	309.0	174.0	162.0	0.0	12.0	655.0	597.0	1.0	57.0	784.0	505.0	181.0	98.0	474.0	801.0	381.0	420.0	0.0
GCA_001513185.1	1559.0	1360.0	1.0	198.0	981.0	338.0	296.0	0.0	42.0	1482.0	1429.0	0.0	53.0	1648.0	1315.0	254.0	79.0	1242.0	1625.0	988.0	637.0	0.0
GCA_001820785.1	1249.0	754.0	0.0	495.0	385.0	314.0	277.0	0.0	37.0	927.0	815.0	2.0	110.0	1309.0	698.0	497.0	114.0	664.0	1350.0	531.0	819.0	0.0
GCA_001871015.1	1791.0	1395.0	6.0	390.0	847.0	862.0	820.0	2.0	40.0	1558.0	1473.0	2.0	83.0	1811.0	1304.0	330.0	177.0	1222.0	1739.0	853.0	886.0	0.0
GCA_001914815.1	2713.0	2061.0	4.0	648.0	1144.0	1179.0	1065.0	0.0	114.0	2428.0	2234.0	1.0	193.0	2816.0	1944.0	624.0	248.0	1853.0	2785.0	1262.0	1523.0	0.0
GCA_002290555.1	1748.0	1368.0	3.0	377.0	900.0	524.0	459.0	2.0	63.0	1577.0	1449.0	5.0	123.0	1786.0	1304.0	323.0	159.0	1259.0	1777.0	967.0	810.0	0.0
GCA_002304915.1	1871.0	1403.0	3.0	465.0	841.0	872.0	544.0	2.0	326.0	1670.0	1504.0	2.0	164.0	1922.0	1321.0	417.0	184.0	1269.0	1828.0	899.0	929.0	0.0
GCA_002685115.1	1244.0	1025.0	3.0	216.0	584.0	691.0	663.0	2.0	26.0	1560.0	1406.0	3.0	151.0	2034.0	1132.0	616.0	286.0	1095.0	1154.0	641.0	513.0	0.0
GCA_002689605.1	4993.0	3803.0	10.0	1180.0	2069.0	1239.0	1169.0	3.0	67.0	6432.0	5473.0	18.0	941.0	9739.0	4110.0	3914.0	1715.0	3889.0	5004.0	2512.0	2492.0	0.0
GCA_002689915.1	1990.0	1710.0	6.0	274.0	1080.0	806.0	779.0	2.0	25.0	2169.0	1891.0	4.0	274.0	3162.0	1493.0	1144.0	525.0	1422.0	1942.0	1266.0	676.0	0.0
GCA_002713365.1	2411.0	2212.0	3.0	196.0	1443.0	150.0	150.0	0.0	0.0	2620.0	2544.0	3.0	73.0	2845.0	2330.0	296.0	219.0	2256.0	2427.0	1637.0	790.0	0.0
GCA_002793355.1	946.0	566.0	1.0	379.0	273.0	533.0	457.0	0.0	76.0	789.0	713.0	3.0	73.0	1060.0	577.0	360.0	123.0	544.0	1007.0	363.0	644.0	0.0
GCA_002841275.1	2381.0	1936.0	7.0	438.0	1238.0	285.0	240.0	0.0	45.0	2164.0	2032.0	5.0	127.0	2408.0	1847.0	416.0	145.0	1761.0	2432.0	1298.0	1134.0	0.0
GCA_002899795.1	3532.0	2547.0	9.0	976.0	1530.0	2952.0	2294.0	3.0	655.0	3184.0	2912.0	3.0	269.0	3915.0	2526.0	1025.0	364.0	2430.0	3634.0	1622.0	2012.0	0.0
GCA_003142755.1	2845.0	2059.0	4.0	782.0	1102.0	1346.0	638.0	1.0	707.0	2621.0	2308.0	4.0	309.0	3035.0	2042.0	726.0	267.0	1939.0	2847.0	1226.0	1621.0	0.0
GCA_003218755.1	2691.0	1920.0	5.0	766.0	984.0	1612.0	1210.0	1.0	401.0	2337.0	2105.0	5.0	227.0	2906.0	1832.0	803.0	271.0	1725.0	2842.0	1132.0	1710.0	0.0
GCA_003278955.1	1535.0	1123.0	2.0	410.0	746.0	242.0	236.0	0.0	6.0	1288.0	1198.0	4.0	86.0	1571.0	1074.0	416.0	81.0	1006.0	1585.0	850.0	735.0	0.0
GCA_003510135.1	1975.0	1706.0	7.0	262.0	1132.0	303.0	280.0	0.0	23.0	1874.0	1813.0	1.0	60.0	2027.0	1697.0	234.0	96.0	1653.0	1987.0	1272.0	715.0	0.0
GCA_003545515.1	809.0	528.0	1.0	280.0	280.0	437.0	358.0	1.0	78.0	663.0	590.0	1.0	72.0	869.0	492.0	289.0	88.0	473.0	804.0	359.0	445.0	0.0
GCA_004356895.1	3116.0	2438.0	6.0	672.0	1304.0	1985.0	1718.0	2.0	265.0	2764.0	2602.0	3.0	159.0	3164.0	2276.0	662.0	226.0	2184.0	3059.0	1508.0	1551.0	0.0
GCA_005773695.1	1637.0	1194.0	4.0	439.0	614.0	1281.0	1154.0	3.0	124.0	1395.0	1273.0	4.0	118.0	1648.0	1033.0	450.0	165.0	978.0	1406.0	614.0	792.0	0.0
GCA_009379795.1	3461.0	2775.0	7.0	679.0	1568.0	3775.0	1414.0	0.0	2361.0	3493.0	3183.0	6.0	304.0	3901.0	2877.0	682.0	342.0	2743.0	3653.0	1838.0	1815.0	0.0
GCA_009787285.1	1609.0	1209.0	5.0	395.0	648.0	1072.0	994.0	5.0	73.0	2485.0	2125.0	10.0	350.0	3744.0	1559.0	1512.0	673.0	1491.0	1491.0	770.0	721.0	0.0
GCA_009835515.1	4384.0	3114.0	19.0	1251.0	1408.0	3706.0	2980.0	4.0	722.0	3730.0	3356.0	4.0	370.0	4455.0	2831.0	1198.0	426.0	2645.0	4051.0	1553.0	2498.0	0.0
GCA_011192085.1	1909.0	1570.0	4.0	335.0	982.0	3416.0	1450.0	0.0	1966.0	2050.0	1928.0	0.0	122.0	2301.0	1769.0	357.0	175.0	1689.0	2168.0	1163.0	1005.0	0.0
GCA_012512355.1	1813.0	1470.0	7.0	336.0	879.0	1667.0	1383.0	2.0	282.0	1865.0	1758.0	3.0	104.0	2078.0	1574.0	315.0	189.0	1478.0	1859.0	1050.0	809.0	0.0
GCA_014649575.1	6651.0	5390.0	19.0	1242.0	2918.0	608.0	215.0	1.0	392.0	6167.0	5636.0	5.0	526.0	6702.0	4837.0	1402.0	463.0	4566.0	6718.0	3187.0	3531.0	0.0
GCA_014764105.1	1515.0	1224.0	2.0	289.0	815.0	1047.0	922.0	2.0	123.0	1500.0	1425.0	3.0	72.0	1693.0	1257.0	296.0	140.0	1216.0	1602.0	935.0	667.0	0.0
GCA_015233485.1	4293.0	2727.0	4.0	1562.0	1413.0	2512.0	2154.0	2.0	356.0	3427.0	3074.0	4.0	349.0	4541.0	2602.0	1480.0	459.0	2395.0	4259.0	1521.0	2738.0	0.0
GCA_015264885.1	1276.0	1055.0	6.0	215.0	723.0	878.0	800.0	1.0	77.0	1268.0	1205.0	1.0	62.0	1391.0	1117.0	204.0	70.0	1024.0	1192.0	764.0	428.0	0.0
GCA_015657735.1	3793.0	3133.0	14.0	646.0	1975.0	6269.0	2088.0	2.0	4179.0	4172.0	3929.0	7.0	236.0	4573.0	3559.0	701.0	313.0	3371.0	4047.0	2193.0	1854.0	0.0
GCA_016291085.1	2958.0	2257.0	9.0	692.0	1263.0	519.0	489.0	0.0	30.0	2594.0	2386.0	3.0	205.0	2990.0	1939.0	832.0	219.0	1844.0	2975.0	1308.0	1667.0	0.0
GCA_016700415.1	3212.0	2434.0	7.0	771.0	1279.0	8.0	8.0	0.0	0.0	2791.0	2562.0	6.0	223.0	3248.0	2062.0	896.0	290.0	1931.0	3290.0	1301.0	1989.0	0.0
