	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_054645_1	NC_054645	NC_054645	1	2	676	-1	D			YP_010053613.1	YP_010053613.1 DNA primase [Salmonella phage SeSz-2]	True	0.989	472	4.058e-151	Zinc-binding domain of primase-helicase [PF08273.15]; CHC2 zinc finger [PF01807.23]								0	False	F
NC_054645_2	NC_054645	NC_054645	2	788	1363	1	D			YP_010053902.1	YP_010053902.1 HNH endonuclease [Salmonella phage VB_StyS_BS5]	True	0.971	393	2.106e-124	HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					VOG00011	sp|P03795|Y28_BPT7 Protein 2.8; Xu	Xu	0	False	F
NC_054645_3	NC_054645	NC_054645	3	1367	3289	1	E			YP_010053768.1	YP_010053768.1 DNA helicase [Salmonella phage LPST10]	True	0.983	1328	0.0						VOG00542	REFSEQ double zinc ribbon protein; Xu	Xu	0	False	F
NC_054645_4	NC_054645	NC_054645	4	3276	3701	1	E			YP_010053900.1	YP_010053900.1 hypothetical protein KGB46_gp48 [Salmonella phage VB_StyS_BS5]	False	0.981	294	4.84e-91						VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu	Xu	0	False	F
NC_054645_5	NC_054645	NC_054645	5	3741	3917	1	E			YP_010053610.1	YP_010053610.1 hypothetical protein KGB43_gp05 [Salmonella phage SeSz-2]	False	0.988	123	1.684e-33						VOG03718	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054645_6	NC_054645	NC_054645	6	3918	4874	1	D			YP_010053771.1	YP_010053771.1 exonuclease VIII [Salmonella phage LPST10]	True	0.98	659	3.171e-214	PDDEXK-like domain of unknown function (DUF3799) [PF12684.10]								0	False	F
NC_054645_7	NC_054645	NC_054645	7	4892	5554	1	D			YP_010053772.1	YP_010053772.1 Erf-like ssDNA annealing protein [Salmonella phage LPST10]	True	0.932	432	3.134e-137	ERF superfamily [PF04404.15]					VOG08218	sp|P04892|ERF_BPP22 Essential recombination function protein; Xh	Xh	0	False	F
NC_054645_8	NC_054645	NC_054645	8	5558	6040	1	C	K03111	single-strand DNA-binding protein	YP_010053773.1	YP_010053773.1 single strand DNA binding protein [Salmonella phage LPST10]	False	0.931	314	8.952e-98	Single-strand binding protein family [PF00436.28]					VOG00906	sp|O21902|SSB_BPLSK SSB protein; Xh	Xh	0	False	
NC_054645_9	NC_054645	NC_054645	9	6336	8363	-1	D			YP_010053774.1	YP_010053774.1 tail spike protein [Salmonella phage LPST10]	True	0.969	1378	0.0	Salmonella phage P22 tail-spike [PF09251.13]; Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]	GH90	GH90 endorhamnosidase (EC 3.2.1.-)	3.2.1.-	GH90.hmm	VOG02052	sp|P12528|FIBER_BPP22 Tail spike protein; XhXpXs	Xp;Xs;Xh	0	False	V
NC_054645_10	NC_054645	NC_054645	10	8403	10889	-1	E			YP_010053507.1	YP_010053507.1 tail protein [Salmonella virus KFS-SE2]	True	0.953	1659	0.0						VOG02597	REFSEQ tail protein; Xu	Xu	0	False	
NC_054645_11	NC_054645	NC_054645	11	11261	11731	-1	D			YP_010053777.1	YP_010053777.1 minor tail protein [Salmonella phage LPST10]	False	0.984	326	5.708e-102	Domain of unknown function (DUF1833) [PF08875.14]					VOG00951	REFSEQ minor tail protein; Xu	Xu	0	False	
NC_054645_12	NC_054645	NC_054645	12	11731	12204	-1	E			YP_010053778.1	YP_010053778.1 hypothetical protein KGB45_gp13 [Salmonella phage LPST10]	False	1.0	340	1.308e-106						VOG00317	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_13	NC_054645	NC_054645	13	12341	13216	1	D			YP_010053780.1	YP_010053780.1 endonuclease [Salmonella phage LPST10]	True	0.994	613	1.264e-198	Protein of unknown function (DUF723) [PF05265.16]					VOG00023	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease; Xh	Xh	0	False	
NC_054645_14	NC_054645	NC_054645	14	13229	16522	-1	D			YP_010053781.1	YP_010053781.1 tail length tape measure protein [Salmonella phage LPST10]	True	0.856	1943	0.0	Tape measure protein [PF20155.2]; Tail length tape measure protein [PF06120.14]					VOG28676	REFSEQ putative tape measure protein; Xu	Xu	0	False	
NC_054645_15	NC_054645	NC_054645	15	16522	17229	-1	D			YP_010053782.1	YP_010053782.1 hypothetical protein KGB45_gp17 [Salmonella phage LPST10]	True	0.956	475	7.514999999999999e-152	Family of unknown function (DUF6246) [PF19759.2]					VOG07468	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_16	NC_054645	NC_054645	16	17328	17603	1	D			YP_010053783.1	YP_010053783.1 hypothetical protein KGB45_gp18 [Salmonella phage LPST10]	False	1.0	198	9.265e-59	Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]					VOG30805	REFSEQ ABC transporter permease; Xu	Xu	0	False	
NC_054645_17	NC_054645	NC_054645	17	17720	18013	1	E			YP_010053784.1	YP_010053784.1 hypothetical protein KGB45_gp19 [Salmonella phage LPST10]	False	0.892	183	2.8239999999999997e-53						VOG00554	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_18	NC_054645	NC_054645	18	18023	18166	1	E			YP_010053415.1	YP_010053415.1 hypothetical protein KGB40_gp42 [Salmonella phage Segz_1]	False	0.952	96	2.216e-24						VOG20085	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_19	NC_054645	NC_054645	19	18163	18357	1	D			YP_010053414.1	YP_010053414.1 hypothetical protein KGB40_gp41 [Salmonella phage Segz_1]	False	1.0	149	1.9040000000000006e-42	Protein of unknown function (DUF551) [PF04448.15]					VOG00128	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region; Xu	Xu	0	False	
NC_054645_20	NC_054645	NC_054645	20	18388	19104	-1	E			YP_010053787.1	YP_010053787.1 major tail protein [Salmonella phage LPST10]	True	0.932	467	4.744e-149						VOG04154	REFSEQ structural protein with Ig domain; Xu	Xu	0	False	
NC_054645_21	NC_054645	NC_054645	21	19590	19997	-1	E			YP_010053881.1	YP_010053881.1 hypothetical protein KGB46_gp29 [Salmonella phage VB_StyS_BS5]	False	0.985	283	2.504e-87						VOG01644	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_22	NC_054645	NC_054645	22	20135	20626	1	D			YP_010053557.1	YP_010053557.1 HNH endonuclease [Salmonella phage Seszw_1]	False	1.0	349	1.2290000000000001e-109	HNH endonuclease [PF13392.9]; AP2 domain [PF00847.23]					VOG00011	sp|P03795|Y28_BPT7 Protein 2.8; Xu	Xu	0	False	
NC_054645_23	NC_054645	NC_054645	23	20623	21021	-1	E			YP_010053879.1	YP_010053879.1 HK97 gp10 family protein [Salmonella phage VB_StyS_BS5]	False	0.926	258	6.897e-79						VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
NC_054645_24	NC_054645	NC_054645	24	21021	21362	-1	E			YP_010053878.1	YP_010053878.1 hypothetical protein KGB46_gp26 [Salmonella phage VB_StyS_BS5]	False	1.0	246	3.579e-75						VOG00901	sp|O64214|VG20_BPMD2 Gene 20 protein; Xu	Xu	0	False	
NC_054645_25	NC_054645	NC_054645	25	21359	21751	-1	E			YP_010053877.1	YP_010053877.1 hypothetical protein KGB46_gp25 [Salmonella phage VB_StyS_BS5]	False	0.969	267	4.387e-82						VOG04502	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_054645_26	NC_054645	NC_054645	26	21732	22016	-1	E			YP_010053876.1	YP_010053876.1 membrane protein [Salmonella phage VB_StyS_BS5]	False	0.947	189	1.128e-55						VOG20084	REFSEQ membrane protein; Xu	Xu	0	False	
NC_054645_27	NC_054645	NC_054645	27	22049	22489	-1	E			YP_010053875.1	YP_010053875.1 lipoprotein [Salmonella phage VB_StyS_BS5]	False	0.948	293	1.1579999999999999e-90						VOG20083	REFSEQ lipoprotein; Xu	Xu	0	False	
NC_054645_28	NC_054645	NC_054645	28	22725	22985	1	E			YP_010053667.1	YP_010053667.1 anti-restriction protein [Salmonella phage SeSz-2]	False	0.963	177	1.888e-51						VOG11909	REFSEQ anti-restriction protein; Xu	Xu	0	False	
