	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001414.1_1	QGNH01001414.1	QGNH01001414.1	1	1	600	1	E			YP_010059759.1	YP_010059759.1 head decoration [Mycobacterium phage Phrappuccino]	False	0.294	89.0	6.639e-19						VOG03766	REFSEQ head decoration; Xu	Xu	0	False	F
QGNH01001414.1_2	QGNH01001414.1	QGNH01001414.1	2	597	2495	1	D			YP_010670309.1	YP_010670309.1 long tail fiber protein distal subunit [Synechococcus phage S-SRM01]	False	0.439	87.0	2.461e-16	Chaperone of endosialidase [PF13884.9]					VOG00494	sp|P07067|FIB37_BPT2 Long tail fiber protein p37; XpXs	Xp;Xs	0	False	VF
QGNH01001414.1_3	QGNH01001414.1	QGNH01001414.1	3	2492	2719	1	E																	0	False	F
QGNH01001414.1_4	QGNH01001414.1	QGNH01001414.1	4	2719	3135	1	D			YP_007010594.1	YP_007010594.1 DUF559 domain-containing protein [Acinetobacter phage YMC/09/02/B1251]	False	0.391	68.0	1.002e-12	Protein of unknown function (DUF559) [PF04480.15]								0	False	F
QGNH01001414.1_5	QGNH01001414.1	QGNH01001414.1	5	3132	3344	1	E																	0	False	F
QGNH01001414.1_6	QGNH01001414.1	QGNH01001414.1	6	3341	3601	1	E																	0	False	F
QGNH01001414.1_7	QGNH01001414.1	QGNH01001414.1	7	4015	4290	1	E																	0	False	F
QGNH01001414.1_8	QGNH01001414.1	QGNH01001414.1	8	4440	5042	1	C	K14060	putative DNA-invertase from lambdoid prophage Rac	YP_001718725.1	YP_001718725.1 DNA-invertase [Felsduovirus Fels2]	False	0.349	96.0	1.879e-21	Resolvase, N terminal domain [PF00239.24]								0	False	F
QGNH01001414.1_9	QGNH01001414.1	QGNH01001414.1	9	5204	6694	1	C	K06909	phage terminase large subunit	YP_007007123.1	YP_007007123.1 terminase large subunit [Bdellovibrio phage phi1422]	False	0.475	337.0	1.611e-99	Phage terminase large subunit [PF04466.16]; Terminase RNAseH like domain [PF17288.5]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
QGNH01001414.1_10	QGNH01001414.1	QGNH01001414.1	10	6656	6943	-1	E																	0	False	
QGNH01001414.1_11	QGNH01001414.1	QGNH01001414.1	11	6940	7353	-1	C	K13655	HTH-type transcriptional regulator / antitoxin MqsA							Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]								0	False	
QGNH01001414.1_12	QGNH01001414.1	QGNH01001414.1	12	7350	7652	-1	C	K13651	motility quorum-sensing regulator / GCU-specific mRNA interferase toxin							Motility quorum-sensing regulator, toxin of MqsA [PF15723.8]								0	False	
QGNH01001414.1_13	QGNH01001414.1	QGNH01001414.1	13	7772	9238	1	E			YP_010078149.1	YP_010078149.1 portal protein [Ralstonia phage Raharianne]	True	0.642	623.0	3.544e-198						VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xp;Xr;Xs	0	False	V
QGNH01001414.1_14	QGNH01001414.1	QGNH01001414.1	14	9304	9807	1	D			YP_010078150.1	YP_010078150.1 hypothetical protein KMC43_gp26 [Ralstonia phage Raharianne]	False	0.483	151.0	8.839999999999998e-41	Phage minor structural protein GP20 [PF06810.14]								0	False	
QGNH01001414.1_15	QGNH01001414.1	QGNH01001414.1	15	9979	11298	1	E			YP_010078151.1	YP_010078151.1 major head protein [Ralstonia phage Raharianne]	True	0.631	547.0	6.981e-173									0	False	
QGNH01001414.1_16	QGNH01001414.1	QGNH01001414.1	16	11300	11500	1	E																	0	False	
QGNH01001414.1_17	QGNH01001414.1	QGNH01001414.1	17	11500	11922	1	E			YP_010078155.1	YP_010078155.1 hypothetical protein KMC43_gp31 [Ralstonia phage Raharianne]	False	0.59	145.0	1.668e-39									0	False	
QGNH01001414.1_18	QGNH01001414.1	QGNH01001414.1	18	11922	12566	1	E			YP_010078156.1	YP_010078156.1 hypothetical protein KMC43_gp32 [Ralstonia phage Raharianne]	False	0.406	154.0	4.718999999999998e-41									0	False	
QGNH01001414.1_19	QGNH01001414.1	QGNH01001414.1	19	12563	13408	1	E			YP_010078157.1	YP_010078157.1 hypothetical protein KMC43_gp33 [Ralstonia phage Raharianne]	False	0.398	182.0	1.267e-49									0	False	
QGNH01001414.1_20	QGNH01001414.1	QGNH01001414.1	20	13417	13545	1	E																	0	False	
QGNH01001414.1_21	QGNH01001414.1	QGNH01001414.1	21	13542	15059	1	E			YP_010078160.1	YP_010078160.1 tail protein [Ralstonia phage Raharianne]	True	0.596	585.0	9.236e-185						VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein; XpXrXs	Xp;Xr;Xs	0	False	V
