	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_005841_1	NC_005841	NC_005841	1	17	1474	-1	D			YP_006357.1	YP_006357.1 GtrC-like O-antigen conversion translocase [Enterobacteria phage ST104]	True	0.929	945.0	6.607e-310								Glucosyl transferase GtrII [PF14264.9]					VOG03552	sp|P57019|Y55K_BPP22 Uncharacterized 55.3 kDa protein in gtrB 5'region; Xu	Xu	0	False	F
NC_005841_2	NC_005841	NC_005841	2	1464	2396	-1	C	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	YP_006358.1	YP_006358.1 GtrB glycosyltransferase for O-antigen conversion [Enterobacteria phage ST104]	True	0.963	630.0	4.018e-204								Glycosyl transferase family 2 [PF00535.29]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	VOG10964	sp|O22007|GTRB_BPSF5 Bactoprenol glucosyl transferase; Xh	Xh	0	False	MF
NC_005841_3	NC_005841	NC_005841	3	2495	2746	1	E																								0	False	F
NC_005841_4	NC_005841	NC_005841	4	3104	4267	-1	C	K03111	single-strand DNA-binding protein	YP_006360.1	YP_006360.1 integrase [Enterobacteria phage ST104]	True	0.985	806.0	9.904e-264								Phage integrase family [PF00589.25]					VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	False	VF
NC_005841_5	NC_005841	NC_005841	5	4497	4634	-1	E			YP_009191477.2	YP_009191477.2 dehydrogenase [Salmonella phage SEN22]	False	0.908	88.0	2.157e-21																0	False	F
NC_005841_6	NC_005841	NC_005841	6	4706	4990	-1	E			YP_006362.1	YP_006362.1 ASCH domain-containing protein [Enterobacteria phage ST104]	False	1.0	205.0	3.628e-61													VOG09552	REFSEQ ASCH domain-containing protein; Xu	Xu	0	False	F
NC_005841_7	NC_005841	NC_005841	7	4983	5267	-1	D			YP_006363.1	YP_006363.1 DUF4752 family protein [Enterobacteria phage ST104]	False	1.0	202.0	4.551e-60								Domain of unknown function (DUF4752) [PF15944.8]					VOG09184	REFSEQ DUF4752 family protein; Xu	Xu	0	False	F
NC_005841_8	NC_005841	NC_005841	8	5267	6085	-1	D			YP_006364.1	YP_006364.1 ead/Ea22-like family protein [Enterobacteria phage ST104]	True	0.959	533.0	3.196e-171								Ead/Ea22-like protein [PF13935.9]; Protein of unknown function (DUF551) [PF04448.15]					VOG00429	REFSEQ ead/Ea22-like family protein; Xu	Xu	0	False	
NC_005841_9	NC_005841	NC_005841	9	6128	6637	-1	E			YP_006365.1	YP_006365.1 ORF9 [Enterobacteria phage ST104]	False	0.929	331.0	2.409e-103													VOG01622	sp|P76515|YFDS_ECOLI Uncharacterized protein YfdS; Xu	Xu	0	False	
NC_005841_10	NC_005841	NC_005841	10	6815	7108	-1	D			YP_006367.1	YP_006367.1 abc2 anti-RecBCD [Enterobacteria phage ST104]	False	0.945	195.0	1.5630000000000002e-57								Bacteriophage P22, anti-RecBCD protein 2 [PF11043.11]					VOG07473	sp|P11191|ABC2_BPP22 Anti-RecBCD protein 2; Xu	Xu	0	False	
NC_005841_11	NC_005841	NC_005841	11	7155	7439	-1	E			YP_006368.1	YP_006368.1 sigma-70 family RNA polymerase sigma factor [Enterobacteria phage ST104]	False	0.945	189.0	1.548e-55																0	False	
NC_005841_12	NC_005841	NC_005841	12	7439	8146	-1	D			YP_006369.1	YP_006369.1 Erf-like ssDNA annealing protein [Enterobacteria phage ST104]	True	1.0	503.0	1.036e-161								Rad52/22 family double-strand break repair protein [PF04098.18]					VOG07476	REFSEQ Erf-like ssDNA annealing protein; Xu	Xu	0	False	
NC_005841_13	NC_005841	NC_005841	13	8143	8286	-1	D			YP_009639235.1	YP_009639235.1 Erf recombination cofactor Arf [Lederbergvirus BTP1]	False	0.92	93.0	3.859e-23								Accessory recombination function protein [PF17585.5]					VOG12458	sp|P14112|VARF_BPP22 Accessory recombination function protein; Xu	Xu	0	False	
NC_005841_14	NC_005841	NC_005841	14	8276	8464	-1	D			YP_006370.1	YP_006370.1 Kil protein for bacterial septation inhibition [Enterobacteria phage ST104]	False	1.0	139.0	4.718e-39								Family of unknown function (DUF5444) [PF17519.5]					VOG12461	sp|P14111|VKIL_BPP22 Protein kil; Xu	Xu	0	False	
NC_005841_15	NC_005841	NC_005841	15	8445	8603	-1	D			YP_006371.1	YP_006371.1 CIII anti-termination [Enterobacteria phage ST104]	False	1.0	113.0	4.696e-30	MER0094399	I75	MER0094399 - bacteriophage lambda CIII protein () [I75.001]#I75#{inhibitor unit: 1-47}~source BAD15178~	False	0.974	99.0	7.915000000000001e-25	Lambda Phage CIII [PF02061.19]					VOG02078	sp|P03044|RPC3_LAMBD Protease inhibitor III; Xp	Xp	0	False	P
NC_005841_16	NC_005841	NC_005841	16	8688	9002	-1	D			YP_006372.1	YP_006372.1 superinfection exclusion [Enterobacteria phage ST104]	False	1.0	223.0	3.945e-67								Superinfection exclusion gene product 17 [PF17420.5]					VOG10018	sp|P14109|VG17_BPP22 Superinfection exclusion protein; Xu	Xu	0	False	
NC_005841_17	NC_005841	NC_005841	17	9153	9278	-1	E			YP_003090253.1	YP_003090253.1 Enterobacter protein of unknown function [Salmonella phage g341c]	False	0.908	80.0	7.308e-19													VOG01534	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_18	NC_005841	NC_005841	18	9278	9565	-1	E			YP_006373.1	YP_006373.1 ORF18 [Enterobacteria phage ST104]	False	0.993	201.0	6.559e-60													VOG00040	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region; Xu	Xu	0	False	
NC_005841_19	NC_005841	NC_005841	19	9599	10243	-1	D			YP_006374.1	YP_006374.1 pentapeptide repeat-containing protein [Enterobacteria phage ST104]	True	0.971	440.0	3.137e-140								Pentapeptide repeats (8 copies) [PF00805.25]; Pentapeptide repeats (9 copies) [PF13599.9]; Pentapeptide repeats (9 copies) [PF13576.9]					VOG08280	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region; Xh	Xh	0	False	
NC_005841_20	NC_005841	NC_005841	20	10327	10521	-1	D			YP_006375.1	YP_006375.1 restriction alleviation ral [Enterobacteria phage ST104]	False	0.997	137.0	3.494e-38								Antirestriction protein Ral [PF11058.11]					VOG11900	sp|P03703|RAL_LAMBD Restriction inhibitor protein ral; Xp	Xp	0	False	
NC_005841_21	NC_005841	NC_005841	21	10762	11322	1	D			YP_006376.1	YP_006376.1 superinfection exclusion; inhibits SieB [Enterobacteria phage ST104]	True	0.932	365.0	6.472e-115								Super-infection exclusion protein B [PF14163.9]					VOG10968	sp|P38396|SIEB_BPP22 Superinfection exclusion protein B; Xu	Xu	0	False	
NC_005841_22	NC_005841	NC_005841	22	11335	11637	-1	E			YP_006377.1	YP_006377.1 24 [Enterobacteria phage ST104]	False	0.953	203.0	3.249e-60													VOG01417	sp|P03045|REGN_LAMBD Antitermination protein N; Xu	Xu	0	False	
NC_005841_23	NC_005841	NC_005841	23	12002	12205	1	E			YP_009325310.1	YP_009325310.1 hypothetical protein BOW71_gp41 [Salmonella phage 103203_sal5]	False	0.861	122.0	6.885e-33													VOG29691	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_24	NC_005841	NC_005841	24	12244	13287	-1	D			YP_006378.1	YP_006378.1 ORF23 [Enterobacteria phage ST104]	True	0.946	691.0	1.388e-224								P63C domain [PF10546.12]					VOG09565	REFSEQ P63C domain-containing protein; Xu	Xu	0	False	
NC_005841_25	NC_005841	NC_005841	25	13488	14213	-1	D			YP_009639244.1	YP_009639244.1 CI-like repressor [Lederbergvirus BTP1]	True	0.953	484.0	3.762000000000001e-155	MER0286377	S24	MER0286377 - family S24 unassigned peptidases (Salmonella enterica) [S24.UPW]#S24#{peptidase unit: 104-239}~source YP_005231422~	False	0.97	280.0	5.4500000000000005e-84	Peptidase S24-like [PF00717.26]; Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]; Helix-turn-helix domain [PF12844.10]								0	False	P
NC_005841_26	NC_005841	NC_005841	26	14288	14503	1	D			YP_009639245.1	YP_009639245.1 transcriptional repressor [Lederbergvirus BTP1]	False	0.944	143.0	4.3039999999999996e-40								Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT [PF15943.8]; DNA-binding transcriptional regulator Cro [PF14549.9]					VOG00194	sp|P18679|RCRO_BPHK0 8.4 kDa cro protein; Xu	Xu	0	False	
NC_005841_27	NC_005841	NC_005841	27	14614	14895	1	D			YP_009639246.1	YP_009639246.1 CII-like transcriptional activator [Lederbergvirus BTP1]	False	0.933	184.0	6.551e-54								Bacteriophage CII protein [PF05269.14]								0	False	
NC_005841_28	NC_005841	NC_005841	28	14930	15091	1	E			YP_004934147.1	YP_004934147.1 hypothetical protein HK75_40 [Escherichia phage HK75]	False	0.935	106.0	1.086e-27													VOG07477	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_29	NC_005841	NC_005841	29	15078	15899	1	D			YP_006383.1	YP_006383.1 replication initiation O-like, partial [Enterobacteria phage ST104]	True	0.964	556.0	3.841e-179								Bacteriophage replication protein O [PF04492.16]								0	False	
NC_005841_30	NC_005841	NC_005841	30	15896	17272	1	C	K02314	replicative DNA helicase [EC:5.6.2.3]	YP_006384.1	YP_006384.1 replicative DNA helicase [Enterobacteria phage ST104]	True	0.934	899.0	2.617e-294								DnaB-like helicase C terminal domain [PF03796.18]; KaiC [PF06745.16]; AAA domain [PF13481.9]					VOG00297	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase; XhXr	Xh;Xr	0	False	V
NC_005841_31	NC_005841	NC_005841	31	17269	17538	1	E			YP_006385.1	YP_006385.1 ORF30 [Enterobacteria phage ST104]	False	0.966	183.0	1.012e-53													VOG11941	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_32	NC_005841	NC_005841	32	17612	18049	1	D			YP_006386.1	YP_006386.1 NinB/ Orf homologous recombination mediator [Enterobacteria phage ST104]	False	0.985	304.0	2.192e-94								NinB protein [PF05772.15]					VOG00692	sp|P03765|NINB_LAMBD Protein ninB; Xu	Xu	0	False	
NC_005841_33	NC_005841	NC_005841	33	18365	18706	1	D			YP_004123794.1	YP_004123794.1 DUF2591 family protein [Salmonella phage ST160]	False	1.0	250.0	2.084e-76								Bacteriophage P22, NinX [PF10765.12]					VOG00711	sp|Q38665|NINX_BPP22 Putative protein ninX; Xu	Xu	0	False	
NC_005841_34	NC_005841	NC_005841	34	18868	19479	1	D			YP_006391.1	YP_006391.1 NinG/ Rap DNA junction specific endonuclease [Enterobacteria phage ST104]	True	0.966	415.0	7.934e-132								Bacteriophage Lambda NinG protein [PF05766.15]					VOG00093	sp|P69175|NING_BPVT2 Protein ninG; Xu	Xu	0	False	
NC_005841_35	NC_005841	NC_005841	35	19476	19700	1	E			YP_004123797.1	YP_004123797.1 NinY [Salmonella phage ST160]	False	1.0	162.0	1.26e-46													VOG04510	sp|Q38668|NINY_BPP22 Putative protein ninY; Xu	Xu	0	False	
NC_005841_36	NC_005841	NC_005841	36	19697	19900	1	D			YP_006560878.1	YP_006560878.1 NinH family protein [Salmonella phage vB_SosS_Oslo]	False	0.989	142.0	6.628e-40								Phage NinH protein [PF06322.14]					VOG07483	sp|P03771|NINH_LAMBD Protein ninH; Xu	Xu	0	False	
NC_005841_37	NC_005841	NC_005841	37	19881	20060	1	E			YP_002455878.1	YP_002455878.1 NinZ [Salmonella phage SE1 (in:P22virus)]	False	0.919	116.0	7.317e-31													VOG03595	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_38	NC_005841	NC_005841	38	20057	20830	1	D			YP_002455879.1	YP_002455879.1 anti-termination protein Q-like [Salmonella phage SE1 (in:P22virus)]	True	0.963	523.0	4.178e-168								Antitermination protein [PF03589.16]					VOG02422	sp|P76161|REQ2_ECOLI Prophage antitermination protein Q homolog QuuQ; Xu	Xu	0	False	
NC_005841_39	NC_005841	NC_005841	39	21261	21464	1	D			YP_006396.1	YP_006396.1 holin family protein [Enterobacteria phage ST104]	False	1.0	149.0	3.045e-42								Bacteriophage holin family HP1 [PF16080.8]; Bacteriophage P21 holin S [PF04971.15]; Bacteriophage holin family, superfamily II-like [PF16082.8]					VOG01566	sp|Q6XQ99|HOLIN_BPT1 Holin; XhXp	Xh;Xp	0	False	
NC_005841_40	NC_005841	NC_005841	40	21436	21939	1	C	K01185	lysozyme [EC:3.2.1.17]	YP_002455881.1	YP_002455881.1 endolysin [Salmonella phage SE1 (in:P22virus)]	False	0.977	346.0	1.356e-108								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	VOG00595	sp|O80288|ENLYS_BPPS3 SAR-endolysin; XhXp	Xh;Xp	0	False	
NC_005841_41	NC_005841	NC_005841	41	21936	22403	1	C	K14744	prophage endopeptidase [EC:3.4.-.-]	YP_006398.1	YP_006398.1 Rz-like spanin [Enterobacteria phage ST104]	False	0.904	295.0	5.037e-91	MER0001304	X19	MER0001304 - murein endopeptidase (bacteriophage) () [X19.001]#X19#{peptidase unit: 1-153}~source ENPP_LAMBD~	False	0.544	160.0	3.696e-44	Bacteriophage Rz lysis protein [PF03245.16]					VOG02030	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit; XhXp	Xh;Xp	0	False	
NC_005841_42	NC_005841	NC_005841	42	22616	23146	1	D			YP_006400.1	YP_006400.1 KilA-N domain-containing protein [Enterobacteria phage ST104]	True	0.96	357.0	2.212e-112								KilA-N domain [PF04383.16]								0	False	
NC_005841_43	NC_005841	NC_005841	43	23369	23611	1	D			YP_006401.1	YP_006401.1 DUF2560 family protein [Enterobacteria phage ST104]	False	0.881	149.0	5.841000000000001e-42								Protein of unknown function (DUF2560) [PF10834.11]					VOG10972	sp|P57018|Y9K0_BPP22 Uncharacterized 9.0 kDa protein in gp15-gp3 intergenic region; Xu	Xu	0	False	
NC_005841_44	NC_005841	NC_005841	44	23615	24004	1	E			YP_006402.1	YP_006402.1 ORF47 [Enterobacteria phage ST104]	False	1.0	288.0	3.085e-89													VOG00451	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_45	NC_005841	NC_005841	45	24004	24408	1	E			YP_006403.1	YP_006403.1 head decoration protein [Enterobacteria phage ST104]	False	0.928	263.0	2.354e-80													VOG10973	sp|Q8HAE6|DECO_BPST6 Decoration protein; XhXs	Xh;Xs	0	False	V
NC_005841_46	NC_005841	NC_005841	46	24412	24900	1	D			YP_006404.1	YP_006404.1 terminase small subunit [Enterobacteria phage ST104]	False	0.978	336.0	2.8489999999999998e-105								DNA-packaging protein gp3 [PF16677.8]					VOG04369	sp|P04893|TERS_BPP22 Terminase, small subunit; XhXr	Xh;Xr	0	False	V
NC_005841_47	NC_005841	NC_005841	47	24878	26377	1	C	K06909	phage terminase large subunit	YP_006405.1	YP_006405.1 terminase large subunit [Enterobacteria phage ST104]	True	1.0	1072.0	0.0								Terminase RNaseH-like domain [PF17289.5]					VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
NC_005841_48	NC_005841	NC_005841	48	26377	28554	1	D			YP_006406.1	YP_006406.1 portal protein [Enterobacteria phage ST104]	True	0.952	1451.0	0.0								Phage P22-like portal protein [PF16510.8]					VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	V
NC_005841_49	NC_005841	NC_005841	49	28568	29479	1	D			YP_006407.1	YP_006407.1 head scaffolding protein [Enterobacteria phage ST104]	True	0.915	582.0	1.4469999999999998e-187								Bacteriophage, scaffolding protein [PF09306.13]					VOG04019	sp|P26748|VG08_BPP22 Scaffolding protein; Xh	Xh	0	False	
NC_005841_50	NC_005841	NC_005841	50	29479	30771	1	D			YP_006408.1	YP_006408.1 head protein [Enterobacteria phage ST104]	True	0.957	867.0	8.582999999999999e-284								P22 coat protein - gene protein 5 [PF11651.11]					VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xr;Xs	0	False	V
NC_005841_51	NC_005841	NC_005841	51	30812	31372	1	E			YP_003090223.1	YP_003090223.1 hypothetical protein c341_gp06 [Salmonella phage g341c]	True	1.0	401.0	2.2e-127													VOG00415	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_005841_52	NC_005841	NC_005841	52	31356	31856	1	D			YP_009639212.1	YP_009639212.1 head-tail adaptor Ad3 [Lederbergvirus BTP1]	False	0.965	339.0	2.764e-106								P22 tail accessory factor [PF11650.11]					VOG04809	sp|P26746|EXLYS_BPP22 Peptidoglycan hydrolase gp4; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	V
NC_005841_53	NC_005841	NC_005841	53	31816	33234	1	D			YP_006412.1	YP_006412.1 head closure Hc3 [Enterobacteria phage ST104]	True	0.973	969.0	1.631e-318								Phage stabilisation protein [PF11134.11]					VOG10156	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10; Xh	Xh	0	False	
NC_005841_54	NC_005841	NC_005841	54	33238	33939	1	E			YP_006413.1	YP_006413.1 tail needle protein [Enterobacteria phage ST104]	True	0.876	426.0	4.769e-135													VOG00969	sp|P35837|NEEDL_BPP22 Tail needle protein gp26; XhXpXrXs	Xh;Xp;Xs;Xr	0	False	V
