	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
GU722197.1_1	GCA_000888415.1	GU722197.1	1	1	2730	1	E			YP_003773384.1	YP_003773384.1 primase/DNA polymerase [Hyperthermophilic Archaeal Virus 2]	True	0.953	1822	0.0					0	False	TF
GU722197.1_2	GCA_000888415.1	GU722197.1	2	3374	4090	1	E			YP_003773385.1	YP_003773385.1 hypothetical protein HAV2_gp02 [Hyperthermophilic Archaeal Virus 2]	True	0.977	492	8.165e-158					0	False	TF
GU722197.1_3	GCA_000888415.1	GU722197.1	3	4108	4527	1	E			YP_003773386.1	YP_003773386.1 hypothetical protein HAV2_gp03 [Hyperthermophilic Archaeal Virus 2]	False	0.968	286	3.331e-88					0	False	TF
GU722197.1_4	GCA_000888415.1	GU722197.1	4	4528	6048	1	D			YP_003773387.1	YP_003773387.1 AAA-ATPase, CDC48-type [Hyperthermophilic Archaeal Virus 2]	True	0.963	1027	0.0	ATPase family associated with various cellular activities (AAA) [PF00004.32]	VOG04317	sp|Q3V4U3|Y529_ATV Uncharacterized protein ORF529; Xu	Xu	0	False	TF
GU722197.1_5	GCA_000888415.1	GU722197.1	5	6086	6646	1	E			YP_003773388.1	YP_003773388.1 hypothetical protein HAV2_gp05 [Hyperthermophilic Archaeal Virus 2]	True	0.957	376	9.432e-119					0	False	T
GU722197.1_6	GCA_000888415.1	GU722197.1	6	6810	7166	1	E			YP_003773389.1	YP_003773389.1 hypothetical protein HAV2_gp06 [Hyperthermophilic Archaeal Virus 2]	False	0.922	230	2.644e-69					0	False	T
GU722197.1_7	GCA_000888415.1	GU722197.1	7	7354	7674	1	C	K07491	REP-associated tyrosine transposase	YP_003773390.1	YP_003773390.1 transposase [Hyperthermophilic Archaeal Virus 2]	False	0.964	217	3.632e-65	Transposase IS200 like [PF01797.19]	VOG02296	sp|Q7DF83|DRA2A_DEIRA ISDra2 transposase TnpA; XhXr	Xh;Xr	0	True	VT
GU722197.1_8	GCA_000888415.1	GU722197.1	8	7671	8933	1	C	K07496	putative transposase	YP_003773391.1	YP_003773391.1 transposase [Hyperthermophilic Archaeal Virus 2]	True	0.966	856	1.942e-280	Putative transposase DNA-binding domain [PF07282.14]; Probable transposase [PF01385.22]	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease; Xr	Xr	0	True	VT
GU722197.1_9	GCA_000888415.1	GU722197.1	9	9036	9389	-1	E			YP_003773392.1	YP_003773392.1 hypothetical protein HAV2_gp09 [Hyperthermophilic Archaeal Virus 2]	False	0.997	249	6.536000000000001e-76					0	False	T
GU722197.1_10	GCA_000888415.1	GU722197.1	10	9759	15134	-1	D			YP_003773393.1	YP_003773393.1 hypothetical protein HAV2_gp10 [Hyperthermophilic Archaeal Virus 2]	True	0.954	3541	0.0	PA14 domain [PF07691.15]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]				0	False	MKTF
GU722197.1_11	GCA_000888415.1	GU722197.1	11	15136	15927	-1	E			YP_003773394.1	YP_003773394.1 hypothetical protein HAV2_gp11 [Hyperthermophilic Archaeal Virus 2]	True	0.958	532	3.932e-171					0	False	TF
GU722197.1_12	GCA_000888415.1	GU722197.1	12	16044	16463	-1	E			YP_003773395.1	YP_003773395.1 hypothetical protein HAV2_gp12 [Hyperthermophilic Archaeal Virus 2]	False	0.976	288	3.653e-89					0	False	TF
GU722197.1_13	GCA_000888415.1	GU722197.1	13	16608	17129	-1	E			YP_003773397.1	YP_003773397.1 hypothetical protein HAV2_gp14 [Hyperthermophilic Archaeal Virus 2]	False	0.923	336	3.514e-105					0	False	TF
GU722197.1_14	GCA_000888415.1	GU722197.1	14	17238	17519	1	E			YP_003773398.1	YP_003773398.1 hypothetical protein HAV2_gp15 [Hyperthermophilic Archaeal Virus 2]	False	0.929	183	1.233e-53					0	False	TF
