locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMDMOFFI_00001	CDS	534				hypothetical protein
AMDMOFFI_00002	CDS	180				hypothetical protein
AMDMOFFI_00003	CDS	261				hypothetical protein
AMDMOFFI_00004	CDS	129				hypothetical protein
AMDMOFFI_00005	CDS	243				hypothetical protein
AMDMOFFI_00006	CDS	234				hypothetical protein
AMDMOFFI_00007	CDS	285				hypothetical protein
AMDMOFFI_00008	CDS	465				hypothetical protein
AMDMOFFI_00009	CDS	384				hypothetical protein
AMDMOFFI_00010	CDS	354				hypothetical protein
AMDMOFFI_00011	CDS	213				hypothetical protein
AMDMOFFI_00012	CDS	225				hypothetical protein
AMDMOFFI_00013	CDS	522				hypothetical protein
AMDMOFFI_00014	CDS	1395				hypothetical protein
AMDMOFFI_00015	CDS	1629				hypothetical protein
AMDMOFFI_00016	CDS	651				hypothetical protein
AMDMOFFI_00017	CDS	201				hypothetical protein
AMDMOFFI_00018	CDS	1056				hypothetical protein
AMDMOFFI_00019	CDS	948				hypothetical protein
AMDMOFFI_00020	CDS	333				hypothetical protein
AMDMOFFI_00021	CDS	339				hypothetical protein
AMDMOFFI_00022	CDS	402				hypothetical protein
AMDMOFFI_00023	CDS	408				hypothetical protein
AMDMOFFI_00024	CDS	726				hypothetical protein
AMDMOFFI_00025	CDS	570				hypothetical protein
AMDMOFFI_00026	CDS	174				hypothetical protein
AMDMOFFI_00027	CDS	687				hypothetical protein
AMDMOFFI_00028	CDS	3561				hypothetical protein
AMDMOFFI_00029	CDS	435				hypothetical protein
AMDMOFFI_00030	CDS	807				hypothetical protein
AMDMOFFI_00031	CDS	699				hypothetical protein
AMDMOFFI_00032	CDS	1065				hypothetical protein
AMDMOFFI_00033	CDS	618				hypothetical protein
AMDMOFFI_00034	CDS	621				hypothetical protein
AMDMOFFI_00035	CDS	918				hypothetical protein
AMDMOFFI_00036	CDS	1209				hypothetical protein
AMDMOFFI_00037	CDS	180				hypothetical protein
AMDMOFFI_00038	CDS	453				hypothetical protein
