locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKGEANKL_00001	CDS	3111				hypothetical protein
JKGEANKL_00002	CDS	255				hypothetical protein
JKGEANKL_00003	CDS	291				hypothetical protein
JKGEANKL_00004	CDS	162				hypothetical protein
JKGEANKL_00005	CDS	798				hypothetical protein
JKGEANKL_00006	CDS	597				hypothetical protein
JKGEANKL_00007	CDS	501				hypothetical protein
JKGEANKL_00008	CDS	228				hypothetical protein
JKGEANKL_00009	CDS	462				hypothetical protein
JKGEANKL_00010	CDS	438				hypothetical protein
JKGEANKL_00011	CDS	1809				hypothetical protein
JKGEANKL_00012	CDS	582				hypothetical protein
JKGEANKL_00013	CDS	696				hypothetical protein
JKGEANKL_00014	CDS	642				hypothetical protein
JKGEANKL_00015	CDS	714				hypothetical protein
JKGEANKL_00016	CDS	405				hypothetical protein
JKGEANKL_00017	CDS	1164				hypothetical protein
JKGEANKL_00018	CDS	3669				hypothetical protein
JKGEANKL_00019	CDS	942				hypothetical protein
JKGEANKL_00020	CDS	342				hypothetical protein
JKGEANKL_00021	CDS	150				hypothetical protein
JKGEANKL_00022	CDS	462				hypothetical protein
JKGEANKL_00023	CDS	765				hypothetical protein
JKGEANKL_00024	CDS	1113				hypothetical protein
JKGEANKL_00025	CDS	1446				hypothetical protein
JKGEANKL_00026	CDS	690				hypothetical protein
JKGEANKL_00027	CDS	1191				hypothetical protein
JKGEANKL_00028	CDS	315				hypothetical protein
JKGEANKL_00029	CDS	2160				hypothetical protein
JKGEANKL_00030	CDS	924				hypothetical protein
JKGEANKL_00031	CDS	1644				hypothetical protein
JKGEANKL_00032	CDS	828				hypothetical protein
JKGEANKL_00033	CDS	2109				hypothetical protein
JKGEANKL_00034	CDS	852				hypothetical protein
JKGEANKL_00035	CDS	453				hypothetical protein
JKGEANKL_00036	CDS	708				hypothetical protein
JKGEANKL_00037	CDS	1773				hypothetical protein
JKGEANKL_00038	CDS	648				hypothetical protein
JKGEANKL_00039	CDS	891				hypothetical protein
JKGEANKL_00040	CDS	285				hypothetical protein
JKGEANKL_00041	CDS	432				hypothetical protein
JKGEANKL_00042	CDS	615				hypothetical protein
JKGEANKL_00043	CDS	324				hypothetical protein
JKGEANKL_00044	CDS	543				hypothetical protein
JKGEANKL_00045	CDS	378				hypothetical protein
JKGEANKL_00046	CDS	555				hypothetical protein
JKGEANKL_00047	CDS	420				hypothetical protein
JKGEANKL_00048	CDS	372				hypothetical protein
JKGEANKL_00049	CDS	273				hypothetical protein
JKGEANKL_00050	CDS	414				hypothetical protein
JKGEANKL_00051	CDS	648				hypothetical protein
JKGEANKL_00052	CDS	342				hypothetical protein
JKGEANKL_00053	CDS	306				hypothetical protein
JKGEANKL_00054	CDS	852				hypothetical protein
JKGEANKL_00055	CDS	294				hypothetical protein
JKGEANKL_00056	CDS	609				hypothetical protein
JKGEANKL_00057	CDS	585				hypothetical protein
JKGEANKL_00058	CDS	225				hypothetical protein
JKGEANKL_00059	CDS	1173				hypothetical protein
JKGEANKL_00060	CDS	1317				hypothetical protein
JKGEANKL_00061	CDS	513				hypothetical protein
JKGEANKL_00062	CDS	1278				hypothetical protein
JKGEANKL_00063	CDS	846				hypothetical protein
JKGEANKL_00064	tRNA	94				tRNA-Leu(gag)
JKGEANKL_00065	CDS	648				hypothetical protein
JKGEANKL_00066	CDS	393				hypothetical protein
JKGEANKL_00067	CDS	138				hypothetical protein
JKGEANKL_00068	CDS	144				hypothetical protein
JKGEANKL_00069	CDS	225				hypothetical protein
JKGEANKL_00070	CDS	465				hypothetical protein
JKGEANKL_00071	CDS	675				hypothetical protein
JKGEANKL_00072	CDS	5490				hypothetical protein
JKGEANKL_00073	CDS	165				hypothetical protein
JKGEANKL_00074	CDS	681				hypothetical protein
JKGEANKL_00075	CDS	660				hypothetical protein
JKGEANKL_00076	CDS	4974				hypothetical protein
JKGEANKL_00077	CDS	1575				hypothetical protein
JKGEANKL_00078	tRNA	74				tRNA-Thr(tgt)
JKGEANKL_00079	CDS	375				hypothetical protein
JKGEANKL_00080	CDS	318				hypothetical protein
JKGEANKL_00081	CDS	642				hypothetical protein
JKGEANKL_00082	CDS	1635				hypothetical protein
JKGEANKL_00083	CDS	1179				hypothetical protein
JKGEANKL_00084	CDS	2175				hypothetical protein
JKGEANKL_00085	CDS	540				hypothetical protein
JKGEANKL_00086	CDS	621				hypothetical protein
JKGEANKL_00087	CDS	1557				hypothetical protein
JKGEANKL_00088	CDS	447				hypothetical protein
JKGEANKL_00089	tRNA	77				tRNA-Gly(tcc)
JKGEANKL_00090	CDS	564				hypothetical protein
JKGEANKL_00091	CDS	204				hypothetical protein
JKGEANKL_00092	CDS	561				hypothetical protein
JKGEANKL_00093	CDS	417				hypothetical protein
JKGEANKL_00094	CDS	1884				hypothetical protein
JKGEANKL_00095	CDS	216				hypothetical protein
JKGEANKL_00096	CDS	645				hypothetical protein
JKGEANKL_00097	CDS	1176				hypothetical protein
JKGEANKL_00098	CDS	1089				hypothetical protein
JKGEANKL_00099	CDS	507				hypothetical protein
JKGEANKL_00100	CDS	2919				hypothetical protein
JKGEANKL_00101	CDS	1146				hypothetical protein
JKGEANKL_00102	CDS	642				hypothetical protein
JKGEANKL_00103	CDS	483				hypothetical protein
JKGEANKL_00104	CDS	645				hypothetical protein
JKGEANKL_00105	CDS	693				hypothetical protein
JKGEANKL_00106	CDS	843				hypothetical protein
JKGEANKL_00107	CDS	606				hypothetical protein
JKGEANKL_00108	CDS	897				hypothetical protein
JKGEANKL_00109	CDS	540				hypothetical protein
JKGEANKL_00110	CDS	1227				hypothetical protein
JKGEANKL_00111	CDS	804				hypothetical protein
JKGEANKL_00112	CDS	948				hypothetical protein
JKGEANKL_00113	CDS	891				hypothetical protein
JKGEANKL_00114	CDS	426				hypothetical protein
JKGEANKL_00115	CDS	729				hypothetical protein
JKGEANKL_00116	CDS	1254				hypothetical protein
JKGEANKL_00117	CDS	339				hypothetical protein
JKGEANKL_00118	CDS	195				hypothetical protein
JKGEANKL_00119	CDS	1638				hypothetical protein
JKGEANKL_00120	CDS	2694				hypothetical protein
JKGEANKL_00121	CDS	693				hypothetical protein
JKGEANKL_00122	CDS	2604				hypothetical protein
JKGEANKL_00123	CDS	1311				hypothetical protein
JKGEANKL_00124	CDS	1302				hypothetical protein
JKGEANKL_00125	CDS	1662				hypothetical protein
JKGEANKL_00126	CDS	654				hypothetical protein
JKGEANKL_00127	CDS	984				hypothetical protein
JKGEANKL_00128	CDS	627				hypothetical protein
JKGEANKL_00129	CDS	579				hypothetical protein
JKGEANKL_00130	CDS	1098				hypothetical protein
JKGEANKL_00131	CDS	1125				hypothetical protein
JKGEANKL_00132	CDS	1215				hypothetical protein
JKGEANKL_00133	tRNA	76				tRNA-Val(cac)
JKGEANKL_00134	CDS	969				hypothetical protein
JKGEANKL_00135	CDS	690				hypothetical protein
JKGEANKL_00136	CDS	666				hypothetical protein
JKGEANKL_00137	CDS	786				hypothetical protein
JKGEANKL_00138	CDS	1059				hypothetical protein
JKGEANKL_00139	CDS	981				hypothetical protein
JKGEANKL_00140	CDS	1242				hypothetical protein
JKGEANKL_00141	CDS	339				hypothetical protein
JKGEANKL_00142	CDS	759				hypothetical protein
JKGEANKL_00143	CDS	573				hypothetical protein
JKGEANKL_00144	CDS	249				hypothetical protein
JKGEANKL_00145	CDS	657				hypothetical protein
JKGEANKL_00146	tRNA	77				tRNA-His(gtg)
JKGEANKL_00147	CDS	264				hypothetical protein
JKGEANKL_00148	CDS	549				hypothetical protein
JKGEANKL_00149	CDS	357				hypothetical protein
JKGEANKL_00150	CDS	381				hypothetical protein
JKGEANKL_00151	CDS	528				hypothetical protein
JKGEANKL_00152	CDS	444				hypothetical protein
JKGEANKL_00153	CDS	1848				hypothetical protein
JKGEANKL_00154	CDS	534				hypothetical protein
JKGEANKL_00155	CDS	1131				hypothetical protein
JKGEANKL_00156	CDS	396				hypothetical protein
JKGEANKL_00157	CDS	1380				hypothetical protein
JKGEANKL_00158	CDS	768				hypothetical protein
JKGEANKL_00159	CDS	657				hypothetical protein
JKGEANKL_00160	CDS	870				hypothetical protein
JKGEANKL_00161	CDS	333				hypothetical protein
JKGEANKL_00162	CDS	1026				hypothetical protein
JKGEANKL_00163	CDS	603				hypothetical protein
JKGEANKL_00164	CDS	162				hypothetical protein
JKGEANKL_00165	CDS	792				hypothetical protein
JKGEANKL_00166	CDS	543				hypothetical protein
JKGEANKL_00167	CDS	2379				hypothetical protein
JKGEANKL_00168	CDS	240				hypothetical protein
JKGEANKL_00169	CDS	1176				hypothetical protein
JKGEANKL_00170	CDS	699				hypothetical protein
JKGEANKL_00171	CDS	534				hypothetical protein
JKGEANKL_00172	CDS	420				hypothetical protein
JKGEANKL_00173	CDS	579				hypothetical protein
JKGEANKL_00174	CDS	1338				hypothetical protein
JKGEANKL_00175	CDS	300				hypothetical protein
JKGEANKL_00176	CDS	969				hypothetical protein
JKGEANKL_00177	CDS	885				hypothetical protein
JKGEANKL_00178	CDS	129				hypothetical protein
JKGEANKL_00179	CDS	2862				hypothetical protein
JKGEANKL_00180	CDS	351				hypothetical protein
JKGEANKL_00181	CDS	297				hypothetical protein
JKGEANKL_00182	CDS	615				hypothetical protein
JKGEANKL_00183	CDS	354				hypothetical protein
JKGEANKL_00184	CDS	393				hypothetical protein
JKGEANKL_00185	CDS	1845				hypothetical protein
JKGEANKL_00186	CDS	588				hypothetical protein
JKGEANKL_00187	CDS	258				hypothetical protein
JKGEANKL_00188	CDS	828				hypothetical protein
JKGEANKL_00189	CDS	2109				hypothetical protein
JKGEANKL_00190	CDS	396				hypothetical protein
JKGEANKL_00191	CDS	852				hypothetical protein
JKGEANKL_00192	CDS	489				hypothetical protein
JKGEANKL_00193	CDS	765				hypothetical protein
JKGEANKL_00194	CDS	1182				hypothetical protein
JKGEANKL_00195	CDS	978				hypothetical protein
JKGEANKL_00196	CDS	156				hypothetical protein
JKGEANKL_00197	CDS	2475				hypothetical protein
JKGEANKL_00198	CDS	1479				hypothetical protein
JKGEANKL_00199	CDS	876				hypothetical protein
JKGEANKL_00200	CDS	1842				hypothetical protein
JKGEANKL_00201	tRNA	77				tRNA-Asp(gtc)
JKGEANKL_00202	CDS	321				hypothetical protein
JKGEANKL_00203	CDS	1575				hypothetical protein
JKGEANKL_00204	CDS	948				hypothetical protein
JKGEANKL_00205	CDS	537				hypothetical protein
JKGEANKL_00206	CDS	504				hypothetical protein
JKGEANKL_00207	CDS	561				hypothetical protein
JKGEANKL_00208	CDS	645				hypothetical protein
JKGEANKL_00209	CDS	2961				hypothetical protein
JKGEANKL_00210	CDS	330				hypothetical protein
JKGEANKL_00211	CDS	1572				hypothetical protein
JKGEANKL_00212	CDS	495				hypothetical protein
JKGEANKL_00213	CDS	828				hypothetical protein
JKGEANKL_00214	CDS	504				hypothetical protein
JKGEANKL_00215	CDS	2001				hypothetical protein
JKGEANKL_00216	CDS	672				hypothetical protein
JKGEANKL_00217	CDS	1608				hypothetical protein
JKGEANKL_00218	CDS	2682				hypothetical protein
JKGEANKL_00219	CDS	360				hypothetical protein
JKGEANKL_00220	CDS	1824	LIG	6.5.1.1		DNA ligase
JKGEANKL_00221	CDS	3390				hypothetical protein
JKGEANKL_00222	CDS	1209				hypothetical protein
JKGEANKL_00223	CDS	1044				hypothetical protein
JKGEANKL_00224	CDS	1296				hypothetical protein
JKGEANKL_00225	CDS	927				hypothetical protein
JKGEANKL_00226	CDS	4485				hypothetical protein
JKGEANKL_00227	CDS	513				hypothetical protein
JKGEANKL_00228	CDS	993				hypothetical protein
JKGEANKL_00229	tRNA	73				tRNA-Asn(gtt)
JKGEANKL_00230	CDS	369				hypothetical protein
JKGEANKL_00231	CDS	687				hypothetical protein
JKGEANKL_00232	CDS	1149				hypothetical protein
JKGEANKL_00233	CDS	756				hypothetical protein
JKGEANKL_00234	CDS	381				hypothetical protein
JKGEANKL_00235	CDS	1287				hypothetical protein
JKGEANKL_00236	CDS	969				hypothetical protein
JKGEANKL_00237	CDS	411				hypothetical protein
JKGEANKL_00238	CDS	1812				hypothetical protein
JKGEANKL_00239	CDS	624				hypothetical protein
JKGEANKL_00240	CDS	699				hypothetical protein
JKGEANKL_00241	CDS	102				hypothetical protein
JKGEANKL_00242	CDS	417				hypothetical protein
JKGEANKL_00243	CDS	798				hypothetical protein
JKGEANKL_00244	CDS	465				hypothetical protein
JKGEANKL_00245	CDS	738				hypothetical protein
JKGEANKL_00246	CDS	939				hypothetical protein
JKGEANKL_00247	CDS	684				hypothetical protein
JKGEANKL_00248	CDS	1020				hypothetical protein
JKGEANKL_00249	CDS	1164				hypothetical protein
JKGEANKL_00250	CDS	930				hypothetical protein
JKGEANKL_00251	CDS	651				hypothetical protein
JKGEANKL_00252	CDS	387				hypothetical protein
JKGEANKL_00253	CDS	1188				hypothetical protein
JKGEANKL_00254	CDS	1695				hypothetical protein
JKGEANKL_00255	CDS	1257				hypothetical protein
JKGEANKL_00256	CDS	789				hypothetical protein
JKGEANKL_00257	CDS	738				hypothetical protein
JKGEANKL_00258	CDS	798				hypothetical protein
JKGEANKL_00259	CDS	300				hypothetical protein
JKGEANKL_00260	CDS	207				hypothetical protein
JKGEANKL_00261	CDS	708				hypothetical protein
JKGEANKL_00262	CDS	624				hypothetical protein
JKGEANKL_00263	CDS	486				hypothetical protein
JKGEANKL_00264	CDS	594				hypothetical protein
JKGEANKL_00265	CDS	282				hypothetical protein
JKGEANKL_00266	CDS	1623				hypothetical protein
JKGEANKL_00267	CDS	459				hypothetical protein
JKGEANKL_00268	CDS	1467				hypothetical protein
JKGEANKL_00269	CDS	975				hypothetical protein
JKGEANKL_00270	tRNA	89				tRNA-Ser(tga)
JKGEANKL_00271	CDS	852				hypothetical protein
JKGEANKL_00272	CDS	600				hypothetical protein
JKGEANKL_00273	CDS	1170				hypothetical protein
JKGEANKL_00274	CDS	1377				hypothetical protein
JKGEANKL_00275	CDS	1545				hypothetical protein
JKGEANKL_00276	CDS	1131				hypothetical protein
JKGEANKL_00277	CDS	1830				hypothetical protein
JKGEANKL_00278	CDS	636				hypothetical protein
JKGEANKL_00279	CDS	735				hypothetical protein
JKGEANKL_00280	CDS	1392				hypothetical protein
JKGEANKL_00281	CDS	483				hypothetical protein
JKGEANKL_00282	CDS	201				hypothetical protein
JKGEANKL_00283	CDS	792				hypothetical protein
JKGEANKL_00284	CDS	315				hypothetical protein
JKGEANKL_00285	CDS	321				hypothetical protein
JKGEANKL_00286	CDS	1515				hypothetical protein
JKGEANKL_00287	CDS	1854				hypothetical protein
JKGEANKL_00288	CDS	435				hypothetical protein
JKGEANKL_00289	CDS	1095				hypothetical protein
JKGEANKL_00290	CDS	453				hypothetical protein
JKGEANKL_00291	CDS	447				hypothetical protein
JKGEANKL_00292	CDS	3099				hypothetical protein
JKGEANKL_00293	CDS	441				hypothetical protein
JKGEANKL_00294	tRNA	74				tRNA-Met(cat)
JKGEANKL_00295	CDS	387				hypothetical protein
JKGEANKL_00296	CDS	1002				hypothetical protein
JKGEANKL_00297	CDS	432				hypothetical protein
JKGEANKL_00298	CDS	225				hypothetical protein
JKGEANKL_00299	CDS	1200				hypothetical protein
JKGEANKL_00300	CDS	1929				hypothetical protein
JKGEANKL_00301	CDS	423				hypothetical protein
JKGEANKL_00302	CDS	384				putative protein L612
JKGEANKL_00303	CDS	564				hypothetical protein
JKGEANKL_00304	CDS	1047				hypothetical protein
JKGEANKL_00305	CDS	753				hypothetical protein
JKGEANKL_00306	CDS	1200				hypothetical protein
JKGEANKL_00307	CDS	1701				hypothetical protein
JKGEANKL_00308	CDS	798				hypothetical protein
JKGEANKL_00309	CDS	1695				hypothetical protein
JKGEANKL_00310	CDS	678				hypothetical protein
JKGEANKL_00311	CDS	435				hypothetical protein
JKGEANKL_00312	CDS	456				hypothetical protein
JKGEANKL_00313	CDS	1920				hypothetical protein
JKGEANKL_00314	CDS	1452				hypothetical protein
JKGEANKL_00315	CDS	879				hypothetical protein
JKGEANKL_00316	CDS	336				hypothetical protein
JKGEANKL_00317	CDS	567				hypothetical protein
JKGEANKL_00318	CDS	198				hypothetical protein
JKGEANKL_00319	CDS	561				hypothetical protein
JKGEANKL_00320	CDS	270				hypothetical protein
JKGEANKL_00321	CDS	336				hypothetical protein
JKGEANKL_00322	CDS	525				hypothetical protein
JKGEANKL_00323	CDS	588				hypothetical protein
JKGEANKL_00324	CDS	261				hypothetical protein
JKGEANKL_00325	CDS	237				hypothetical protein
JKGEANKL_00326	CDS	210				hypothetical protein
JKGEANKL_00327	CDS	240				hypothetical protein
JKGEANKL_00328	CDS	546				hypothetical protein
JKGEANKL_00329	CDS	504				hypothetical protein
JKGEANKL_00330	CDS	657				hypothetical protein
JKGEANKL_00331	CDS	624				hypothetical protein
JKGEANKL_00332	CDS	123				hypothetical protein
JKGEANKL_00333	CDS	237				hypothetical protein
JKGEANKL_00334	CDS	225				hypothetical protein
JKGEANKL_00335	CDS	195				hypothetical protein
JKGEANKL_00336	CDS	222				hypothetical protein
JKGEANKL_00337	CDS	234				hypothetical protein
JKGEANKL_00338	CDS	261				hypothetical protein
JKGEANKL_00339	CDS	198				hypothetical protein
JKGEANKL_00340	CDS	99				hypothetical protein
JKGEANKL_00341	CDS	147				hypothetical protein
JKGEANKL_00342	CDS	135				hypothetical protein
JKGEANKL_00343	CDS	207				hypothetical protein
JKGEANKL_00344	CDS	150				hypothetical protein
JKGEANKL_00345	CDS	318				hypothetical protein
JKGEANKL_00346	CDS	354				hypothetical protein
JKGEANKL_00347	CDS	213				hypothetical protein
JKGEANKL_00348	CDS	375				hypothetical protein
JKGEANKL_00349	CDS	150				hypothetical protein
JKGEANKL_00350	CDS	216				hypothetical protein
JKGEANKL_00351	CDS	294				hypothetical protein
JKGEANKL_00352	CDS	1836				hypothetical protein
JKGEANKL_00353	CDS	969				hypothetical protein
JKGEANKL_00354	CDS	936				hypothetical protein
JKGEANKL_00355	CDS	1275				hypothetical protein
