Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count
QGNH01000001.1	36.0	30.0	6.0	0.0	0.0	33.0	7.0	25.0	1.0	2.0
QGNH01000002.1	35.0	5.0	2.0	28.0	1.0	35.0	5.0	29.0	1.0	2.0
QGNH01000003.1	22.0	1.0	3.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000004.1	25.0	7.0	1.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000005.1	17.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000006.1	19.0	3.0	0.0	16.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000007.1	10.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000008.1	19.0	6.0	3.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000009.1	10.0	5.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000010.1	19.0	7.0	2.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000011.1	16.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000012.1						0.0	0.0	0.0	0.0	0.0
QGNH01000013.1	18.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000014.1	19.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000015.1	19.0	4.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000016.1	13.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000017.1						0.0	0.0	0.0	0.0	0.0
QGNH01000018.1	35.0	4.0	2.0	29.0	0.0	34.0	6.0	27.0	1.0	2.0
QGNH01000019.1	30.0	2.0	0.0	28.0	1.0	30.0	2.0	27.0	1.0	1.0
QGNH01000020.1	13.0	4.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000021.1	55.0	10.0	5.0	40.0	1.0	59.0	14.0	35.0	10.0	2.0
QGNH01000022.1	59.0	6.0	2.0	51.0	3.0	60.0	9.0	43.0	8.0	6.0
QGNH01000023.1	121.0	13.0	0.0	108.0	4.0	126.0	16.0	95.0	15.0	6.0
QGNH01000024.1	61.0	9.0	0.0	52.0	4.0	64.0	15.0	44.0	5.0	6.0
QGNH01000025.1	61.0	17.0	4.0	40.0	6.0	61.0	23.0	30.0	8.0	8.0
QGNH01000026.1	60.0	10.0	2.0	48.0	1.0	59.0	10.0	44.0	5.0	3.0
QGNH01000027.1	77.0	9.0	12.0	56.0	2.0	77.0	18.0	55.0	4.0	4.0
QGNH01000028.1	64.0	7.0	3.0	54.0	3.0	72.0	10.0	53.0	9.0	5.0
QGNH01000029.1	59.0	9.0	1.0	49.0	1.0	62.0	10.0	44.0	8.0	4.0
QGNH01000030.1	66.0	9.0	0.0	57.0	6.0	68.0	9.0	49.0	10.0	5.0
QGNH01000031.1	53.0	7.0	0.0	46.0	2.0	54.0	11.0	38.0	5.0	3.0
QGNH01000032.1	46.0	8.0	0.0	38.0	3.0	52.0	6.0	40.0	6.0	5.0
QGNH01000033.1	42.0	11.0	2.0	29.0	1.0	48.0	15.0	25.0	8.0	3.0
QGNH01000034.1	36.0	36.0	0.0	0.0	0.0	37.0	4.0	27.0	6.0	3.0
QGNH01000035.1	31.0	0.0	2.0	29.0	0.0	34.0	1.0	28.0	5.0	1.0
QGNH01000036.1	30.0	14.0	2.0	14.0	2.0	28.0	17.0	9.0	2.0	5.0
QGNH01000037.1	33.0	7.0	0.0	26.0	1.0	38.0	9.0	24.0	5.0	1.0
QGNH01000038.1	34.0	34.0	0.0	0.0	0.0	38.0	3.0	27.0	8.0	2.0
QGNH01000039.1	33.0	7.0	0.0	26.0	1.0	38.0	3.0	29.0	6.0	2.0
QGNH01000040.1	32.0	13.0	3.0	16.0	2.0	32.0	13.0	16.0	3.0	3.0
QGNH01000041.1						28.0	1.0	23.0	4.0	0.0
QGNH01000042.1	23.0	2.0	0.0	21.0	2.0	27.0	3.0	21.0	3.0	2.0
QGNH01000043.1	27.0	2.0	0.0	25.0	0.0	32.0	3.0	28.0	1.0	2.0
QGNH01000044.1	22.0	4.0	1.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000045.1	18.0	18.0	0.0	0.0	0.0	20.0	2.0	17.0	1.0	0.0
QGNH01000046.1	32.0	3.0	1.0	28.0	1.0	35.0	4.0	21.0	10.0	1.0
QGNH01000047.1	21.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000048.1	35.0	2.0	3.0	30.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000049.1	23.0	5.0	0.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000050.1	19.0	6.0	2.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000051.1	20.0	5.0	3.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000052.1	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000053.1	21.0	15.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000054.1						0.0	0.0	0.0	0.0	0.0
QGNH01000055.1	20.0	2.0	1.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000056.1	20.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000057.1	30.0	3.0	1.0	26.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000058.1	19.0	5.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000059.1	23.0	6.0	0.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000060.1	27.0	4.0	1.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000061.1	18.0	3.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000062.1	12.0	6.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0
QGNH01000063.1	28.0	24.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000064.1	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000065.1	14.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000066.1	9.0	6.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000067.1	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000068.1	11.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000069.1	20.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000070.1	8.0	6.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000071.1	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000072.1	17.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000073.1	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000074.1	20.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000075.1	15.0	2.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000076.1	20.0	2.0	0.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000077.1	71.0	22.0	8.0	41.0	3.0	81.0	27.0	45.0	9.0	10.0
QGNH01000078.1	43.0	13.0	4.0	26.0	1.0	46.0	15.0	27.0	4.0	5.0
QGNH01000079.1	23.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000080.1	24.0	13.0	2.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000081.1	15.0	8.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000082.1	10.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000083.1	13.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000084.1	9.0	3.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000085.1	11.0	3.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000086.1	15.0	3.0	1.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000087.1	95.0	18.0	6.0	71.0	4.0	88.0	21.0	57.0	10.0	8.0
QGNH01000088.1	63.0	9.0	1.0	53.0	2.0	67.0	9.0	50.0	8.0	3.0
QGNH01000089.1	72.0	13.0	7.0	52.0	3.0	77.0	15.0	50.0	12.0	6.0
QGNH01000090.1	86.0	6.0	3.0	77.0	1.0	83.0	8.0	64.0	11.0	1.0
QGNH01000091.1	103.0	16.0	4.0	83.0	2.0	92.0	18.0	63.0	11.0	6.0
QGNH01000092.1	75.0	14.0	5.0	56.0	2.0	81.0	18.0	53.0	10.0	8.0
QGNH01000093.1	20.0	2.0	0.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000094.1	76.0	17.0	5.0	54.0	3.0	76.0	17.0	53.0	6.0	8.0
QGNH01000095.1	13.0	4.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000096.1	62.0	10.0	4.0	48.0	2.0	56.0	13.0	36.0	7.0	2.0
QGNH01000097.1	72.0	16.0	1.0	55.0	3.0	76.0	14.0	58.0	4.0	7.0
QGNH01000098.1	121.0	12.0	0.0	109.0	4.0	125.0	15.0	96.0	14.0	6.0
QGNH01000099.1	68.0	10.0	15.0	43.0	0.0	70.0	22.0	41.0	7.0	3.0
QGNH01000100.1	95.0	14.0	5.0	76.0	7.0	95.0	22.0	61.0	12.0	15.0
QGNH01000101.1	59.0	9.0	3.0	47.0	4.0	58.0	7.0	44.0	7.0	4.0
QGNH01000102.1	81.0	17.0	2.0	62.0	5.0	84.0	21.0	48.0	15.0	13.0
QGNH01000103.1	67.0	10.0	1.0	56.0	5.0	72.0	17.0	50.0	5.0	8.0
QGNH01000104.1	89.0	12.0	3.0	74.0	2.0	89.0	14.0	67.0	8.0	5.0
QGNH01000105.1	81.0	7.0	1.0	73.0	1.0	70.0	8.0	54.0	8.0	3.0
QGNH01000106.1	75.0	16.0	6.0	53.0	6.0	71.0	17.0	44.0	10.0	6.0
