locus_tag	ftype	length_bp	gene	EC_number	COG	product
NKNJNCOP_00001	CDS	402				hypothetical protein
NKNJNCOP_00002	CDS	333				hypothetical protein
NKNJNCOP_00003	CDS	504				hypothetical protein
NKNJNCOP_00004	CDS	207				hypothetical protein
NKNJNCOP_00005	CDS	591				hypothetical protein
NKNJNCOP_00006	CDS	513				hypothetical protein
NKNJNCOP_00007	CDS	198				hypothetical protein
NKNJNCOP_00008	CDS	411				hypothetical protein
NKNJNCOP_00009	CDS	174				hypothetical protein
NKNJNCOP_00010	CDS	1581				hypothetical protein
NKNJNCOP_00011	CDS	642				hypothetical protein
NKNJNCOP_00012	CDS	345				hypothetical protein
NKNJNCOP_00013	CDS	612				hypothetical protein
NKNJNCOP_00014	CDS	324				hypothetical protein
NKNJNCOP_00015	CDS	816				hypothetical protein
NKNJNCOP_00016	CDS	357				hypothetical protein
NKNJNCOP_00017	CDS	321				hypothetical protein
NKNJNCOP_00018	CDS	324				hypothetical protein
NKNJNCOP_00019	CDS	1665				hypothetical protein
NKNJNCOP_00020	CDS	2361				hypothetical protein
NKNJNCOP_00021	CDS	300				hypothetical protein
NKNJNCOP_00022	CDS	1359				hypothetical protein
NKNJNCOP_00023	CDS	267				hypothetical protein
NKNJNCOP_00024	CDS	372				hypothetical protein
NKNJNCOP_00025	CDS	1449				hypothetical protein
NKNJNCOP_00026	CDS	1575				hypothetical protein
NKNJNCOP_00027	CDS	1182				hypothetical protein
NKNJNCOP_00028	CDS	276				hypothetical protein
NKNJNCOP_00029	CDS	747				hypothetical protein
NKNJNCOP_00030	CDS	555				hypothetical protein
NKNJNCOP_00031	CDS	477				hypothetical protein
NKNJNCOP_00032	CDS	327				hypothetical protein
NKNJNCOP_00033	CDS	981				hypothetical protein
NKNJNCOP_00034	CDS	477				hypothetical protein
NKNJNCOP_00035	CDS	459				hypothetical protein
NKNJNCOP_00036	CDS	1308				hypothetical protein
NKNJNCOP_00037	CDS	444				hypothetical protein
NKNJNCOP_00038	CDS	1470				hypothetical protein
NKNJNCOP_00039	CDS	804				hypothetical protein
NKNJNCOP_00040	CDS	996				hypothetical protein
NKNJNCOP_00041	CDS	873				hypothetical protein
NKNJNCOP_00042	CDS	528				hypothetical protein
NKNJNCOP_00043	CDS	378				hypothetical protein
NKNJNCOP_00044	CDS	171				hypothetical protein
NKNJNCOP_00045	CDS	318				hypothetical protein
NKNJNCOP_00046	CDS	222				hypothetical protein
NKNJNCOP_00047	CDS	255				hypothetical protein
NKNJNCOP_00048	CDS	96				hypothetical protein
NKNJNCOP_00049	CDS	636				hypothetical protein
NKNJNCOP_00050	CDS	1593				hypothetical protein
NKNJNCOP_00051	CDS	1098				hypothetical protein
NKNJNCOP_00052	CDS	1254				hypothetical protein
NKNJNCOP_00053	CDS	489				hypothetical protein
NKNJNCOP_00054	CDS	402				hypothetical protein
NKNJNCOP_00055	CDS	813				hypothetical protein
NKNJNCOP_00056	CDS	303				hypothetical protein
NKNJNCOP_00057	CDS	504				hypothetical protein
NKNJNCOP_00058	CDS	177				hypothetical protein
NKNJNCOP_00059	CDS	282				hypothetical protein
NKNJNCOP_00060	CDS	408				hypothetical protein
NKNJNCOP_00061	CDS	306				hypothetical protein
NKNJNCOP_00062	CDS	480				hypothetical protein
NKNJNCOP_00063	CDS	420				hypothetical protein
NKNJNCOP_00064	CDS	231				hypothetical protein
NKNJNCOP_00065	CDS	1848				hypothetical protein
NKNJNCOP_00066	CDS	345				hypothetical protein
NKNJNCOP_00067	CDS	1194				hypothetical protein
NKNJNCOP_00068	CDS	237				hypothetical protein
NKNJNCOP_00069	CDS	2355				hypothetical protein
NKNJNCOP_00070	CDS	528				hypothetical protein
NKNJNCOP_00071	CDS	726				hypothetical protein
NKNJNCOP_00072	CDS	165				hypothetical protein
NKNJNCOP_00073	CDS	1554				hypothetical protein
NKNJNCOP_00074	CDS	438				hypothetical protein
NKNJNCOP_00075	CDS	561				hypothetical protein
