locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NZ_JAAAJC010000001.1_1_1												Hypothetical
NZ_JAAAJC010000001.1_1_2		K23685	COG1216	GT27	phrog_841	VOG00739	KEGG:K23685	310	7e-119	394.3	2.4.1.-	aglI; glycosyltransferase AglI
NZ_JAAAJC010000001.1_1_3												Hypothetical
NZ_JAAAJC010000001.1_1_4		K16703		GT4			KEGG:K16703	96	9.8e-31	104.7	2.4.-.-	wcaL, amsK; colanic acid/amylovoran biosynthesis glycosyltransferase
NZ_JAAAJC010000001.1_1_5												Hypothetical
NZ_JAAAJC010000001.1_1_6		K03328	COG2244				COG:COG2244	501	1.9e-90	301.5		RfbX:
NZ_JAAAJC010000001.1_1_7		K00661	COG0110		phrog_16087	VOG20801	COG:COG0110	219	5.3e-39	131.8		WbbJ:
NZ_JAAAJC010000001.1_1_8		K01133					KEGG:K01133	346	1.3e-07	28.2	3.1.6.6	betC; choline-sulfatase
NZ_JAAAJC010000001.1_1_9		K01858	COG1260				COG:COG1260	408	1.9e-104	347.3		INO1:
NZ_JAAAJC010000001.1_1_10		K19670	COG1524				COG:COG1524	449	5.1e-62	207.8		AtaC:
NZ_JAAAJC010000001.1_1_11		K05921	COG0179				COG:COG0179	238	2.3e-77	258.7		YcgM:
NZ_JAAAJC010000001.1_1_12			COG2135		phrog_1599	VOG12468	COG:COG2135	232	2.4e-88	293.6		SRAP:
NZ_JAAAJC010000001.1_1_13					phrog_20037	VOG25484	VOG:VOG25484	50	9.7e-08	29.6		REFSEQ hypothetical protein
NZ_JAAAJC010000001.1_1_14												Hypothetical
NZ_JAAAJC010000001.1_1_15												Hypothetical
NZ_JAAAJC010000001.1_1_16			COG1915				COG:COG1915	429	4.1e-191	633.9		:
NZ_JAAAJC010000001.1_1_17		K02291	COG1562				COG:COG1562	315	2.1e-100	334.4		ERG9:
NZ_JAAAJC010000001.1_1_18		K08977	COG2324				KEGG:K08977	283	1.6e-126	418.7	4.2.1.161	cruF; bisanhydrobacterioruberin hydratase
NZ_JAAAJC010000001.1_1_19		K20616	COG0382				KEGG:K20616	299	4.1e-135	446.8	2.5.1.150	lyeJ; lycopene elongase/hydratase (dihydrobisanhydrobacterioruberin-forming)
NZ_JAAAJC010000001.1_1_20		K20611	COG1233		phrog_6397	VOG01756	KEGG:K20611	505	1.1e-264	876.0	1.3.99.37	crtD; 1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase
NZ_JAAAJC010000001.1_1_21												Hypothetical
NZ_JAAAJC010000001.1_1_22		K01278	COG1506	CE7, CE1	phrog_3341		COG:COG1506	598	1.2e-103	339.7		DAP2:
NZ_JAAAJC010000001.1_1_23		K18445	COG1051		phrog_1198	VOG00917	COG:COG1051	170	8.5e-14	49.2		YjhB:
NZ_JAAAJC010000001.1_1_24			COG2340		phrog_16914		COG:COG2340	256	1.5e-41	140.0		YkwD:
NZ_JAAAJC010000001.1_1_25												Hypothetical
NZ_JAAAJC010000001.1_1_26												Hypothetical
NZ_JAAAJC010000001.1_1_27		K10844	COG1199		phrog_2488	VOG04419, VOG04419	KEGG:K10844	815	4.5e-121	403.1	3.6.4.12	ERCC2, XPD; DNA excision repair protein ERCC-2
NZ_JAAAJC010000001.1_1_28												Hypothetical
NZ_JAAAJC010000001.1_1_29	K00600	K00600	COG0112		phrog_9968	VOG11022	COG:COG0112	432	1.6e-214	711.4		GlyA:Serine biosynthesis
NZ_JAAAJC010000001.1_1_30	K01491	K01491	COG0190		phrog_7320	VOG22895	COG:COG0190	298	4.1e-136	450.8		FolD:
NZ_JAAAJC010000001.1_1_31	K12944	K12944	COG1051		phrog_1198	VOG00917	COG:COG1051	177	5.9e-21	72.7		YjhB:
NZ_JAAAJC010000001.1_1_32		K15510	COG2141				KEGG:K15510	319	1.2e-109	364.0	1.1.98.2	fgd1; coenzyme F420-dependent glucose-6-phosphate dehydrogenase
NZ_JAAAJC010000001.1_1_33												Hypothetical
NZ_JAAAJC010000001.1_1_34												Hypothetical
NZ_JAAAJC010000001.1_1_35		K23176	COG1807				KEGG:K23176	467	2.1e-22	76.7		mtxT; methylthioxylose transferase
NZ_JAAAJC010000001.1_1_36		K02107	COG2811				COG:COG2811	111	6.4e-27	91.8		NtpH:A/V-type ATP synthase
NZ_JAAAJC010000001.1_1_37		K02123	COG1269				KEGG:K02123	737	2.9e-172	572.3		ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I
NZ_JAAAJC010000001.1_1_38		K02124					KEGG:K02124	94	1.1e-11	42.2		ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K
NZ_JAAAJC010000001.1_1_39		K02121	COG1390				COG:COG1390	194	2.3e-56	188.2		NtpE:A/V-type ATP synthase
NZ_JAAAJC010000001.1_1_40		K02119	COG1527				COG:COG1527	351	1.2e-118	393.8		NtpC:A/V-type ATP synthase
NZ_JAAAJC010000001.1_1_41		K02122	COG1436				COG:COG1436	109	1.2e-30	104.1		NtpF:A/V-type ATP synthase
NZ_JAAAJC010000001.1_1_42		K02117	COG1155				KEGG:K02117	586	5.9e-277	917.2	7.1.2.2 7.2.2.1	ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A
NZ_JAAAJC010000001.1_1_43		K02118	COG1156				COG:COG1156	481	3e-234	775.8		NtpB:A/V-type ATP synthase
NZ_JAAAJC010000001.1_1_44		K02120	COG1394				KEGG:K02120	234	1.3e-85	283.9		ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D
NZ_JAAAJC010000001.1_1_45	K02523	K02523	COG0142				COG:COG0142	355	1.1e-81	272.3		IspA:Isoprenoid biosynthesis
NZ_JAAAJC010000001.1_1_46	K00588	K00588	COG4122		phrog_15516	VOG24845	COG:COG4122	220	1.4e-56	189.8		TrmR:tRNA modification
NZ_JAAAJC010000001.1_1_47		K19701	COG2234		phrog_35827		COG:COG2234	452	1.3e-80	269.4		Iap:
NZ_JAAAJC010000001.1_1_48		K01073	COG1607		phrog_18230		COG:COG1607	149	7.4e-58	194.0		YciA:
NZ_JAAAJC010000001.1_1_49			COG4781				COG:COG4781	257	1.1e-07	28.4		UgpQ1:
NZ_JAAAJC010000001.1_1_50			COG1916				COG:COG1916	499	2.4e-150	498.3		:
NZ_JAAAJC010000001.1_1_51		K06402	COG1994				COG:COG1994	213	6.5e-37	125.4		SpoIVFB:
NZ_JAAAJC010000001.1_1_52	K01933	K01933	COG0150		phrog_1207	VOG09964	COG:COG0150	323	4.6e-117	389.3		PurM:Purine biosynthesis
NZ_JAAAJC010000001.1_1_53		K04767, K07182	COG3620		phrog_1373	VOG00002	COG:COG3620	181	1.1e-56	190.0		AF2118:
NZ_JAAAJC010000001.1_1_54		K20034	COG0365		phrog_36676	VOG21292, VOG21292	KEGG:K20034	533	1.9e-168	559.6	6.2.1.44	dmdB; 3-(methylthio)propionyl---CoA ligase
NZ_JAAAJC010000001.1_1_55		K07398	COG1370				KEGG:K07398	167	4.4e-63	209.4		K07398; conserved protein with predicted RNA binding PUA domain
NZ_JAAAJC010000001.1_1_56												Hypothetical
NZ_JAAAJC010000001.1_1_57			COG1432				COG:COG1432	166	5.5e-54	181.3		LabA:
NZ_JAAAJC010000001.1_1_58	K10112	K10112	COG3839		phrog_293	VOG06047	FOAM:K10112	395	1.2e-163	544.2	7.5.2.-	msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein
NZ_JAAAJC010000001.1_1_59	K02026	K02026	COG0395		phrog_1577		COG:COG0395	280	9e-87	289.2		UgpE:
NZ_JAAAJC010000001.1_1_60	K02025	K02025	COG1175		phrog_20211		COG:COG1175	314	1.3e-88	295.1		UgpA:
NZ_JAAAJC010000001.1_1_61	K10227	K10227	COG1653				COG:COG1653	473	2.6e-70	235.2		UgpB:
NZ_JAAAJC010000001.1_1_62		K16213	COG2942				COG:COG2942	420	3.7e-119	396.3		YihS:
NZ_JAAAJC010000001.1_1_63		K01455	COG2421				COG:COG2421	436	4.2e-61	204.2		FmdA:
NZ_JAAAJC010000001.1_1_64	K01714	K01714	COG0329				COG:COG0329	306	9.2e-125	414.4		DapA:Lysine biosynthesis
NZ_JAAAJC010000001.1_1_65	K00215	K00215	COG0289				COG:COG0289	255	6.7e-81	269.3		DapB:Lysine biosynthesis
NZ_JAAAJC010000001.1_1_66	K00674	K00674	COG2171		phrog_5353		COG:COG2171	276	2.3e-84	281.4		DapD:Lysine biosynthesis
NZ_JAAAJC010000001.1_1_67	K01586	K01586	COG0019			VOG08956	COG:COG0019	415	2.1e-123	410.0		LysA:Lysine biosynthesis
NZ_JAAAJC010000001.1_1_68	K01778	K01778	COG0253				COG:COG0253	294	7.5e-95	316.8		DapF:Lysine biosynthesis
NZ_JAAAJC010000001.1_1_69	K01438	K01438	COG0624		phrog_14842		FOAM:K01438	368	5e-88	294.2	3.5.1.16	argE; acetylornithine deacetylase
NZ_JAAAJC010000001.1_1_70		K03594	COG2406				COG:COG2406	154	7e-47	156.7		DPS:
NZ_JAAAJC010000001.1_1_71		K16331	COG0306			VOG19351	KEGG:K16331	423	1.6e-99	330.2		ylnA, cysP; sulfate permease
NZ_JAAAJC010000001.1_1_72		K06149	COG0589		phrog_6929		COG:COG0589	155	8.9e-40	134.7		UspA:
NZ_JAAAJC010000001.1_1_73	K01756	K01756	COG0015		phrog_1703	VOG20698	COG:COG0015	461	1.3e-128	427.3		PurB:Purine biosynthesis
NZ_JAAAJC010000001.1_1_74		K24971	COG1293				COG:COG1293	698	2e-163	543.1		RqcH:
NZ_JAAAJC010000001.1_1_75		K08982	COG4818		phrog_16989		COG:COG4818	239	6.9e-37	124.3		:
NZ_JAAAJC010000001.1_1_76			COG2314		phrog_16989		PHROG:phrog_16989	151	1.5e-07	27.4		membrane protein
NZ_JAAAJC010000001.1_1_77												Hypothetical
