target	query	e-value	score	length	start	end
NZ_ASXD01000006.1_68708_70309_-	K22719	1.6e-50	121.4	533	239	529
NZ_ASXD01000004.1_17240_18226_-	K22719	1.5e-55	186.4	328	2	310
NZ_ASXD01000047.1_16599_18848_-	K06877	1.1e-257	855.1	749	6	726
NZ_ASXD01000020.1_9932_11377_+	K05592	5.6e-171	546.3	481	5	389
NZ_ASXD01000054.1_8371_9789_+	K03654	4.6e-153	508.7	472	5	452
NZ_ASXD01000003.1_1_23688_24956_-	K18692	2.1e-166	551.5	422	2	416
NZ_ASXD01000007.1_59398_60960_+	K05592	2.5e-195	648.1	520	8	470
NZ_ASXD01000007.1_42778_43944_-	K05592	1e-109	365.2	388	6	370
NZ_ASXD01000038.1_11448_13478_-	K03655	3.6e-210	698.2	676	5	665
NZ_ASXD01000002.1_48615_49895_+	K01637	2.7e-210	407.3	426	5	245
NZ_ASXD01000002.1_48615_49895_+	K01637	2.7e-210	294.3	426	246	423
NZ_ASXD01000045.1_21147_22277_-	K00259	1.9e-164	544.7	376	1	370
NZ_ASXD01000051.1_2755_4299_-	K00666	5.9e-166	551.0	514	3	508
NZ_ASXD01000050.1_8012_9685_+	K00666	9.9e-162	537.1	557	23	547
NZ_ASXD01000008.1_41131_42843_-	K01895	6.7e-218	723.3	568	18	568
NZ_ASXD01000007.1_64406_65776_-	K01911	8.6e-123	408.4	456	8	449
NZ_ASXD01000084.1_9758_11305_+	K00666	1.9e-100	334.2	515	45	507
NZ_ASXD01000048.1_19949_21220_-	K09667	1.3e-34	77.7	423	15	328
NZ_ASXD01000009.1_56146_56946_-	K00240	4.1e-73	243.9	262	6	249
NZ_ASXD01000022.1_34246_35427_-	K08153	1.4e-104	348.1	381	1	375
NZ_ASXD01000100.1_1653_2897_-	K08152	5.1e-64	213.0	414	5	401
NZ_ASXD01000007.1_26161_27630_+	K08166	2.1e-86	287.6	489	6	481
NZ_ASXD01000001.1_110027_111268_-	K08194	1.7e-79	265.2	413	15	410
NZ_ASXD01000007.1_32316_33482_+	K08153	8.8e-60	200.2	388	5	380
NZ_ASXD01000081.1_8323_9645_-	K08162	2.1e-60	201.9	379	10	370
NZ_ASXD01000074.1_4948_6090_+	K08153	2.7e-39	132.4	380	6	369
