Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
AF065411	39.0	39.0	0.0	0.0	7.0	5.0	0.0	2.0	44.0	17.0	27.0	0.0	38.0	16.0	22.0	0.0	38.0	0.0	38.0	0.0
AF222060	113.0	113.0	0.0	0.0	8.0	5.0	0.0	3.0	114.0	41.0	73.0	0.0					117.0	4.0	113.0	0.0
AF301375	46.0	46.0	0.0	0.0	8.0	7.0	0.0	1.0	52.0	18.0	34.0	0.0					45.0	0.0	45.0	0.0
AM419438					6.0	5.0	0.0	1.0	65.0	18.0	47.0	0.0	46.0	17.0	29.0	0.0	64.0	1.0	63.0	0.0
AY190604	112.0	112.0	0.0	0.0	8.0	4.0	0.0	4.0	113.0	42.0	71.0	0.0	102.0	41.0	61.0	0.0	116.0	4.0	112.0	0.0
GCA_000888415.1					4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0					15.0	0.0	15.0	0.0
GCA_000896815.1					7.0	4.0	0.0	3.0	39.0	10.0	29.0	0.0	28.0	9.0	19.0	0.0	31.0	0.0	31.0	0.0
GCA_001441135.1	52.0	52.0	0.0	0.0	6.0	4.0	0.0	2.0	58.0	12.0	46.0	0.0					51.0	0.0	51.0	0.0
GCA_002271085.1					4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0					24.0	0.0	24.0	0.0
GCA_002890195.1	34.0	34.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	5.0	28.0	0.0	34.0	1.0	33.0	0.0
GCA_002989825.1					7.0	4.0	0.0	3.0	37.0	8.0	29.0	0.0					30.0	0.0	30.0	0.0
GCA_002990085.1					5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0					23.0	0.0	23.0	0.0
GCA_003004805.1					8.0	4.0	0.0	4.0	66.0	11.0	55.0	0.0					64.0	1.0	63.0	0.0
GCA_020497825.1					5.0	3.0	0.0	2.0	34.0	8.0	26.0	0.0	33.0	9.0	24.0	0.0	36.0	0.0	36.0	0.0
GCA_020497835.1					1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	12.0	0.0	16.0	0.0	16.0	0.0
GCA_020497845.1					2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0					8.0	0.0	8.0	0.0
GCA_020497855.1					3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	17.0	4.0	13.0	0.0	18.0	0.0	18.0	0.0
GCA_020497865.1					2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0	15.0	0.0	15.0	0.0
GCA_020497875.1					1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	8.0	0.0	8.0	0.0	8.0	0.0
GCA_021091095.1					6.0	3.0	0.0	3.0	42.0	4.0	38.0	0.0	29.0	4.0	25.0	0.0	33.0	0.0	33.0	0.0
GCA_029887335.1					6.0	2.0	0.0	4.0	48.0	6.0	42.0	0.0					47.0	0.0	47.0	0.0
GCA_030144915.1					6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0					28.0	0.0	28.0	0.0
GCA_030144925.1					4.0	2.0	0.0	2.0	51.0	20.0	31.0	0.0	46.0	19.0	27.0	0.0	50.0	1.0	49.0	0.0
GCA_030144935.1					3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0					40.0	0.0	40.0	0.0
HQ332141	58.0	58.0	0.0	0.0	6.0	5.0	0.0	1.0	61.0	22.0	39.0	0.0					57.0	0.0	57.0	0.0
KC117376					6.0	2.0	0.0	4.0	103.0	33.0	70.0	0.0					99.0	1.0	98.0	0.0
KC117377					6.0	5.0	0.0	1.0	166.0	65.0	101.0	0.0	144.0	62.0	82.0	0.0	163.0	1.0	162.0	0.0
KC117378					8.0	6.0	0.0	2.0	50.0	17.0	33.0	0.0	44.0	18.0	26.0	0.0	49.0	0.0	49.0	0.0
KC292020	121.0	121.0	0.0	0.0	6.0	4.0	0.0	2.0	123.0	63.0	60.0	0.0	107.0	54.0	53.0	0.0	124.0	4.0	120.0	0.0
KC292021					6.0	3.0	0.0	3.0	105.0	31.0	74.0	0.0					103.0	1.0	102.0	0.0
KC292022	110.0	110.0	0.0	0.0	8.0	5.0	0.0	3.0	109.0	41.0	68.0	0.0	99.0	39.0	60.0	0.0	113.0	3.0	110.0	0.0
KC292023					7.0	3.0	0.0	4.0	63.0	41.0	22.0	0.0					66.0	0.0	66.0	0.0
KC292024	82.0	82.0	0.0	0.0	4.0	2.0	0.0	2.0	84.0	34.0	50.0	0.0	69.0	32.0	37.0	0.0	82.0	0.0	82.0	0.0
KC292025					6.0	2.0	0.0	4.0	67.0	23.0	44.0	0.0					61.0	0.0	61.0	0.0
KC292026	243.0	243.0	0.0	0.0	7.0	4.0	0.0	3.0	265.0	69.0	196.0	0.0					293.0	38.0	255.0	0.0
KC292027					6.0	5.0	0.0	1.0	156.0	64.0	92.0	0.0	137.0	54.0	83.0	0.0	152.0	1.0	151.0	0.0
KC292028	75.0	75.0	0.0	0.0	5.0	2.0	0.0	3.0	76.0	34.0	42.0	0.0	75.0	35.0	40.0	0.0	75.0	0.0	75.0	0.0
KC292029	147.0	147.0	0.0	0.0	8.0	6.0	0.0	2.0	155.0	78.0	77.0	0.0	131.0	70.0	61.0	0.0	149.0	1.0	148.0	0.0
MG550112					7.0	1.0	0.0	6.0	69.0	38.0	31.0	0.0					70.0	0.0	70.0	0.0
MH674343	39.0	39.0	0.0	0.0	7.0	6.0	0.0	1.0	42.0	17.0	25.0	0.0	39.0	17.0	22.0	0.0	39.0	0.0	39.0	0.0
MK002701					7.0	5.0	0.0	2.0	90.0	70.0	20.0	0.0					91.0	1.0	90.0	0.0
MK310226	82.0	82.0	0.0	0.0	8.0	3.0	0.0	5.0	84.0	50.0	34.0	0.0	74.0	48.0	26.0	0.0	82.0	1.0	81.0	0.0
MK450543	92.0	92.0	0.0	0.0	8.0	4.0	0.0	4.0	94.0	36.0	58.0	0.0	85.0	32.0	53.0	0.0	92.0	0.0	92.0	0.0
MN901520	114.0	114.0	0.0	0.0	7.0	3.0	0.0	4.0	117.0	43.0	74.0	0.0					118.0	4.0	114.0	0.0
MN901521	119.0	119.0	0.0	0.0	7.0	4.0	0.0	3.0	123.0	93.0	30.0	0.0					122.0	4.0	118.0	0.0
MZ334492	121.0	121.0	0.0	0.0	5.0	3.0	0.0	2.0	119.0	70.0	49.0	0.0					124.0	4.0	120.0	0.0
MZ334493	122.0	122.0	0.0	0.0	4.0	2.0	0.0	2.0	123.0	67.0	56.0	0.0					125.0	4.0	121.0	0.0
MZ334494	123.0	123.0	0.0	0.0	7.0	5.0	0.0	2.0	122.0	66.0	56.0	0.0					126.0	4.0	122.0	0.0
MZ334495	123.0	123.0	0.0	0.0	7.0	5.0	0.0	2.0	122.0	66.0	56.0	0.0					126.0	4.0	122.0	0.0
MZ334496	115.0	115.0	0.0	0.0	8.0	5.0	0.0	3.0	119.0	62.0	57.0	0.0					118.0	5.0	113.0	0.0
