	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001886.1_1	QGNH01001886.1	QGNH01001886.1	1	3	236	1	E											0	False	F
QGNH01001886.1_2	QGNH01001886.1	QGNH01001886.1	2	768	3041	-1	D							Transcriptional regulatory protein, C terminal [PF00486.31]				0	False	F
QGNH01001886.1_3	QGNH01001886.1	QGNH01001886.1	3	3218	3427	1	E											0	False	F
QGNH01001886.1_4	QGNH01001886.1	QGNH01001886.1	4	3417	3947	1	E											0	False	F
QGNH01001886.1_5	QGNH01001886.1	QGNH01001886.1	5	3949	8199	1	D							Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin [PF15780.8]; SMP-30/Gluconolactonase/LRE-like region [PF08450.15]; NHL repeat [PF01436.24]				0	False	F
QGNH01001886.1_6	QGNH01001886.1	QGNH01001886.1	6	8211	8816	1	E											0	False	
QGNH01001886.1_7	QGNH01001886.1	QGNH01001886.1	7	8850	9560	1	E											0	False	
QGNH01001886.1_8	QGNH01001886.1	QGNH01001886.1	8	9778	9981	-1	E											0	False	
QGNH01001886.1_9	QGNH01001886.1	QGNH01001886.1	9	10005	10250	-1	D							Resolvase, N terminal domain [PF00239.24]				0	False	
QGNH01001886.1_10	QGNH01001886.1	QGNH01001886.1	10	10512	10784	-1	E											0	False	F
QGNH01001886.1_11	QGNH01001886.1	QGNH01001886.1	11	10867	11694	1	E	YP_009595867.1	YP_009595867.1 virion structural protein [Acinetobacter phage vB_AbaM_ME3]	False	80.0	2.564e-15	0.488					0	False	F
QGNH01001886.1_12	QGNH01001886.1	QGNH01001886.1	12	11851	12795	1	E											0	False	F
QGNH01001886.1_13	QGNH01001886.1	QGNH01001886.1	13	12908	15550	1	E											0	False	F
