	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
NC_035464.1_NC_035464.1_1	NC_035464.1	NC_035464.1	1	170	346	1	E		0
NC_035464.1_NC_035464.1_2	NC_035464.1	NC_035464.1	2	411	767	1	E		0
NC_035464.1_NC_035464.1_3	NC_035464.1	NC_035464.1	3	736	1083	1	E		0
NC_035464.1_NC_035464.1_4	NC_035464.1	NC_035464.1	4	1056	1460	1	E		0
NC_035464.1_NC_035464.1_5	NC_035464.1	NC_035464.1	5	1462	2010	1	E		0
NC_035464.1_NC_035464.1_6	NC_035464.1	NC_035464.1	6	2007	2336	1	E		0
NC_035464.1_NC_035464.1_7	NC_035464.1	NC_035464.1	7	2493	2747	1	E		0
NC_035464.1_NC_035464.1_8	NC_035464.1	NC_035464.1	8	2748	3209	1	E		0
NC_035464.1_NC_035464.1_9	NC_035464.1	NC_035464.1	9	3244	3366	1	E		0
NC_035464.1_NC_035464.1_10	NC_035464.1	NC_035464.1	10	3357	3674	1	E		0
NC_035464.1_NC_035464.1_11	NC_035464.1	NC_035464.1	11	3713	3979	1	E		0
NC_035464.1_NC_035464.1_12	NC_035464.1	NC_035464.1	12	3985	4314	1	E		0
NC_035464.1_NC_035464.1_13	NC_035464.1	NC_035464.1	13	4323	4724	1	E		0
NC_035464.1_NC_035464.1_14	NC_035464.1	NC_035464.1	14	4773	5450	1	E		0
NC_035464.1_NC_035464.1_15	NC_035464.1	NC_035464.1	15	5450	5734	1	E		0
NC_035464.1_NC_035464.1_16	NC_035464.1	NC_035464.1	16	5869	6750	1	E		0
NC_035464.1_NC_035464.1_17	NC_035464.1	NC_035464.1	17	6747	6965	1	E		0
NC_035464.1_NC_035464.1_18	NC_035464.1	NC_035464.1	18	6968	7378	1	E		0
NC_035464.1_NC_035464.1_19	NC_035464.1	NC_035464.1	19	7548	7799	-1	E		0
NC_035464.1_NC_035464.1_20	NC_035464.1	NC_035464.1	20	8217	8423	-1	E		0
NC_035464.1_NC_035464.1_21	NC_035464.1	NC_035464.1	21	8606	8836	1	E		0
NC_035464.1_NC_035464.1_22	NC_035464.1	NC_035464.1	22	8885	9124	1	E		0
NC_035464.1_NC_035464.1_23	NC_035464.1	NC_035464.1	23	9121	9342	1	E		0
NC_035464.1_NC_035464.1_24	NC_035464.1	NC_035464.1	24	9323	9430	-1	E		0
