locus_tag	ftype	length_bp	gene	EC_number	COG	product
CICNHJGK_00001	CDS	471				hypothetical protein
CICNHJGK_00002	CDS	777				hypothetical protein
CICNHJGK_00003	CDS	264				hypothetical protein
CICNHJGK_00004	CDS	108				hypothetical protein
CICNHJGK_00005	CDS	195				hypothetical protein
CICNHJGK_00006	CDS	207				hypothetical protein
CICNHJGK_00007	tRNA	72				tRNA-Pro(tgg)
CICNHJGK_00008	CDS	1692				hypothetical protein
CICNHJGK_00009	CDS	1440				hypothetical protein
CICNHJGK_00010	CDS	285				hypothetical protein
CICNHJGK_00011	CDS	765				hypothetical protein
CICNHJGK_00012	CDS	432				hypothetical protein
CICNHJGK_00013	CDS	516				hypothetical protein
CICNHJGK_00014	CDS	957				hypothetical protein
CICNHJGK_00015	CDS	444				hypothetical protein
CICNHJGK_00016	CDS	339				hypothetical protein
CICNHJGK_00017	CDS	3114				hypothetical protein
CICNHJGK_00018	CDS	222				hypothetical protein
CICNHJGK_00019	CDS	510				hypothetical protein
CICNHJGK_00020	CDS	1293				hypothetical protein
CICNHJGK_00021	CDS	543				hypothetical protein
CICNHJGK_00022	CDS	471				hypothetical protein
CICNHJGK_00023	CDS	369				hypothetical protein
CICNHJGK_00024	CDS	1818				hypothetical protein
CICNHJGK_00025	CDS	534				hypothetical protein
CICNHJGK_00026	CDS	1443				hypothetical protein
CICNHJGK_00027	CDS	1863				hypothetical protein
CICNHJGK_00028	CDS	363				hypothetical protein
CICNHJGK_00029	CDS	327				hypothetical protein
CICNHJGK_00030	CDS	1236				hypothetical protein
CICNHJGK_00031	CDS	651				hypothetical protein
CICNHJGK_00032	CDS	1698				hypothetical protein
CICNHJGK_00033	CDS	1038				hypothetical protein
CICNHJGK_00034	CDS	411				hypothetical protein
CICNHJGK_00035	CDS	495				hypothetical protein
CICNHJGK_00036	CDS	885				hypothetical protein
CICNHJGK_00037	CDS	126				hypothetical protein
CICNHJGK_00038	CDS	2418				hypothetical protein
CICNHJGK_00039	CDS	3525				hypothetical protein
CICNHJGK_00040	CDS	189				hypothetical protein
CICNHJGK_00041	CDS	1194				hypothetical protein
CICNHJGK_00042	CDS	468				hypothetical protein
CICNHJGK_00043	CDS	1365				hypothetical protein
