	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_054681.1_1	NC_054681.1	NC_054681.1	1	91	297	-1	E			YP_010056630.1	YP_010056630.1 hypothetical protein KGH01_gp01 [Streptomyces phage Lorelei]	False	0.932	135.0	2.085e-37		VOG13456	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054681.1_2	NC_054681.1	NC_054681.1	2	675	1022	-1	E													0	False	F
NC_054681.1_3	NC_054681.1	NC_054681.1	3	1430	1660	1	E			YP_010056632.1	YP_010056632.1 hypothetical protein KGH01_gp03 [Streptomyces phage Lorelei]	False	1.0	168.0	1.659e-48		VOG09535	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_054681.1_4	NC_054681.1	NC_054681.1	4	1666	1914	1	D			YP_010056633.1	YP_010056633.1 thioredoxin [Streptomyces phage Lorelei]	False	0.962	168.0	1.189e-48	Thioredoxin [PF00085.23]				0	False	F
NC_054681.1_5	NC_054681.1	NC_054681.1	5	1928	2353	1	E			YP_008051408.1	YP_008051408.1 minor tail protein [Streptomyces phage Sujidade]	False	0.979	293.0	6.637e-91		VOG00726	sp|O64201|VG05_BPMD2 Gene 5 protein; Xu	Xu	0	False	F
NC_054681.1_6	NC_054681.1	NC_054681.1	6	2374	4020	1	D			YP_009592372.1	YP_009592372.1 terminase large subunit [Streptomyces phage Danzina]	True	0.981	1135.0	0.0	Terminase large subunit, endonuclease domain [PF20441.1]	VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein; Xu	Xu	0	False	F
NC_054681.1_7	NC_054681.1	NC_054681.1	7	4053	5489	1	E			YP_010056636.1	YP_010056636.1 portal protein [Streptomyces phage Lorelei]	True	0.967	974.0	3.594e-320		VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xs;Xr;Xp	0	False	VF
NC_054681.1_8	NC_054681.1	NC_054681.1	8	5486	6598	1	E			YP_010056637.1	YP_010056637.1 hypothetical protein KGH01_gp08 [Streptomyces phage Lorelei]	True	0.917	711.0	4.257e-231		VOG00912	sp|O64208|VG15_BPMD2 Gene 15 protein; Xu	Xu	0	False	
NC_054681.1_9	NC_054681.1	NC_054681.1	9	6602	7147	1	E			YP_010056638.1	YP_010056638.1 head scaffolding protein [Streptomyces phage Lorelei]	False	0.868	328.0	3.8700000000000006e-102					0	False	
NC_054681.1_10	NC_054681.1	NC_054681.1	10	7218	8291	1	D			YP_010056639.1	YP_010056639.1 major head protein [Streptomyces phage Lorelei]	True	0.943	709.0	1.539e-230	P22 coat protein - gene protein 5 [PF11651.11]	VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xs;Xr	0	False	V
