locus_tag	ftype	length_bp	gene	EC_number	COG	product
IENLAPGB_00001	CDS	1716				hypothetical protein
IENLAPGB_00002	CDS	246				hypothetical protein
IENLAPGB_00003	CDS	267				hypothetical protein
IENLAPGB_00004	CDS	249				hypothetical protein
IENLAPGB_00005	CDS	399				hypothetical protein
IENLAPGB_00006	CDS	525				hypothetical protein
IENLAPGB_00007	CDS	564				hypothetical protein
IENLAPGB_00008	CDS	354				hypothetical protein
IENLAPGB_00009	CDS	210				hypothetical protein
IENLAPGB_00010	CDS	165				hypothetical protein
IENLAPGB_00011	CDS	957				hypothetical protein
IENLAPGB_00012	CDS	417				hypothetical protein
IENLAPGB_00013	CDS	288				hypothetical protein
IENLAPGB_00014	CDS	270				hypothetical protein
IENLAPGB_00015	CDS	285				hypothetical protein
IENLAPGB_00016	CDS	456				hypothetical protein
IENLAPGB_00017	CDS	894				hypothetical protein
IENLAPGB_00018	CDS	441				hypothetical protein
IENLAPGB_00019	CDS	777				hypothetical protein
IENLAPGB_00020	CDS	2655				hypothetical protein
IENLAPGB_00021	CDS	291				hypothetical protein
IENLAPGB_00022	CDS	1869				hypothetical protein
IENLAPGB_00023	CDS	348				hypothetical protein
IENLAPGB_00024	CDS	2067				hypothetical protein
IENLAPGB_00025	CDS	252				hypothetical protein
IENLAPGB_00026	CDS	204				hypothetical protein
IENLAPGB_00027	CDS	546				hypothetical protein
IENLAPGB_00028	CDS	735				hypothetical protein
IENLAPGB_00029	CDS	249				hypothetical protein
IENLAPGB_00030	CDS	828				hypothetical protein
